t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
49.45,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
49.5,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
49.55,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
49.6,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
49.65,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
49.7,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
49.75,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
49.8,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
49.85,seguindo,0.0028,0.0003,-0.0037,-0.0009,0.0029,0.5,5.7244,251.5463,0.0003
49.9,seguindo,0.006,0.0007,-0.0089,-0.0012,0.0077,0.5,5.7211,251.5463,0.0007
49.95,seguindo,0.0136,0.0015,-0.0203,-0.002,0.0183,0.5,5.7135,251.5463,0.0015
50.0,seguindo,0.0232,0.0025,-0.0356,-0.003,0.0325,0.5,5.7039,251.5463,0.0025
50.05,seguindo,0.0323,0.003,-0.0463,-0.0035,0.0428,0.5,5.6949,251.5463,0.003
50.1,seguindo,0.042,0.0033,-0.0565,-0.0041,0.0524,0.5,5.6854,135.6886,0.0033
50.15,seguindo,0.0591,0.0035,-0.0724,-0.0043,0.0681,0.5,5.6686,135.6886,0.0035
50.2,seguindo,0.0719,0.0033,-0.0827,-0.0042,0.0785,0.5,5.6561,135.6886,0.0033
50.25,seguindo,0.0916,0.0027,-0.0975,-0.0037,0.0938,0.5,5.637,135.6886,0.0027
50.3,seguindo,0.1049,0.0021,-0.1065,-0.0032,0.1034,0.5,5.6241,135.6886,0.0021
50.35,seguindo,0.1242,0.0008,-0.1166,-0.0025,0.114,0.5,5.6055,74.454,0.0008
50.4,seguindo,0.1369,-0.0003,-0.1216,-0.0015,0.12,0.5,5.5934,74.454,-0.0003
50.45,seguindo,0.1556,-0.0022,-0.1276,0.0002,0.1278,0.5,5.5756,74.454,-0.0022
50.5,seguindo,0.1679,-0.0035,-0.1307,-0.087,0.0436,0.5,5.5638,616.4727,-0.0
50.55,seguindo,0.1858,-0.0058,-0.1319,-0.0863,0.0455,0.5,5.5469,616.4727,-0.0007
50.6,seguindo,0.1975,-0.0074,-0.1315,-0.0858,0.0457,0.5,5.5358,616.4727,-0.0013
50.65,seguindo,0.2148,-0.0099,-0.1287,-0.0848,0.0439,0.5,5.5195,327.5361,-0.0022
50.7,seguindo,0.2261,-0.0115,-0.1261,-0.0841,0.042,0.5,5.5087,327.5361,-0.0029
50.75,seguindo,0.2431,-0.014,-0.1218,-0.0831,0.0387,0.5,5.4927,327.5361,-0.0039
50.8,seguindo,0.2544,-0.0156,-0.1187,-0.0825,0.0363,0.5,5.482,327.5361,-0.0045
50.85,seguindo,0.2715,-0.018,-0.1144,-0.0815,0.0328,0.5,5.466,327.5361,-0.0054
50.9,seguindo,0.2828,-0.0195,-0.1116,-0.081,0.0306,0.5,5.4552,327.5361,-0.0059
50.95,seguindo,0.2999,-0.0217,-0.1078,-0.0941,0.0137,0.5,5.4354,176.5104,-0.0056
51.0,seguindo,0.3114,-0.0231,-0.1054,-0.0937,0.0117,0.5,5.4245,176.5104,-0.0058
51.05,seguindo,0.3286,-0.0252,-0.1022,-0.0933,0.0089,0.5,5.4081,176.5104,-0.0062
51.1,seguindo,0.3401,-0.0265,-0.1003,-0.0931,0.0072,0.5,5.3971,176.5104,-0.0063
51.15,seguindo,0.3575,-0.0284,-0.0977,-0.0928,0.0049,0.5,5.3806,176.5104,-0.0065
51.2,seguindo,0.3691,-0.0297,-0.096,-0.0925,0.0035,0.5,5.3696,96.7368,-0.0066
51.25,seguindo,0.3864,-0.0315,-0.0936,-0.0923,0.0013,0.5,5.353,96.7368,-0.0067
51.3,seguindo,0.398,-0.0327,-0.0919,-0.0921,-0.0002,0.5,5.342,96.7368,-0.0068
51.35,seguindo,0.4154,-0.0345,-0.0895,-0.092,-0.0025,0.5,5.3254,96.7368,-0.0068
51.4,seguindo,0.4328,-0.0363,-0.087,-0.0918,-0.0049,0.5,5.3089,96.7368,-0.0068
51.45,seguindo,0.4444,-0.0374,-0.0853,-0.0913,-0.006,0.5,5.2978,54.1017,-0.0068
51.5,seguindo,0.4559,-0.0385,-0.0836,-0.0912,-0.0077,0.5,5.2868,54.1017,-0.0067
51.55,seguindo,0.4733,-0.0402,-0.0809,-0.1026,-0.0217,0.5,5.2702,339.0974,0.0031
51.6,seguindo,0.4849,-0.0412,-0.0792,-0.1027,-0.0236,0.5,5.2592,339.0974,0.0032
51.65,seguindo,0.5022,-0.0428,-0.0765,-0.1029,-0.0265,0.5,5.2426,339.0974,0.0033
51.7,seguindo,0.5196,-0.0444,-0.0737,-0.1026,-0.0289,0.5,5.226,183.0793,0.0035
51.75,seguindo,0.5312,-0.0453,-0.0719,-0.1028,-0.0309,0.5,5.215,183.0793,0.0037
51.8,seguindo,0.5428,-0.0463,-0.0701,-0.103,-0.0329,0.5,5.2039,183.0793,0.0039
51.85,seguindo,0.5601,-0.0477,-0.0674,-0.1166,-0.0492,0.5,5.1839,183.0793,0.0064
51.9,seguindo,0.5717,-0.0487,-0.0656,-0.117,-0.0514,0.5,5.1727,183.0793,0.0067
51.95,seguindo,0.5891,-0.05,-0.0629,-0.1166,-0.0537,0.5,5.1561,100.5677,0.0073
52.0,seguindo,0.6007,-0.0509,-0.0611,-0.1171,-0.056,0.5,5.145,100.5677,0.0077
52.051,seguindo,0.6181,-0.0521,-0.0584,-0.1178,-0.0594,0.5,5.1283,100.5677,0.0084
52.1,seguindo,0.6297,-0.0529,-0.0566,-0.1184,-0.0617,0.5,5.1171,100.5677,0.0089
52.15,seguindo,0.6471,-0.0541,-0.0539,-0.1192,-0.0653,0.5,5.1004,100.5677,0.0097
52.2,seguindo,0.6587,-0.0549,-0.0522,-0.1198,-0.0677,0.5,5.0893,100.5677,0.0102
52.25,seguindo,0.6761,-0.056,-0.0495,-0.1191,-0.0696,0.5,5.0726,56.4078,0.011
52.3,seguindo,0.6877,-0.0567,-0.0477,-0.1197,-0.072,0.5,5.0614,56.4078,0.0116
52.35,seguindo,0.7051,-0.0577,-0.045,-0.1207,-0.0757,0.5,5.0447,56.4078,0.0125
52.4,seguindo,0.7167,-0.0584,-0.0432,-0.1214,-0.0782,0.5,5.0335,56.4078,0.0131
52.45,seguindo,0.7341,-0.0593,-0.0405,-0.1226,-0.0821,0.5,5.0168,56.4078,0.0141
52.5,seguindo,0.7457,-0.0599,-0.0387,-0.1208,-0.082,0.5,5.0056,32.4621,0.0148
52.55,seguindo,0.7631,-0.0608,-0.0361,-0.1219,-0.0859,0.5,4.9888,32.4621,0.0159
