t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
15.1,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,4.3417,218.2181,-0.0
15.15,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,4.3417,218.2181,-0.0
15.2,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,4.3417,218.2181,-0.0
15.25,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,4.3417,218.2181,-0.0
15.3,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,4.3417,218.2181,-0.0
15.35,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,4.3417,218.2181,-0.0
15.4,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,4.3417,218.2181,-0.0
15.45,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,4.3417,218.2181,-0.0
15.5,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,4.3417,218.2181,-0.0
15.55,seguindo,0.0027,0.0003,-0.0037,-0.0009,0.0027,0.5,4.339,218.2181,0.0003
15.6,seguindo,0.0059,0.0007,-0.0088,-0.0013,0.0075,0.5,4.3358,218.2181,0.0007
15.65,seguindo,0.0135,0.0015,-0.0201,-0.0021,0.018,0.5,4.3282,218.2181,0.0015
15.7,seguindo,0.0199,0.0022,-0.0303,-0.0028,0.0275,0.5,4.3218,218.2181,0.0022
15.75,seguindo,0.0323,0.003,-0.0461,-0.0036,0.0425,0.5,4.3097,218.2181,0.003
15.8,seguindo,0.0419,0.0033,-0.0563,-0.0042,0.0521,0.5,4.3003,117.0773,0.0033
15.85,seguindo,0.059,0.0035,-0.0725,-0.0045,0.068,0.5,4.2837,117.0773,0.0035
15.9,seguindo,0.0718,0.0034,-0.0831,-0.0044,0.0787,0.5,4.2714,117.0773,0.0034
15.95,seguindo,0.0914,0.0029,-0.0987,-0.004,0.0947,0.5,4.2526,117.0773,0.0029
16.0,seguindo,0.1046,0.0023,-0.1091,-0.0035,0.1056,0.5,4.24,117.0773,0.0023
16.05,seguindo,0.124,0.0012,-0.1227,-0.0032,0.1195,0.5,4.2215,63.8152,0.0012
16.101,seguindo,0.1369,0.0002,-0.1305,-0.0023,0.1281,0.5,4.2093,63.8152,0.0002
16.15,seguindo,0.1555,-0.0018,-0.1372,-0.0005,0.1367,0.5,4.1919,63.8152,-0.0018
16.2,seguindo,0.1739,-0.004,-0.1412,0.0017,0.1428,0.5,4.1748,63.8152,-0.004
16.25,seguindo,0.1856,-0.0057,-0.1409,0.0033,0.1442,0.5,4.1639,63.8152,-0.0057
16.3,seguindo,0.1973,-0.0074,-0.1405,0.0051,0.1455,0.5,4.1531,63.8152,-0.0074
16.35,seguindo,0.2146,-0.01,-0.138,0.0055,0.1435,0.5,4.1371,35.4449,-0.01
16.4,seguindo,0.226,-0.0118,-0.1357,0.0072,0.143,0.5,4.1266,35.4449,-0.0118
16.45,seguindo,0.243,-0.0144,-0.1315,0.0099,0.1414,0.5,4.1109,35.4449,-0.0144
16.5,seguindo,0.2543,-0.0161,-0.1285,0.0117,0.1402,0.5,4.1005,35.4449,-0.0161
16.55,seguindo,0.2713,-0.0186,-0.1241,0.0082,0.1323,0.5,4.0862,35.4449,-0.0185
16.6,seguindo,0.2826,-0.0203,-0.1213,0.0058,0.1272,0.5,4.0757,20.1409,-0.0201
16.65,seguindo,0.2997,-0.0226,-0.1175,0.0082,0.1256,0.5,4.0599,20.1409,-0.0224
16.7,seguindo,0.3111,-0.0242,-0.1151,0.0097,0.1248,0.5,4.0493,20.1409,-0.0238
16.75,seguindo,0.3283,-0.0264,-0.1119,0.012,0.1239,0.5,4.0334,20.1409,-0.0259
16.8,seguindo,0.3456,-0.0286,-0.1089,0.0143,0.1232,0.5,4.0174,20.1409,-0.028
16.85,seguindo,0.3571,-0.03,-0.1071,0.0159,0.123,0.5,4.0067,20.1409,-0.0293
16.9,seguindo,0.3687,-0.0313,-0.1054,0.011,0.1164,0.5,3.9959,11.7712,-0.0306
16.95,seguindo,0.386,-0.0333,-0.1029,0.0131,0.116,0.5,3.9798,11.7712,-0.0325
17.0,seguindo,0.3976,-0.0347,-0.1012,0.0145,0.1158,0.5,3.9691,11.7712,-0.0338
17.05,seguindo,0.415,-0.0366,-0.0988,0.0167,0.1154,0.5,3.953,11.7712,-0.0356
