t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
23.15,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
23.2,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
23.25,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
23.3,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
23.35,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
23.4,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
23.45,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
23.5,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
23.55,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
23.6,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
23.65,seguindo,0.0027,0.0003,-0.0037,-0.0025,0.0012,0.5,5.7244,67.12,0.0003
23.7,seguindo,0.0059,0.0007,-0.0088,-0.0029,0.006,0.5,5.7212,67.12,0.0007
23.75,seguindo,0.0135,0.0015,-0.0202,-0.0037,0.0165,0.5,5.7136,67.12,0.0015
23.8,seguindo,0.0199,0.0022,-0.0303,-0.0044,0.026,0.5,5.7072,67.12,0.0022
23.85,seguindo,0.0322,0.003,-0.0462,-0.0052,0.041,0.5,5.695,67.12,0.003
23.9,seguindo,0.0418,0.0033,-0.0563,-0.0064,0.05,0.5,5.6855,43.3873,0.0033
23.95,seguindo,0.0589,0.0035,-0.0725,-0.0067,0.0659,0.5,5.6688,43.3873,0.0035
24.0,seguindo,0.0716,0.0034,-0.0832,-0.0066,0.0765,0.5,5.6564,43.3873,0.0034
24.05,seguindo,0.0912,0.0029,-0.0988,-0.0063,0.0925,0.5,5.6374,43.3873,0.0029
24.1,seguindo,0.1044,0.0023,-0.1092,-0.0058,0.1034,0.5,5.6246,43.3873,0.0024
24.15,seguindo,0.1238,0.0012,-0.1228,-0.0062,0.1166,0.5,5.6059,28.7951,0.0012
24.2,seguindo,0.1431,-0.0003,-0.1342,-0.0976,0.0366,0.5,5.5874,27.4684,0.0004
24.25,seguindo,0.1553,-0.0017,-0.1374,-0.0974,0.04,0.5,5.5757,27.4684,0.0002
24.3,seguindo,0.1675,-0.0032,-0.14,-0.0955,0.0445,0.5,5.5641,19.7242,-0.0001
