t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
19.8,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
19.85,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
19.9,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
19.95,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
20.0,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
20.05,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
20.1,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
20.15,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
20.2,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
20.25,seguindo,0.0027,0.0003,-0.0037,-0.0334,-0.0297,0.5,5.7067,33.5903,0.0194
20.3,seguindo,0.006,0.0007,-0.0089,-0.0339,-0.025,0.5,5.7035,33.5903,0.0198
20.35,seguindo,0.0135,0.0015,-0.0203,-0.0341,-0.0139,0.5,5.6959,40.6348,0.0206
20.4,seguindo,0.02,0.0022,-0.0304,-0.035,-0.0045,0.5,5.6895,40.6348,0.0213
20.45,seguindo,0.0323,0.003,-0.0463,-0.0361,0.0102,0.5,5.6772,40.6348,0.0222
20.5,seguindo,0.042,0.0033,-0.0565,-0.0368,0.0197,0.5,5.6677,40.6348,0.0226
20.55,seguindo,0.0591,0.0035,-0.0727,-0.0376,0.0351,0.5,5.6509,40.6348,0.0229
20.6,seguindo,0.0719,0.0034,-0.0833,-0.0369,0.0464,0.5,5.6385,54.1303,0.0228
20.65,seguindo,0.0915,0.0029,-0.0989,-0.0371,0.0618,0.5,5.6194,54.1303,0.0224
20.7,seguindo,0.1046,0.0023,-0.1094,-0.0371,0.0723,0.5,5.6067,54.1303,0.022
20.75,seguindo,0.124,0.0012,-0.1226,-0.0357,0.0868,0.5,5.588,78.6638,0.021
20.8,seguindo,0.1368,0.0001,-0.1298,-0.0352,0.0946,0.5,5.5757,78.6638,0.0201
20.85,seguindo,0.1554,-0.0018,-0.1367,-0.043,0.0937,0.5,5.5579,inf,0.0177
20.9,seguindo,0.1677,-0.0033,-0.1397,-0.0412,0.0985,0.5,5.5462,inf,0.0165
20.95,seguindo,0.1857,-0.0057,-0.1412,-0.0395,0.1017,0.5,5.5292,inf,0.0146
21.001,seguindo,0.2033,-0.0082,-0.1411,-0.0377,0.1034,0.5,5.5125,inf,0.0125
21.05,seguindo,0.2147,-0.01,-0.1389,-0.0357,0.1031,0.5,5.5017,inf,0.011
21.1,seguindo,0.2262,-0.0118,-0.1366,-0.0344,0.1022,0.5,5.491,inf,0.0095
21.15,seguindo,0.2432,-0.0144,-0.1324,-0.0323,0.1001,0.5,5.4749,inf,0.0073
21.2,seguindo,0.2545,-0.0161,-0.1294,-0.0309,0.0985,0.5,5.4643,inf,0.0058
21.25,seguindo,0.2714,-0.0187,-0.1251,-0.0421,0.083,0.5,5.4482,inf,0.0046
21.3,seguindo,0.2828,-0.0203,-0.1223,-0.041,0.0813,0.5,5.4374,inf,0.0034
