t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
16.8,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
16.85,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
16.9,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
16.95,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
17.0,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
17.05,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
17.1,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
17.15,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
17.2,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
17.25,seguindo,0.0027,0.0003,-0.0037,-0.0025,0.0012,0.5,5.7244,67.12,0.0003
17.3,seguindo,0.0059,0.0007,-0.0088,-0.0029,0.0059,0.5,5.7212,67.12,0.0007
17.35,seguindo,0.0135,0.0015,-0.0201,-0.0037,0.0165,0.5,5.7136,67.12,0.0015
17.4,seguindo,0.0199,0.0022,-0.0303,-0.0044,0.0259,0.5,5.7072,67.12,0.0022
17.45,seguindo,0.0322,0.003,-0.0462,-0.0052,0.041,0.5,5.695,67.12,0.003
17.5,seguindo,0.0419,0.0033,-0.0563,-0.0064,0.05,0.5,5.6855,43.3873,0.0033
17.55,seguindo,0.0591,0.0035,-0.0725,-0.0066,0.0659,0.5,5.6687,43.3873,0.0035
17.6,seguindo,0.0719,0.0034,-0.0832,-0.0066,0.0766,0.5,5.6562,43.3873,0.0034
17.651,seguindo,0.0915,0.0028,-0.0987,-0.0062,0.0925,0.5,5.6371,43.3873,0.0028
17.7,seguindo,0.1047,0.0023,-0.1092,-0.0058,0.1034,0.5,5.6243,43.3873,0.0023
17.75,seguindo,0.124,0.0011,-0.122,-0.0061,0.1159,0.5,5.6057,28.7951,0.0011
17.8,seguindo,0.1368,0.0001,-0.1291,-0.0052,0.1239,0.5,5.5934,28.7951,0.0001
17.85,seguindo,0.1554,-0.0018,-0.136,-0.0035,0.1325,0.5,5.5756,28.7951,-0.0018
17.9,seguindo,0.1677,-0.0033,-0.1391,0.0079,0.147,0.5,5.5639,5.2607,-0.0048
17.95,seguindo,0.1856,-0.0057,-0.1405,0.0044,0.1449,0.5,5.547,5.1439,-0.008
18.0,seguindo,0.1974,-0.0074,-0.1403,0.006,0.1463,0.5,5.5359,5.1439,-0.0102
18.05,seguindo,0.2147,-0.01,-0.1378,0.0086,0.1464,0.5,5.5196,5.1439,-0.0136
18.1,seguindo,0.226,-0.0117,-0.1353,0.0105,0.1457,0.5,5.5089,5.1439,-0.0159
18.15,seguindo,0.243,-0.0144,-0.131,0.0132,0.1443,0.5,5.4929,5.1439,-0.0193
18.2,seguindo,0.2543,-0.0161,-0.128,0.0151,0.1431,0.5,5.4823,5.1439,-0.0215
18.25,seguindo,0.2713,-0.0186,-0.1237,0.0037,0.1274,0.5,5.4683,4.9669,-0.0243
18.3,seguindo,0.2827,-0.0202,-0.1208,0.0053,0.1261,0.5,5.4576,4.9669,-0.0264
18.35,seguindo,0.2997,-0.0226,-0.1169,0.0076,0.1246,0.5,5.4414,4.9669,-0.0294
18.4,seguindo,0.3112,-0.0241,-0.1145,0.0092,0.1238,0.5,5.4306,4.9669,-0.0314
18.45,seguindo,0.3284,-0.0263,-0.1114,0.0116,0.123,0.5,5.4143,4.9669,-0.0343
18.5,seguindo,0.3399,-0.0278,-0.1096,0.0131,0.1227,0.5,5.4034,4.9669,-0.0362
18.55,seguindo,0.3572,-0.0299,-0.1069,0.0081,0.115,0.5,5.387,5.2607,-0.0391
18.6,seguindo,0.3688,-0.0312,-0.1052,0.0095,0.1147,0.5,5.376,5.2607,-0.0409
18.65,seguindo,0.3861,-0.0332,-0.1027,0.0116,0.1143,0.5,5.3595,5.2607,-0.0437
18.7,seguindo,0.3977,-0.0346,-0.101,0.013,0.1141,0.5,5.3486,5.2607,-0.0454
18.75,seguindo,0.4151,-0.0365,-0.0986,0.0152,0.1137,0.5,5.3321,5.2607,-0.0481
18.8,seguindo,0.4266,-0.0378,-0.0969,0.0091,0.1061,0.5,5.3211,5.1439,-0.0498
18.85,seguindo,0.444,-0.0396,-0.0944,0.0111,0.1054,0.5,5.3046,5.1439,-0.0524
18.9,seguindo,0.4556,-0.0409,-0.0927,0.0124,0.105,0.5,5.2936,5.1439,-0.0541
18.95,seguindo,0.4729,-0.0427,-0.09,0.0143,0.1044,0.5,5.2771,5.1439,-0.0565
19.0,seguindo,0.4845,-0.0439,-0.0883,-0.102,-0.0137,0.5,5.2661,24.9152,0.0013
19.05,seguindo,0.5018,-0.0456,-0.0856,-0.1038,-0.0183,0.5,5.2497,19.0417,0.0012
19.1,seguindo,0.5134,-0.0467,-0.0838,-0.1039,-0.0201,0.5,5.2387,19.0417,0.0011
19.15,seguindo,0.5307,-0.0484,-0.0811,-0.1163,-0.0352,0.5,5.2152,19.0417,0.0044
19.2,seguindo,0.5423,-0.0494,-0.0793,-0.1165,-0.0373,0.5,5.2042,19.0417,0.0046
19.25,seguindo,0.5597,-0.051,-0.0765,-0.117,-0.0404,0.5,5.1876,19.0417,0.0048
19.3,seguindo,0.5713,-0.0521,-0.0747,-0.1173,-0.0426,0.5,5.1766,19.0417,0.005
19.35,seguindo,0.5886,-0.0536,-0.072,-0.1196,-0.0476,0.5,5.16,15.478,0.0052
19.4,seguindo,0.6002,-0.0545,-0.0701,-0.12,-0.0499,0.5,5.1489,15.478,0.0055
19.45,seguindo,0.6176,-0.0559,-0.0674,-0.1206,-0.0532,0.5,5.1323,15.478,0.0059
19.5,seguindo,0.6291,-0.0569,-0.0656,-0.1211,-0.0555,0.5,5.1213,15.478,0.0061
19.55,seguindo,0.6465,-0.0582,-0.0629,-0.1219,-0.0589,0.5,5.1047,15.478,0.0066
19.6,seguindo,0.6581,-0.0591,-0.0611,-0.1241,-0.0629,0.5,5.0936,13.6323,0.0069
19.65,seguindo,0.6755,-0.0603,-0.0585,-0.1249,-0.0664,0.5,5.0769,13.6323,0.0075
