t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
19.854,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
19.901,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
19.95,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
20.0,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
20.05,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
20.1,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
20.15,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
20.2,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
20.25,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
20.3,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
20.35,seguindo,0.0027,0.0003,-0.0036,-0.0025,0.0012,0.5,5.7244,67.12,0.0003
20.4,seguindo,0.0059,0.0007,-0.0087,-0.0029,0.0059,0.5,5.7212,67.12,0.0007
20.45,seguindo,0.0134,0.0015,-0.02,-0.0037,0.0163,0.5,5.7137,67.12,0.0015
20.5,seguindo,0.0198,0.0022,-0.0302,-0.0044,0.0258,0.5,5.7073,67.12,0.0022
20.55,seguindo,0.0321,0.003,-0.046,-0.0052,0.0408,0.5,5.6951,67.12,0.003
20.601,seguindo,0.0466,0.0034,-0.0613,-0.0065,0.0548,0.5,5.6809,43.3873,0.0034
20.65,seguindo,0.0588,0.0035,-0.0724,-0.0067,0.0658,0.5,5.6689,43.3873,0.0035
20.7,seguindo,0.0716,0.0034,-0.0831,-0.0066,0.0765,0.5,5.6564,43.3873,0.0034
20.75,seguindo,0.0912,0.0029,-0.0987,-0.0063,0.0925,0.5,5.6374,43.3873,0.0029
20.8,seguindo,0.1043,0.0024,-0.1093,-0.0058,0.1034,0.5,5.6247,43.3873,0.0024
20.85,seguindo,0.1235,0.0011,-0.1207,-0.0061,0.1146,0.5,5.6062,28.7951,0.0011
20.9,seguindo,0.1362,-0.0001,-0.1257,-0.0051,0.1207,0.5,5.5941,28.7951,-0.0001
20.95,seguindo,0.1548,-0.002,-0.1317,-0.0033,0.1284,0.5,5.5763,28.7951,-0.002
21.0,seguindo,0.1671,-0.0034,-0.1348,-0.1135,0.0213,0.5,5.5646,5.9176,0.0017
21.05,seguindo,0.1851,-0.0057,-0.1363,-0.1064,0.0299,0.5,5.5475,5.4765,0.002
21.101,seguindo,0.2027,-0.0082,-0.1363,-0.1059,0.0304,0.5,5.5308,5.4765,0.0023
21.15,seguindo,0.2142,-0.0099,-0.134,-0.1054,0.0287,0.5,5.5201,5.4765,0.0023
21.2,seguindo,0.2256,-0.0116,-0.1318,-0.1049,0.0269,0.5,5.5093,5.4765,0.0023
21.25,seguindo,0.2426,-0.0142,-0.1277,-0.1041,0.0235,0.5,5.4933,5.4765,0.0023
21.3,seguindo,0.2539,-0.0158,-0.1247,-0.0963,0.0284,0.5,5.4826,5.0869,0.0023
21.35,seguindo,0.2709,-0.0183,-0.1204,-0.1015,0.019,0.5,5.4667,5.0869,0.0024
21.4,seguindo,0.2823,-0.0199,-0.1177,-0.101,0.0166,0.5,5.4559,5.0869,0.0026
21.45,seguindo,0.2994,-0.0222,-0.1139,-0.1005,0.0134,0.5,5.4397,5.0869,0.003
21.5,seguindo,0.3108,-0.0237,-0.1115,-0.1002,0.0113,0.5,5.4289,5.0869,0.0033
21.55,seguindo,0.328,-0.0258,-0.1082,-0.0997,0.0085,0.5,5.4126,5.0869,0.0038
21.6,seguindo,0.3395,-0.0272,-0.1062,-0.0916,0.0146,0.5,5.4017,4.77,0.0041
21.65,seguindo,0.3568,-0.0293,-0.1034,-0.0911,0.0123,0.5,5.3853,4.77,0.0048
21.701,seguindo,0.3684,-0.0306,-0.1017,-0.0909,0.0108,0.5,5.3743,4.77,0.0052
21.75,seguindo,0.3857,-0.0326,-0.0991,-0.0905,0.0086,0.5,5.3579,4.77,0.0059
21.8,seguindo,0.3973,-0.0338,-0.0975,-0.0903,0.0072,0.5,5.3469,4.77,0.0064
21.85,seguindo,0.4147,-0.0357,-0.095,-0.0817,0.0133,0.5,5.3304,4.5852,0.0072
21.9,seguindo,0.4263,-0.037,-0.0933,-0.0814,0.0119,0.5,5.3194,4.5852,0.0077
21.95,seguindo,0.4436,-0.0388,-0.0908,-0.081,0.0098,0.5,5.3029,4.5852,0.0085
22.0,seguindo,0.4552,-0.0399,-0.0891,-0.0808,0.0083,0.5,5.2919,4.5852,0.0091
22.05,seguindo,0.4726,-0.0417,-0.0865,-0.0805,0.006,0.5,5.2754,4.5852,0.0099
22.1,seguindo,0.4841,-0.0428,-0.0847,-0.08,0.0047,0.5,5.2644,11.9883,0.0009
22.15,seguindo,0.5015,-0.0445,-0.0821,-0.0755,0.0065,0.5,5.2479,9.028,0.0008
22.2,seguindo,0.5131,-0.0456,-0.0803,-0.0753,0.0049,0.5,5.2369,9.028,0.0008
22.25,seguindo,0.5304,-0.0472,-0.0776,-0.083,-0.0055,0.5,5.2065,9.028,0.0026
22.3,seguindo,0.542,-0.0482,-0.0758,-0.083,-0.0072,0.5,5.1954,9.028,0.0027
22.35,seguindo,0.5594,-0.0497,-0.073,-0.0777,-0.0047,0.5,5.1789,7.1265,0.003
22.4,seguindo,0.5709,-0.0507,-0.0712,-0.0777,-0.0064,0.5,5.1678,7.1265,0.0031
22.45,seguindo,0.5883,-0.0522,-0.0685,-0.0776,-0.009,0.5,5.1512,7.1265,0.0034
22.5,seguindo,0.5999,-0.0531,-0.0667,-0.0775,-0.0108,0.5,5.1402,7.1265,0.0036
22.55,seguindo,0.6173,-0.0544,-0.0641,-0.0775,-0.0134,0.5,5.1236,7.1265,0.004
