t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
15.1,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.15,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.2,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.25,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.3,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.35,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.4,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.45,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.5,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.55,seguindo,0.0027,0.0003,-0.0037,-0.0025,0.0012,0.5,5.7244,67.12,0.0003
15.6,seguindo,0.0059,0.0007,-0.0088,-0.0029,0.0059,0.5,5.7212,67.12,0.0007
15.65,seguindo,0.0135,0.0015,-0.0201,-0.0037,0.0165,0.5,5.7137,67.12,0.0015
15.7,seguindo,0.0199,0.0022,-0.0303,-0.0044,0.0259,0.5,5.7072,67.12,0.0022
15.75,seguindo,0.0322,0.003,-0.0462,-0.0052,0.041,0.5,5.695,67.12,0.003
15.8,seguindo,0.0418,0.0033,-0.0564,-0.0064,0.05,0.5,5.6855,43.3873,0.0033
15.85,seguindo,0.0589,0.0035,-0.0726,-0.0067,0.0659,0.5,5.6688,43.3873,0.0035
15.9,seguindo,0.0717,0.0034,-0.0832,-0.0066,0.0766,0.5,5.6564,43.3873,0.0034
15.95,seguindo,0.0912,0.0029,-0.0989,-0.0063,0.0926,0.5,5.6373,43.3873,0.0029
16.0,seguindo,0.1044,0.0024,-0.1094,-0.0058,0.1035,0.5,5.6246,43.3873,0.0024
16.05,seguindo,0.1238,0.0012,-0.123,-0.0062,0.1168,0.5,5.6058,28.7951,0.0012
16.1,seguindo,0.1367,0.0002,-0.1307,-0.0053,0.1254,0.5,5.5935,28.7951,0.0002
16.15,seguindo,0.1553,-0.0017,-0.1375,-0.0036,0.134,0.5,5.5757,28.7951,-0.0017
16.2,seguindo,0.1676,-0.0032,-0.1402,0.0064,0.1465,0.5,5.5641,4.9783,-0.0048
16.25,seguindo,0.1854,-0.0057,-0.1412,0.0021,0.1433,0.5,5.5472,5.0353,-0.0081
16.3,seguindo,0.1971,-0.0074,-0.1408,0.0037,0.1445,0.5,5.5361,5.0353,-0.0103
16.35,seguindo,0.2144,-0.01,-0.1384,0.0063,0.1447,0.5,5.5199,5.0353,-0.0137
16.401,seguindo,0.2315,-0.0127,-0.135,0.009,0.144,0.5,5.5037,5.0353,-0.0171
16.45,seguindo,0.2428,-0.0144,-0.132,0.0108,0.1428,0.5,5.4931,5.0353,-0.0194
16.5,seguindo,0.2541,-0.0161,-0.129,0.0127,0.1417,0.5,5.4825,5.0353,-0.0217
16.55,seguindo,0.2711,-0.0187,-0.1247,-0.0016,0.1231,0.5,5.4688,4.8047,-0.0244
16.6,seguindo,0.2825,-0.0203,-0.1219,-0.0001,0.1218,0.5,5.4581,4.8047,-0.0264
16.65,seguindo,0.2996,-0.0227,-0.118,0.0022,0.1202,0.5,5.4419,4.8047,-0.0295
16.7,seguindo,0.311,-0.0242,-0.1156,0.0037,0.1193,0.5,5.4311,4.8047,-0.0315
16.75,seguindo,0.3282,-0.0265,-0.1123,0.006,0.1183,0.5,5.4148,4.8047,-0.0344
16.8,seguindo,0.3397,-0.0279,-0.1103,0.0075,0.1178,0.5,5.4039,4.8047,-0.0363
16.85,seguindo,0.357,-0.03,-0.1076,0.0009,0.1084,0.5,5.3875,4.9783,-0.0391
16.9,seguindo,0.3685,-0.0314,-0.1058,0.0022,0.108,0.5,5.3765,4.9783,-0.0409
16.95,seguindo,0.3859,-0.0334,-0.1033,0.0042,0.1075,0.5,5.3601,4.9783,-0.0436
17.0,seguindo,0.4032,-0.0354,-0.1009,0.0062,0.1071,0.5,5.3436,4.9783,-0.0463
17.05,seguindo,0.4118,-0.0363,-0.1007,0.0071,0.1078,0.5,5.3354,4.9783,-0.0475
17.1,seguindo,0.4201,-0.0371,-0.1007,0.008,0.1087,0.5,5.3275,4.9783,-0.0487
17.15,seguindo,0.4343,-0.0387,-0.0992,0.0001,0.0993,0.5,5.314,5.0353,-0.0508
17.2,seguindo,0.4444,-0.0398,-0.0975,0.0012,0.0987,0.5,5.3044,5.0353,-0.0523
17.25,seguindo,0.4595,-0.0415,-0.095,0.0028,0.0978,0.5,5.2901,5.0353,-0.0545
17.3,seguindo,0.4696,-0.0426,-0.0933,-0.0873,0.006,0.5,5.2805,17.7213,0.0013
17.35,seguindo,0.4847,-0.0442,-0.0908,-0.0847,0.0061,0.5,5.2661,14.336,0.0012
17.4,seguindo,0.4948,-0.0452,-0.0891,-0.0845,0.0046,0.5,5.2565,14.336,0.0011
