t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
13.6,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
13.65,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
13.7,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
13.75,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
13.8,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
13.85,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
13.9,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
13.95,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
14.0,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
14.05,seguindo,0.0027,0.0003,-0.0037,-0.0328,-0.0292,0.5,5.7067,27.4644,0.0193
14.1,seguindo,0.0059,0.0007,-0.0088,-0.0333,-0.0245,0.5,5.7035,27.4644,0.0198
14.15,seguindo,0.0135,0.0015,-0.0202,-0.0336,-0.0134,0.5,5.696,30.8747,0.0206
14.2,seguindo,0.0198,0.0022,-0.0304,-0.0344,-0.0041,0.5,5.6896,30.8747,0.0213
14.25,seguindo,0.0322,0.003,-0.0462,-0.0356,0.0106,0.5,5.6774,30.8747,0.0221
14.3,seguindo,0.0418,0.0033,-0.0563,-0.0362,0.0201,0.5,5.6679,30.8747,0.0225
14.35,seguindo,0.0589,0.0035,-0.0723,-0.037,0.0353,0.5,5.6511,30.8747,0.0227
14.608,seguindo,0.0848,0.003,-0.0932,-0.0365,0.0567,0.5,5.6259,38.0832,0.0224
14.65,seguindo,0.1591,-0.0014,-0.1493,-0.0353,0.1139,0.5,5.5542,inf,0.018
14.7,seguindo,0.1726,-0.0027,-0.1595,-0.0337,0.1258,0.5,5.5413,inf,0.017
14.75,seguindo,0.1898,-0.0046,-0.1709,-0.0323,0.1386,0.5,5.5249,inf,0.0153
