t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
9.352,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.8226,16.3452,0.37,0.3833,-0.0311,-0.0
9.401,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.8226,16.3452,0.37,0.3833,-0.0311,-0.0
9.45,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.8226,16.3452,0.37,0.3833,-0.0311,-0.0
9.5,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.8226,16.3452,0.37,0.3833,-0.0311,-0.0
9.55,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.8226,16.3452,0.37,0.3833,-0.0311,-0.0
9.6,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.8226,16.3452,0.37,0.3833,-0.0311,-0.0
9.65,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.8226,16.3452,0.37,0.3833,-0.0311,-0.0
9.7,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.8226,16.3452,0.37,0.3833,-0.0311,-0.0
9.753,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.8226,16.3452,0.37,0.3833,-0.0311,-0.0
9.8,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.8226,16.4021,0.37,0.3833,-0.0311,-0.0
9.85,seguindo,0.0027,0.0003,-0.0037,-0.0823,-0.0786,0.5,9.8206,16.4021,0.37,0.3833,-0.0311,0.0005
9.9,seguindo,0.0075,0.0009,-0.0114,-0.0849,-0.0735,0.5,9.817,16.4021,0.37,0.3833,-0.0311,0.0016
9.951,seguindo,0.0135,0.0015,-0.0202,-0.0879,-0.0677,0.5,9.8127,16.4021,0.37,0.3833,-0.0311,0.0027
10.0,seguindo,0.0199,0.0022,-0.0303,-0.0913,-0.0609,0.5,9.808,16.4021,0.37,0.3833,-0.0311,0.0039
10.051,seguindo,0.0323,0.003,-0.0461,-0.0967,-0.0505,0.5,9.7994,16.4021,0.37,0.3833,-0.0311,0.0058
