t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
14.7,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.117,-0.0
14.75,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.117,-0.0
14.8,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.117,-0.0
14.85,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.117,-0.0
14.9,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.117,-0.0
14.95,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.117,-0.0
15.0,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.117,-0.0
15.05,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.117,-0.0
15.1,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.117,-0.0
15.15,seguindo,0.0027,0.0003,-0.0037,-0.0025,0.0012,0.5,5.7244,67.117,0.0003
15.2,seguindo,0.0059,0.0007,-0.0088,-0.0029,0.0059,0.5,5.7212,67.117,0.0007
15.25,seguindo,0.0135,0.0015,-0.0201,-0.0037,0.0165,0.5,5.7136,67.117,0.0015
15.3,seguindo,0.0199,0.0022,-0.0303,-0.0044,0.0259,0.5,5.7072,67.117,0.0022
15.35,seguindo,0.0322,0.003,-0.0462,-0.0052,0.041,0.5,5.695,67.117,0.003
15.4,seguindo,0.0418,0.0033,-0.0564,-0.0064,0.05,0.5,5.6855,43.385,0.0033
15.45,seguindo,0.059,0.0035,-0.0725,-0.0066,0.0659,0.5,5.6687,43.385,0.0035
15.5,seguindo,0.0718,0.0034,-0.0831,-0.0066,0.0765,0.5,5.6562,43.385,0.0034
15.55,seguindo,0.0914,0.0028,-0.0987,-0.0062,0.0925,0.5,5.6372,43.385,0.0028
15.6,seguindo,0.1046,0.0023,-0.1091,-0.0058,0.1033,0.5,5.6244,43.385,0.0023
15.65,seguindo,0.124,0.0012,-0.1227,-0.0062,0.1165,0.5,5.6057,28.7932,0.0012
15.7,seguindo,0.1369,0.0002,-0.1304,-0.0053,0.1251,0.5,5.5933,28.7932,0.0002
15.75,seguindo,0.1555,-0.0018,-0.1372,0.0043,0.1415,0.5,5.5756,4.8933,-0.0028
15.8,seguindo,0.1677,-0.0033,-0.1398,0.0058,0.1457,0.5,5.5639,4.8933,-0.0048
15.85,seguindo,0.1856,-0.0057,-0.1412,0.0013,0.1424,0.5,5.547,5.0045,-0.008
15.9,seguindo,0.1974,-0.0074,-0.1411,0.0029,0.144,0.5,5.5359,5.0045,-0.0102
15.95,seguindo,0.2147,-0.01,-0.1388,0.0055,0.1443,0.5,5.5196,5.0045,-0.0136
16.0,seguindo,0.2261,-0.0118,-0.1365,0.0072,0.1437,0.5,5.5088,5.0045,-0.0159
16.05,seguindo,0.2431,-0.0144,-0.1323,0.01,0.1423,0.5,5.4928,5.0045,-0.0194
16.1,seguindo,0.2544,-0.0161,-0.1293,0.0118,0.1411,0.5,5.4822,5.0045,-0.0216
16.15,seguindo,0.2714,-0.0187,-0.1247,-0.0058,0.1189,0.5,5.4666,4.7571,-0.0244
16.2,seguindo,0.2827,-0.0203,-0.1217,-0.0043,0.1174,0.5,5.4559,4.7571,-0.0264
16.25,seguindo,0.2996,-0.0227,-0.1171,-0.0021,0.1151,0.5,5.4398,4.7571,-0.0294
16.3,seguindo,0.311,-0.0243,-0.1141,-0.0006,0.1135,0.5,5.4291,4.7571,-0.0314
16.35,seguindo,0.328,-0.0266,-0.1095,0.0017,0.1112,0.5,5.413,4.7571,-0.0343
16.4,seguindo,0.3393,-0.0281,-0.1065,-0.0061,0.1004,0.5,5.4022,4.8933,-0.0362
16.45,seguindo,0.3565,-0.0301,-0.1032,-0.0042,0.099,0.5,5.3859,4.8933,-0.039
16.5,seguindo,0.3681,-0.0315,-0.1015,-0.003,0.0985,0.5,5.3749,4.8933,-0.0407
16.55,seguindo,0.3854,-0.0334,-0.0989,-0.0011,0.0978,0.5,5.3584,4.8933,-0.0433
16.6,seguindo,0.397,-0.0347,-0.0973,0.0001,0.0974,0.5,5.3474,4.8933,-0.045
16.65,seguindo,0.4143,-0.0366,-0.0948,0.002,0.0968,0.5,5.3308,4.8933,-0.0475
16.7,seguindo,0.4259,-0.0378,-0.0932,-0.0072,0.086,0.5,5.3198,5.0045,-0.0491
16.75,seguindo,0.4433,-0.0396,-0.0908,-0.0056,0.0852,0.5,5.3033,5.0045,-0.0515
16.8,seguindo,0.4549,-0.0408,-0.0892,-0.104,-0.0149,0.5,5.2922,52.0472,0.0024
16.85,seguindo,0.4723,-0.0425,-0.0867,-0.1041,-0.0174,0.5,5.2757,52.0472,0.0024
16.9,seguindo,0.4839,-0.0437,-0.085,-0.1051,-0.0201,0.5,5.2646,36.6796,0.0024
16.95,seguindo,0.5012,-0.0453,-0.0824,-0.1052,-0.0229,0.5,5.2481,36.6796,0.0024
17.0,seguindo,0.5128,-0.0464,-0.0806,-0.1054,-0.0248,0.5,5.2371,36.6796,0.0025
17.05,seguindo,0.5302,-0.048,-0.0779,-0.1035,-0.0256,0.5,5.2157,36.6796,0.0015
17.1,seguindo,0.5417,-0.0491,-0.0761,-0.1037,-0.0276,0.5,5.2047,36.6796,0.0016
17.15,seguindo,0.5591,-0.0506,-0.0734,-0.1052,-0.0318,0.5,5.1881,27.0181,0.0018
17.2,seguindo,0.5707,-0.0516,-0.0716,-0.1054,-0.0339,0.5,5.1771,27.0181,0.0019
17.25,seguindo,0.5881,-0.053,-0.0689,-0.1058,-0.037,0.5,5.1605,27.0181,0.0022
17.3,seguindo,0.5996,-0.0539,-0.0671,-0.1061,-0.0391,0.5,5.1495,27.0181,0.0024
17.35,seguindo,0.617,-0.0553,-0.0643,-0.1066,-0.0422,0.5,5.1329,27.0181,0.0027
17.4,seguindo,0.6286,-0.0562,-0.0625,-0.1069,-0.0444,0.5,5.1218,27.0181,0.003
17.45,seguindo,0.646,-0.0575,-0.0598,-0.1089,-0.0491,0.5,5.1052,21.03,0.0034
17.5,seguindo,0.6576,-0.0583,-0.0581,-0.1093,-0.0513,0.5,5.0942,21.03,0.0037
17.55,seguindo,0.675,-0.0595,-0.0554,-0.11,-0.0546,0.5,5.0776,21.03,0.0042
17.6,seguindo,0.6866,-0.0603,-0.0537,-0.1105,-0.0568,0.5,5.0665,21.03,0.0046
17.65,seguindo,0.704,-0.0614,-0.051,-0.1113,-0.0602,0.5,5.0498,21.03,0.0052
17.7,seguindo,0.7156,-0.0622,-0.0493,-0.1132,-0.0639,0.5,5.0387,17.587,0.0056
