t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
15.2,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
15.25,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.3,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.35,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.4,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.45,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.5,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.55,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.6,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
15.65,seguindo,0.0027,0.0003,-0.0037,-0.0025,0.0012,0.5,5.7244,67.12,0.0003
15.7,seguindo,0.0059,0.0007,-0.0088,-0.0029,0.0059,0.5,5.7212,67.12,0.0007
15.75,seguindo,0.0135,0.0015,-0.0201,-0.0037,0.0165,0.5,5.7137,67.12,0.0015
15.8,seguindo,0.0199,0.0022,-0.0303,-0.0044,0.0259,0.5,5.7072,67.12,0.0022
15.85,seguindo,0.0322,0.003,-0.0461,-0.0052,0.0409,0.5,5.695,67.12,0.003
15.9,seguindo,0.0418,0.0033,-0.0563,-0.0064,0.0499,0.5,5.6856,43.3873,0.0033
15.95,seguindo,0.0589,0.0035,-0.0725,-0.0067,0.0658,0.5,5.6689,43.3873,0.0035
16.0,seguindo,0.0716,0.0034,-0.0831,-0.0066,0.0765,0.5,5.6564,43.3873,0.0034
16.05,seguindo,0.0912,0.0029,-0.0987,-0.0063,0.0925,0.5,5.6374,43.3873,0.0029
16.1,seguindo,0.1043,0.0024,-0.1092,-0.0058,0.1034,0.5,5.6246,43.3873,0.0024
16.15,seguindo,0.1237,0.0012,-0.122,-0.0061,0.1159,0.5,5.606,28.7951,0.0012
16.2,seguindo,0.1364,0.0001,-0.129,-0.0053,0.1238,0.5,5.5938,28.7951,0.0001
16.25,seguindo,0.155,-0.0018,-0.1354,-0.0035,0.132,0.5,5.576,28.7951,-0.0018
16.3,seguindo,0.1673,-0.0033,-0.1381,-0.0452,0.0929,0.5,5.5644,6.8159,-0.0005
16.35,seguindo,0.1852,-0.0057,-0.1395,-0.0436,0.0959,0.5,5.5474,6.8159,-0.0012
16.4,seguindo,0.197,-0.0073,-0.1394,-0.0394,0.1,0.5,5.5363,7.1435,-0.0018
16.45,seguindo,0.2142,-0.01,-0.1369,-0.0376,0.0993,0.5,5.52,7.1435,-0.0028
16.5,seguindo,0.2256,-0.0117,-0.1344,-0.0363,0.0981,0.5,5.5093,7.1435,-0.0035
16.55,seguindo,0.2426,-0.0143,-0.1302,-0.0344,0.0958,0.5,5.4933,7.1435,-0.0046
16.6,seguindo,0.2539,-0.016,-0.1272,-0.0331,0.0941,0.5,5.4826,7.1435,-0.0053
16.65,seguindo,0.2709,-0.0185,-0.1229,-0.0347,0.0882,0.5,5.4688,7.3024,-0.0065
16.7,seguindo,0.2823,-0.0201,-0.1201,-0.0336,0.0865,0.5,5.458,7.3024,-0.0071
16.75,seguindo,0.2994,-0.0225,-0.1163,-0.0319,0.0844,0.5,5.4418,7.3024,-0.0078
16.8,seguindo,0.3108,-0.024,-0.1139,-0.0308,0.0832,0.5,5.431,7.3024,-0.0082
16.85,seguindo,0.328,-0.0262,-0.1107,-0.0291,0.0816,0.5,5.4147,7.3024,-0.0088
16.9,seguindo,0.3395,-0.0276,-0.1087,-0.0281,0.0806,0.5,5.4038,7.3024,-0.0092
16.95,seguindo,0.3568,-0.0297,-0.106,-0.025,0.081,0.5,5.3874,6.8159,-0.0097
17.0,seguindo,0.3684,-0.0311,-0.1043,-0.024,0.0804,0.5,5.3764,6.8159,-0.01
17.05,seguindo,0.3857,-0.0331,-0.1019,-0.0225,0.0794,0.5,5.36,6.8159,-0.0104
17.1,seguindo,0.3973,-0.0344,-0.1002,-0.0214,0.0788,0.5,5.349,6.8159,-0.0107
17.15,seguindo,0.4147,-0.0363,-0.0977,-0.0199,0.0778,0.5,5.3325,6.8159,-0.0112
17.2,seguindo,0.4262,-0.0376,-0.0961,-0.0189,0.0772,0.5,5.3215,6.8159,-0.0115
17.25,seguindo,0.4436,-0.0394,-0.0935,-0.0165,0.077,0.5,5.305,7.1435,-0.0119
17.3,seguindo,0.4552,-0.0407,-0.0918,-0.0805,0.0113,0.5,5.2941,12.243,0.0007
17.35,seguindo,0.4725,-0.0424,-0.0892,-0.0801,0.009,0.5,5.2776,12.243,0.0005
17.4,seguindo,0.4899,-0.0442,-0.0865,-0.0798,0.0068,0.5,5.2611,12.243,0.0004
17.45,seguindo,0.5014,-0.0453,-0.0847,-0.0756,0.0092,0.5,5.2501,9.2617,0.0003
17.5,seguindo,0.513,-0.0464,-0.0829,-0.0754,0.0076,0.5,5.2391,9.2617,0.0003
17.55,seguindo,0.5303,-0.0481,-0.0801,-0.0855,-0.0053,0.5,5.2164,9.2617,0.0039
17.6,seguindo,0.5419,-0.0492,-0.0782,-0.0854,-0.0072,0.5,5.2053,9.2617,0.004
17.65,seguindo,0.5592,-0.0507,-0.0754,-0.0853,-0.0099,0.5,5.1888,9.2617,0.0042
17.7,seguindo,0.5708,-0.0517,-0.0736,-0.0802,-0.0066,0.5,5.1778,7.3571,0.0043
17.75,seguindo,0.5882,-0.0532,-0.0709,-0.0802,-0.0092,0.5,5.1612,7.3571,0.0046
17.8,seguindo,0.5998,-0.0542,-0.0691,-0.0801,-0.011,0.5,5.1501,7.3571,0.0048
17.85,seguindo,0.6171,-0.0556,-0.0664,-0.0801,-0.0137,0.5,5.1335,7.3571,0.0051
17.9,seguindo,0.6287,-0.0565,-0.0646,-0.0802,-0.0155,0.5,5.1225,7.3571,0.0053
17.95,seguindo,0.6461,-0.0578,-0.062,-0.0745,-0.0125,0.5,5.1059,6.1838,0.0057
18.0,seguindo,0.6577,-0.0587,-0.0602,-0.0745,-0.0143,0.5,5.0948,6.1838,0.006
18.05,seguindo,0.6751,-0.0599,-0.0575,-0.0745,-0.017,0.5,5.0782,6.1838,0.0065
18.1,seguindo,0.6867,-0.0607,-0.0557,-0.0746,-0.0189,0.5,5.0671,6.1838,0.0069
