t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0,-0.0,-0.0,5.7271,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0,-0.0,-0.0,5.7271,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.0,-0.0,-0.0,5.7271,0,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.15,-0.0,-0.0,-0.0,5.7271,0,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.2,-0.0,-0.0,-0.0,5.7271,0,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.25,-0.0,-0.0,-0.0,5.7271,0,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.3,-0.0,-0.0,-0.0,5.7271,0,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.35,-0.0,-0.0,-0.0,5.7271,0,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.4,-0.0,-0.0,-0.0,5.7271,0,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.45,-0.0,-0.0,-0.0,5.7271,0,-0.0022,-0.0022,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.5,0.0011,0.0001,-0.0011,5.726,82,-0.0022,-0.0011,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.55,0.0059,0.0007,-0.0088,5.7212,82,-0.0025,0.0063,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.6,0.0103,0.0011,-0.015,5.7168,82,-0.0029,0.0122,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.65,0.0199,0.0022,-0.0303,5.7072,82,-0.0037,0.0266,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.7,0.0275,0.0027,-0.0408,5.6996,82,-0.0044,0.0364,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.75,0.0419,0.0033,-0.0563,5.6854,82,-0.0052,0.0511,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.8,0.0527,0.0035,-0.0669,5.6749,82,-0.0064,0.0605,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.85,0.0718,0.0034,-0.0831,5.6562,82,-0.0066,0.0765,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.9,0.0848,0.0031,-0.0935,5.6436,82,-0.0066,0.0868,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.95,0.1046,0.0023,-0.1091,5.6244,82,-0.0062,0.1029,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.0,0.1176,0.0016,-0.1186,5.6118,82,-0.0058,0.1128,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.05,0.1369,0.0002,-0.1305,5.5933,79,-0.0062,0.1243,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.1,0.1494,-0.001,-0.1358,5.5813,79,-0.0971,0.0387,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.15,0.1678,-0.0032,-0.1399,5.5639,79,-0.097,0.0428,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.2,0.1797,-0.0048,-0.141,5.5526,79,-0.0947,0.0463,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.25,0.1973,-0.0074,-0.1404,5.536,79,-0.0942,0.0463,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.3,0.2089,-0.0091,-0.139,5.5251,79,-0.0936,0.0454,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.35,0.2259,-0.0118,-0.1352,5.509,79,-0.0926,0.0426,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.401,0.2372,-0.0136,-0.1324,5.4983,79,-0.0916,0.0408,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.45,0.2542,-0.0161,-0.1279,5.4824,79,-0.0909,0.037,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.5,0.2655,-0.0178,-0.1249,5.4717,79,-0.0881,0.0369,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.55,0.2769,-0.0195,-0.1221,5.461,79,-0.101,0.0211,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.6,0.2939,-0.0219,-0.1181,5.4449,79,-0.1003,0.0178,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.651,0.3111,-0.0241,-0.1146,5.4287,79,-0.0999,0.0147,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.7,0.3225,-0.0256,-0.1125,5.4179,79,-0.0996,0.0129,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.75,0.3341,-0.0271,-0.1105,5.407,79,-0.0964,0.0142,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.8,0.3513,-0.0292,-0.1077,5.3907,79,-0.0961,0.0117,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.85,0.3629,-0.0306,-0.106,5.3797,79,-0.0956,0.0104,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.9,0.3802,-0.0326,-0.1035,5.3633,79,-0.0954,0.0081,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.95,0.3918,-0.0339,-0.1019,5.3524,79,-0.0951,0.0068,0.5,0.0,0.5,0.0,0.5,0.0,0.0
