t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
34.85,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
34.9,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
34.95,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
35.0,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
35.05,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
35.1,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
35.15,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
35.2,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
35.25,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
35.3,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
35.35,seguindo,0.0027,0.0003,-0.0037,-0.0025,0.0012,0.5,5.7244,67.12,0.0003
35.4,seguindo,0.0059,0.0007,-0.0088,-0.0029,0.0059,0.5,5.7212,67.12,0.0007
35.45,seguindo,0.0135,0.0015,-0.0201,-0.0037,0.0164,0.5,5.7136,67.12,0.0015
35.5,seguindo,0.0199,0.0022,-0.0303,-0.0044,0.0259,0.5,5.7072,67.12,0.0022
35.55,seguindo,0.0323,0.003,-0.0461,-0.0052,0.0409,0.5,5.6949,67.12,0.003
35.6,seguindo,0.0419,0.0033,-0.0563,-0.0064,0.0499,0.5,5.6854,43.3873,0.0033
35.65,seguindo,0.059,0.0035,-0.0725,-0.0066,0.0658,0.5,5.6687,43.3873,0.0035
35.7,seguindo,0.0718,0.0034,-0.0831,-0.0066,0.0765,0.5,5.6562,43.3873,0.0034
35.75,seguindo,0.0914,0.0029,-0.0987,-0.0062,0.0924,0.5,5.6372,43.3873,0.0029
35.8,seguindo,0.1046,0.0023,-0.1091,-0.0058,0.1033,0.5,5.6244,43.3873,0.0023
35.85,seguindo,0.124,0.0012,-0.1227,-0.0062,0.1165,0.5,5.6057,28.7951,0.0012
35.9,seguindo,0.1369,0.0002,-0.1305,-0.0971,0.0333,0.5,5.5933,25.6611,0.0003
35.95,seguindo,0.1555,-0.0018,-0.1372,-0.097,0.0402,0.5,5.5755,25.6611,0.0002
36.0,seguindo,0.1739,-0.004,-0.1412,-0.0947,0.0465,0.5,5.5581,18.1749,-0.0003
36.05,seguindo,0.1856,-0.0057,-0.1408,-0.0942,0.0467,0.5,5.547,18.1749,-0.0008
36.1,seguindo,0.1973,-0.0074,-0.1404,-0.0936,0.0468,0.5,5.536,18.1749,-0.0014
36.15,seguindo,0.2145,-0.01,-0.1377,-0.0926,0.0451,0.5,5.5197,18.1749,-0.0023
36.201,seguindo,0.2316,-0.0127,-0.1339,-0.0916,0.0423,0.5,5.5037,18.1749,-0.0033
36.25,seguindo,0.2429,-0.0144,-0.1309,-0.0909,0.04,0.5,5.493,18.1749,-0.0039
36.3,seguindo,0.2542,-0.0161,-0.1279,-0.0881,0.0398,0.5,5.4824,14.1748,-0.0045
36.35,seguindo,0.2712,-0.0186,-0.1235,-0.101,0.0225,0.5,5.4661,14.1748,-0.0044
36.4,seguindo,0.2882,-0.0211,-0.1193,-0.1003,0.019,0.5,5.45,14.1748,-0.0049
36.45,seguindo,0.2996,-0.0226,-0.117,-0.0999,0.017,0.5,5.4391,14.1748,-0.0052
