t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
4.55,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
4.6,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
4.65,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
4.7,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
4.75,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
4.8,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
4.85,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
4.9,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
4.95,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.0,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.05,seguindo,0.0028,0.0003,-0.0037,-0.0025,0.0012,0.5,5.7244,67.12,0.0003
5.1,seguindo,0.006,0.0007,-0.0089,-0.0029,0.006,0.5,5.7211,67.12,0.0007
5.15,seguindo,0.0136,0.0015,-0.0203,-0.0037,0.0166,0.5,5.7135,67.12,0.0015
5.2,seguindo,0.02,0.0022,-0.0305,-0.0044,0.0261,0.5,5.7071,67.12,0.0022
5.25,seguindo,0.0323,0.003,-0.0463,-0.0052,0.0411,0.5,5.6949,67.12,0.003
5.3,seguindo,0.042,0.0033,-0.0565,-0.0064,0.0501,0.5,5.6854,43.3873,0.0033
5.35,seguindo,0.0592,0.0035,-0.0727,-0.0067,0.066,0.5,5.6686,43.3873,0.0035
5.4,seguindo,0.072,0.0034,-0.0833,-0.0066,0.0767,0.5,5.6561,43.3873,0.0034
5.45,seguindo,0.0915,0.0028,-0.0988,-0.0062,0.0926,0.5,5.637,43.3873,0.0028
5.5,seguindo,0.1047,0.0023,-0.1092,-0.0058,0.1034,0.5,5.6243,43.3873,0.0023
5.55,seguindo,0.1241,0.0011,-0.1222,-0.0061,0.1161,0.5,5.6056,28.7951,0.0011
5.6,seguindo,0.1368,0.0001,-0.1295,-0.1729,-0.0435,0.5,5.5934,6.2688,0.001
5.65,seguindo,0.1554,-0.0018,-0.1359,-0.1742,-0.0383,0.5,5.5756,6.2688,0.0015
5.7,seguindo,0.1677,-0.0033,-0.1386,-0.1736,-0.0351,0.5,5.564,6.9699,0.0016
5.75,seguindo,0.1855,-0.0057,-0.1395,-0.1743,-0.0348,0.5,5.5471,6.9699,0.0016
5.8,seguindo,0.1972,-0.0074,-0.1391,-0.1747,-0.0355,0.5,5.536,6.9699,0.0014
5.85,seguindo,0.2145,-0.01,-0.1366,-0.1751,-0.0385,0.5,5.5198,6.9699,0.0011
5.9,seguindo,0.2259,-0.0118,-0.1343,-0.1753,-0.041,0.5,5.509,6.9699,0.0009
5.95,seguindo,0.2429,-0.0144,-0.1302,-0.1725,-0.0423,0.5,5.493,6.6782,0.0006
6.0,seguindo,0.2542,-0.0161,-0.1271,-0.1727,-0.0456,0.5,5.4824,6.6782,0.0004
6.05,seguindo,0.2712,-0.0186,-0.123,-0.1853,-0.0623,0.5,5.4665,6.6782,0.001
6.1,seguindo,0.2826,-0.0202,-0.1204,-0.1858,-0.0654,0.5,5.4557,6.6782,0.0011
6.15,seguindo,0.2997,-0.0225,-0.1168,-0.1866,-0.0699,0.5,5.4395,6.6782,0.0013
6.2,seguindo,0.3112,-0.024,-0.1144,-0.1873,-0.0728,0.5,5.4286,6.6782,0.0015
6.25,seguindo,0.3284,-0.0262,-0.1113,-0.1827,-0.0714,0.5,5.4123,5.226,0.0019
6.3,seguindo,0.3399,-0.0277,-0.1092,-0.1833,-0.0741,0.5,5.4014,5.226,0.0021
6.35,seguindo,0.3572,-0.0298,-0.1065,-0.1843,-0.0779,0.5,5.385,5.226,0.0026
6.4,seguindo,0.3745,-0.0318,-0.1039,-0.1855,-0.0816,0.5,5.3685,5.226,0.0033
6.45,seguindo,0.3831,-0.0327,-0.1037,-0.1862,-0.0825,0.5,5.3603,5.226,0.0037
6.5,seguindo,0.3914,-0.0336,-0.1037,-0.1869,-0.0832,0.5,5.3524,5.226,0.0041
6.55,seguindo,0.4067,-0.0353,-0.1024,-0.1801,-0.0777,0.5,5.3378,3.7979,0.0047
6.6,seguindo,0.4183,-0.0366,-0.1006,-0.1903,-0.0897,0.5,5.3268,2.8615,0.0032
6.65,seguindo,0.4356,-0.0386,-0.0979,-0.1917,-0.0938,0.5,5.3104,2.8615,0.0054
6.7,seguindo,0.4472,-0.0399,-0.0961,-0.1926,-0.0965,0.5,5.2994,2.8615,0.0069
6.75,seguindo,0.4645,-0.0417,-0.0934,-0.1813,-0.0879,0.5,5.2829,2.6287,0.0092
6.8,seguindo,0.4819,-0.0435,-0.0908,-0.1826,-0.0918,0.5,5.2664,2.6287,0.0115
6.85,seguindo,0.4936,-0.0447,-0.0897,-0.1836,-0.0939,0.5,5.2553,2.6287,0.0132
6.9,seguindo,0.5053,-0.0458,-0.0887,-0.1846,-0.0958,0.5,5.2441,2.6287,0.0149
6.95,seguindo,0.523,-0.0474,-0.0882,-0.1862,-0.098,0.5,5.2272,2.6287,0.0176
7.0,seguindo,0.5348,-0.0485,-0.0882,-0.1733,-0.0852,0.5,5.2159,2.5567,0.0194
7.05,seguindo,0.5524,-0.0501,-0.0867,-0.1828,-0.096,0.5,5.1913,2.5567,0.0255
7.1,seguindo,0.564,-0.0513,-0.0854,-0.1838,-0.0984,0.5,5.1802,2.5567,0.0272
7.15,seguindo,0.5814,-0.0529,-0.0828,-0.1853,-0.1024,0.5,5.1637,2.5567,0.0299
7.2,seguindo,0.5987,-0.0546,-0.0801,-0.1868,-0.1068,0.5,5.1471,2.5567,0.0327
7.25,seguindo,0.6103,-0.0556,-0.0782,-0.1727,-0.0945,0.5,5.1361,2.6297,0.0345
7.3,seguindo,0.6219,-0.0567,-0.0764,-0.1736,-0.0972,0.5,5.1251,2.6297,0.0363
7.35,seguindo,0.6392,-0.0582,-0.0735,-0.175,-0.1015,0.5,5.1085,2.6297,0.0392
7.4,seguindo,0.6508,-0.0592,-0.0716,-0.176,-0.1044,0.5,5.0975,2.6297,0.0411
7.45,seguindo,0.6681,-0.0607,-0.0687,-0.1776,-0.109,0.5,5.081,2.6297,0.044
7.5,seguindo,0.6854,-0.0621,-0.0657,-0.1793,-0.1136,0.5,5.0644,2.6297,0.0469
7.55,seguindo,0.697,-0.063,-0.0638,-0.1645,-0.1007,0.5,5.0534,2.6287,0.0489
7.6,seguindo,0.7086,-0.0639,-0.062,-0.1655,-0.1035,0.5,5.0423,2.6287,0.0509
7.65,seguindo,0.726,-0.0652,-0.0592,-0.082,-0.0229,0.5,5.0258,7.3335,0.0037
7.7,seguindo,0.7376,-0.066,-0.0573,-0.0822,-0.0248,0.5,5.0147,7.3335,0.0041
7.75,seguindo,0.7549,-0.0672,-0.0546,-0.0767,-0.022,0.5,4.9981,6.1671,0.0046
7.801,seguindo,0.7723,-0.0683,-0.0519,-0.0768,-0.0249,0.5,4.9814,6.1671,0.0053
7.85,seguindo,0.7839,-0.0691,-0.0502,-0.077,-0.0268,0.5,4.9703,6.1671,0.0057
7.9,seguindo,0.7956,-0.0698,-0.0484,-0.0772,-0.0288,0.5,4.9592,6.1671,0.0062
7.95,seguindo,0.813,-0.0708,-0.0458,-0.0824,-0.0367,0.5,4.9371,6.1671,0.0057
8.0,seguindo,0.8246,-0.0715,-0.044,-0.0765,-0.0325,0.5,4.926,5.5326,0.0063
8.055,seguindo,0.842,-0.0724,-0.0413,-0.0768,-0.0355,0.5,4.9093,5.5326,0.0072
8.1,seguindo,0.8536,-0.0731,-0.0395,-0.0771,-0.0376,0.5,4.8982,5.5326,0.0079
8.15,seguindo,0.871,-0.0739,-0.0369,-0.0776,-0.0406,0.5,4.8814,5.5326,0.0089
8.2,seguindo,0.8826,-0.0745,-0.0352,-0.0779,-0.0427,0.5,4.8703,5.5326,0.0096
8.25,seguindo,0.9,-0.0753,-0.0325,-0.0718,-0.0393,0.5,4.8536,5.3412,0.0106
8.3,seguindo,0.9116,-0.0758,-0.0306,-0.0721,-0.0415,0.5,4.8424,5.3412,0.0114
