t_wall,topic,vx,wz,px,py,extra
1787279209.119,/auto_vel_raw,0.0000,0.0000,,,
1787279209.190,/auto_vel_raw,0.0000,0.0000,,,
1787279209.261,/auto_vel_raw,0.0000,0.0000,,,
1787279209.321,/auto_vel_raw,0.0000,0.0000,,,
1787279209.380,/auto_vel_raw,0.0000,0.0000,,,
1787279209.429,/auto_vel_raw,0.0000,0.0000,,,
1787279209.489,/auto_vel_raw,0.0000,0.0000,,,
1787279209.537,/auto_vel_raw,0.0000,0.0000,,,
1787279209.598,/auto_vel_raw,0.0000,0.0000,,,
1787279209.651,odom,0.0000,0.0000,6.140,10.000,
1787279209.671,odom,0.0000,0.0000,6.140,10.000,
1787279209.675,/auto_vel_raw,0.0000,0.0000,,,
1787279209.698,odom,0.0000,0.0000,6.140,10.000,
1787279209.717,odom,0.0000,0.0000,6.140,10.000,
1787279209.732,/auto_vel_raw,0.0000,0.0000,,,
1787279209.743,odom,0.0000,0.0000,6.140,10.000,
1787279209.763,odom,0.0000,0.0000,6.140,10.000,
1787279209.783,/auto_vel_raw,0.0000,0.0000,,,
1787279209.783,odom,0.0000,0.0000,6.140,10.000,
1787279209.807,odom,0.0000,0.0000,6.140,10.000,
1787279209.824,odom,0.0000,0.0000,6.140,10.000,
1787279209.835,/auto_vel_raw,0.0000,0.0000,,,
1787279209.849,odom,0.0000,0.0000,6.140,10.000,
1787279209.865,odom,0.0000,0.0000,6.140,10.000,
1787279209.889,odom,0.0000,0.0000,6.140,10.000,
1787279209.893,/auto_vel_raw,0.0000,0.0000,,,
1787279209.909,odom,0.0000,0.0000,6.140,10.000,
1787279209.931,odom,0.0000,0.0000,6.140,10.000,
1787279209.942,/auto_vel_raw,0.0000,0.0000,,,
1787279209.952,odom,0.0000,0.0000,6.140,10.000,
1787279209.972,odom,0.0000,0.0000,6.140,10.000,
1787279209.998,odom,0.0000,0.0000,6.140,10.000,
1787279210.000,/auto_vel_raw,0.0000,0.0000,,,
1787279210.019,odom,0.0000,0.0000,6.140,10.000,
1787279210.048,odom,0.0000,0.0000,6.140,10.000,
1787279210.061,/auto_vel_raw,0.0000,0.0000,,,
1787279210.074,odom,0.0000,0.0000,6.140,10.000,
1787279210.098,odom,0.0000,0.0000,6.140,10.000,
1787279210.127,/auto_vel_raw,0.0000,0.0000,,,
1787279210.127,odom,0.0000,0.0000,6.140,10.000,
1787279210.151,odom,0.0000,0.0000,6.140,10.000,
