t,estado,modo,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
28.418,seguindo,normal,6.14,10.0,0.0,1.4513,1.4513,0.5,10.2785,2.3383,0.37,6.189,10.408,0.0233
28.45,seguindo,normal,6.14,10.0,0.0,1.4513,1.4513,0.5,10.2785,2.3383,0.37,6.189,10.408,0.0233
28.501,seguindo,normal,6.14,10.0,0.0,1.4513,1.4513,0.5,10.2785,2.3383,0.37,6.189,10.408,0.0233
28.55,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.6,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.65,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.7,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.75,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.8,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.85,seguindo,normal,6.1385,9.9996,0.0051,1.5207,1.5157,0.5,10.279,2.7022,1.0,6.189,11.008,0.0243
28.9,seguindo,normal,6.1369,9.9992,0.0102,1.5192,1.509,0.5,10.2796,2.7022,1.0,6.189,11.008,0.0253
28.95,seguindo,normal,6.1345,9.9981,0.0229,1.4205,1.3976,0.5,10.2808,0.6826,0.37,6.189,10.358,0.0267
29.0,seguindo,normal,6.1329,9.9972,0.0332,1.4166,1.3833,0.5,10.2818,0.6826,0.37,6.189,10.358,0.0275
29.05,seguindo,normal,6.1306,9.9954,0.0537,1.4111,1.3574,0.5,10.2837,0.6826,0.37,6.189,10.358,0.0284
29.1,seguindo,normal,6.1291,9.9941,0.0691,1.4076,1.3385,0.5,10.2851,0.6826,0.37,6.189,10.358,0.0288
