t_wall,topic,vx,wz,px,py,extra
1787273755.884,odom,0.0000,0.0000,6.140,10.000,
1787273755.908,odom,0.0000,0.0000,6.140,10.000,
1787273755.923,/auto_vel_raw,0.0000,0.0000,,,
1787273755.934,odom,0.0000,0.0000,6.140,10.000,
1787273755.961,odom,0.0000,0.0000,6.140,10.000,
1787273755.987,/auto_vel_raw,0.0000,0.0000,,,
1787273755.988,odom,0.0000,0.0000,6.140,10.000,
1787273756.025,odom,0.0000,0.0000,6.140,10.000,
1787273756.050,odom,0.0000,0.0000,6.140,10.000,
1787273756.064,/auto_vel_raw,0.0000,0.0000,,,
1787273756.076,odom,0.0000,0.0000,6.140,10.000,
1787273756.100,odom,0.0000,0.0000,6.140,10.000,
1787273756.121,/auto_vel_raw,0.0000,0.0000,,,
1787273756.121,odom,0.0000,0.0000,6.140,10.000,
1787273756.145,odom,0.0000,0.0000,6.140,10.000,
1787273756.163,odom,0.0000,0.0000,6.140,10.000,
1787273756.175,/auto_vel_raw,0.0000,0.0000,,,
1787273756.186,odom,0.0000,0.0000,6.140,10.000,
1787273756.207,odom,0.0000,0.0000,6.140,10.000,
1787273756.233,/auto_vel_raw,0.0000,0.0000,,,
1787273756.233,odom,0.0000,0.0000,6.140,10.000,
1787273756.249,odom,0.0000,0.0000,6.140,10.000,
1787273756.272,odom,0.0000,0.0000,6.140,10.000,
1787273756.285,/auto_vel_raw,0.0000,0.0000,,,
1787273756.294,odom,0.0000,0.0000,6.140,10.000,
1787273756.317,odom,0.0000,0.0000,6.140,10.000,
1787273756.339,/auto_vel_raw,0.0000,0.0000,,,
1787273756.340,odom,0.0000,0.0000,6.140,10.000,
1787273756.357,odom,0.0000,0.0000,6.140,10.000,
1787273756.378,odom,0.0000,0.0000,6.140,10.000,
1787273756.387,/auto_vel_raw,0.0000,0.0000,,,
1787273756.397,odom,0.0000,0.0000,6.140,10.000,
1787273756.417,odom,0.0000,0.0000,6.140,10.000,
1787273756.437,odom,0.0000,0.0000,6.140,10.000,
1787273756.439,/auto_vel_raw,0.0000,0.0000,,,
1787273756.458,odom,0.0000,0.0000,6.140,10.000,
1787273756.480,odom,0.0000,0.0000,6.140,10.000,
1787273756.491,/auto_vel_raw,0.0000,0.0000,,,
1787273756.500,odom,0.0000,0.0000,6.140,10.000,
1787273756.519,odom,0.0000,0.0000,6.140,10.000,
1787273756.540,/auto_vel_raw,0.0000,0.0000,,,
1787273756.540,odom,0.0000,0.0000,6.140,10.000,
1787273756.564,odom,0.0000,0.0000,6.140,10.000,
1787273756.585,odom,0.0000,0.0000,6.140,10.000,
1787273756.594,/auto_vel_raw,0.0000,0.0000,,,
1787273756.605,odom,0.0000,0.0000,6.140,10.000,
1787273756.626,odom,0.0000,0.0000,6.140,10.000,
1787273756.645,/auto_vel_raw,0.0000,0.0000,,,
1787273756.647,odom,0.0000,0.0000,6.140,10.000,
1787273756.666,odom,0.0000,0.0000,6.140,10.000,
1787273756.685,odom,0.0000,0.0000,6.140,10.000,
1787273756.697,/auto_vel_raw,0.0000,0.0000,,,
1787273756.708,odom,0.0000,0.0000,6.140,10.000,
1787273756.730,odom,0.0000,0.0000,6.140,10.000,
1787273756.751,/auto_vel_raw,0.0000,0.0000,,,
1787273756.751,odom,0.0000,0.0000,6.140,10.000,
1787273756.772,odom,0.0000,0.0000,6.140,10.000,
1787273756.792,odom,0.0000,0.0000,6.140,10.000,
1787273756.802,/auto_vel_raw,0.0000,0.0000,,,
1787273756.812,odom,0.0000,0.0000,6.140,10.000,
1787273756.833,odom,0.0000,0.0000,6.140,10.000,
1787273756.855,/auto_vel_raw,0.0000,0.0000,,,
1787273756.856,odom,0.0000,0.0000,6.140,10.000,
1787273756.876,odom,0.0000,0.0000,6.140,10.000,
1787273756.896,odom,0.0000,0.0000,6.140,10.000,
1787273756.905,/auto_vel_raw,0.0000,0.0000,,,
1787273756.916,odom,0.0000,0.0000,6.140,10.000,
1787273756.936,odom,0.0000,0.0000,6.140,10.000,
1787273756.959,/auto_vel_raw,0.0000,0.0000,,,
1787273756.959,odom,0.0000,0.0000,6.140,10.000,
1787273756.982,odom,0.0000,0.0000,6.140,10.000,
1787273757.002,odom,0.0000,0.0000,6.140,10.000,
1787273757.012,/auto_vel_raw,0.0000,0.0000,,,
1787273757.022,odom,0.0000,0.0000,6.140,10.000,
1787273757.041,odom,0.0000,0.0000,6.140,10.000,
1787273757.062,odom,0.0000,0.0000,6.140,10.000,
1787273757.064,/auto_vel_raw,0.0000,0.0000,,,
1787273757.088,odom,0.0000,0.0000,6.140,10.000,
1787273757.111,odom,0.0000,0.0000,6.140,10.000,
1787273757.124,/auto_vel_raw,0.0000,0.0000,,,
1787273757.132,odom,0.0000,0.0000,6.140,10.000,
1787273757.150,odom,0.0000,0.0000,6.140,10.000,
1787273757.176,/auto_vel_raw,0.0000,0.0000,,,
1787273757.176,odom,0.0000,0.0000,6.140,10.000,
1787273757.199,odom,0.0000,0.0000,6.140,10.000,
1787273757.237,odom,0.0000,0.0000,6.140,10.000,
1787273757.256,/auto_vel_raw,0.0000,0.0000,,,
1787273757.263,odom,0.0000,0.0000,6.140,10.000,
1787273757.283,odom,0.0000,0.0000,6.140,10.000,
1787273757.315,odom,0.0000,0.0000,6.140,10.000,
1787273757.317,/auto_vel_raw,0.0000,0.0000,,,
1787273757.337,odom,0.0000,0.0000,6.140,10.000,
1787273757.357,odom,0.0000,0.0000,6.140,10.000,
1787273757.368,/auto_vel_raw,0.0000,0.0000,,,
1787273757.378,odom,0.0000,0.0000,6.140,10.000,
1787273757.398,odom,0.0000,0.0000,6.140,10.000,
1787273757.418,odom,0.0000,0.0000,6.140,10.000,
1787273757.420,/auto_vel_raw,0.0000,0.0000,,,
1787273757.438,odom,0.0000,0.0000,6.140,10.000,
1787273757.458,odom,0.0000,0.0000,6.140,10.000,
1787273757.468,/auto_vel_raw,0.0000,0.0000,,,
1787273757.477,odom,0.0000,0.0000,6.140,10.000,
1787273757.498,odom,0.0000,0.0000,6.140,10.000,
1787273757.517,odom,0.0000,0.0000,6.140,10.000,
1787273757.521,/auto_vel_raw,0.0000,0.0000,,,
1787273757.540,odom,0.0000,0.0000,6.140,10.000,
1787273757.560,odom,0.0000,0.0000,6.140,10.000,
1787273757.570,/auto_vel_raw,0.0000,0.0000,,,
1787273757.580,odom,0.0000,0.0000,6.140,10.000,
1787273757.600,odom,0.0000,0.0000,6.140,10.000,
1787273757.623,/auto_vel_raw,0.0000,0.0000,,,
1787273757.623,odom,0.0000,0.0000,6.140,10.000,
1787273757.644,odom,0.0000,0.0000,6.140,10.000,
1787273757.663,odom,0.0000,0.0000,6.140,10.000,
1787273757.675,/auto_vel_raw,0.0000,0.0000,,,
1787273757.686,odom,0.0000,0.0000,6.140,10.000,
1787273757.707,odom,0.0000,0.0000,6.140,10.000,
1787273757.728,/auto_vel_raw,0.0000,0.0000,,,
1787273757.728,odom,0.0000,0.0000,6.140,10.000,
1787273757.749,odom,0.0000,0.0000,6.140,10.000,
1787273757.768,odom,0.0000,0.0000,6.140,10.000,
1787273757.778,/auto_vel_raw,0.0000,0.0000,,,
1787273757.787,odom,0.0000,0.0000,6.140,10.000,
1787273757.809,odom,0.0000,0.0000,6.140,10.000,
1787273757.834,/auto_vel_raw,0.0000,0.0000,,,
1787273757.835,odom,0.0000,0.0000,6.140,10.000,
1787273757.861,odom,0.0000,0.0000,6.140,10.000,
1787273757.885,odom,0.0000,0.0000,6.140,10.000,
1787273757.895,/auto_vel_raw,0.0000,0.0000,,,
1787273757.905,odom,0.0000,0.0000,6.140,10.000,
1787273757.925,odom,0.0000,0.0000,6.140,10.000,
1787273757.945,/auto_vel_raw,0.0000,0.0000,,,
1787273757.946,odom,0.0000,0.0000,6.140,10.000,
1787273757.968,odom,0.0000,0.0000,6.140,10.000,
1787273757.987,odom,0.0000,0.0000,6.140,10.000,
1787273757.999,/auto_vel_raw,0.0000,0.0000,,,
1787273758.008,odom,0.0000,0.0000,6.140,10.000,
1787273758.014,/auto_vel,0.0000,0.0000,,,
1787273758.015,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.016,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.019,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.029,odom,0.0000,0.0000,6.140,10.000,
1787273758.051,/auto_vel_raw,0.0000,0.0000,,,
1787273758.052,odom,0.0000,0.0000,6.140,10.000,
1787273758.071,odom,0.0000,0.0000,6.140,10.000,
1787273758.074,/auto_vel,0.0000,0.0000,,,
1787273758.076,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.078,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.078,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.098,odom,0.0000,0.0000,6.140,10.000,
1787273758.110,/auto_vel_raw,0.0000,0.0000,,,
1787273758.119,odom,0.0000,0.0000,6.140,10.000,
1787273758.123,/auto_vel,0.0000,0.0000,,,
1787273758.124,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.125,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.125,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.143,odom,0.0000,0.0000,6.140,10.000,
1787273758.162,odom,0.0000,0.0000,6.140,10.000,
1787273758.163,/auto_vel_raw,0.0000,0.0000,,,
1787273758.182,odom,0.0000,0.0000,6.140,10.000,
1787273758.186,/auto_vel,0.0000,0.0000,,,
1787273758.186,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.187,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.188,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.203,odom,0.0000,0.0000,6.140,10.000,
1787273758.215,/auto_vel_raw,0.0000,0.0000,,,
1787273758.228,odom,0.0000,0.0000,6.140,10.000,
1787273758.237,/auto_vel,0.0000,0.0000,,,
1787273758.238,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.239,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.239,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.249,odom,0.0000,0.0000,6.140,10.000,
1787273758.269,odom,0.0000,0.0000,6.140,10.000,
1787273758.271,/auto_vel_raw,0.0000,0.0000,,,
1787273758.282,/auto_vel,0.0000,0.0000,,,
1787273758.282,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.284,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.285,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.292,odom,0.0000,0.0000,6.140,10.000,
1787273758.310,odom,0.0000,0.0000,6.140,10.000,
1787273758.323,/auto_vel_raw,0.0000,0.0000,,,
1787273758.330,odom,0.0000,0.0000,6.140,10.000,
1787273758.337,/auto_vel,0.0000,0.0000,,,
1787273758.337,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.338,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.338,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.351,odom,0.0000,0.0000,6.140,10.000,
1787273758.371,/auto_vel_raw,0.0000,0.0000,,,
1787273758.371,odom,0.0000,0.0000,6.140,10.000,
1787273758.372,/auto_vel,0.0000,0.0000,,,
1787273758.373,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.374,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.375,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.391,odom,0.0000,0.0000,6.140,10.000,
1787273758.411,odom,0.0000,0.0000,6.140,10.000,
1787273758.421,/auto_vel_raw,0.0000,0.0000,,,
1787273758.430,odom,0.0000,0.0000,6.140,10.000,
1787273758.433,/auto_vel,0.0000,0.0000,,,
1787273758.433,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.434,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.435,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.450,odom,0.0000,0.0000,6.140,10.000,
1787273758.471,/auto_vel_raw,0.0000,0.0000,,,
1787273758.471,odom,0.0000,0.0000,6.140,10.000,
1787273758.473,/auto_vel,0.0000,0.0000,,,
1787273758.473,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.475,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.476,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.491,odom,0.0000,0.0000,6.140,10.000,
1787273758.510,odom,0.0000,0.0000,6.140,10.000,
1787273758.521,/auto_vel_raw,0.0000,0.0000,,,
1787273758.531,odom,0.0000,0.0000,6.140,10.000,
1787273758.535,/auto_vel,0.0000,0.0000,,,
1787273758.535,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.536,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.537,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.550,odom,0.0000,0.0000,6.140,10.000,
1787273758.570,odom,0.0000,0.0000,6.140,10.000,
1787273758.572,/auto_vel_raw,0.0000,0.0000,,,
1787273758.590,odom,0.0000,0.0000,6.140,10.000,
1787273758.593,/auto_vel,0.0000,0.0000,,,
1787273758.593,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.595,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.595,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.610,odom,0.0000,0.0000,6.140,10.000,
1787273758.622,/auto_vel_raw,0.0000,0.0000,,,
1787273758.630,odom,0.0000,0.0000,6.140,10.000,
1787273758.633,/auto_vel,0.0000,0.0000,,,
1787273758.634,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.635,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.637,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.651,odom,0.0000,0.0000,6.140,10.000,
1787273758.670,odom,0.0000,0.0000,6.140,10.000,
1787273758.671,/auto_vel_raw,0.0000,0.0000,,,
1787273758.691,odom,0.0000,0.0000,6.140,10.000,
1787273758.693,/auto_vel,0.0000,0.0000,,,
1787273758.693,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.694,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.695,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.710,odom,0.0000,0.0000,6.140,10.000,
1787273758.721,/auto_vel_raw,0.0000,0.0000,,,
1787273758.730,odom,0.0000,0.0000,6.140,10.000,
1787273758.732,/auto_vel,0.0000,0.0000,,,
1787273758.733,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273758.734,/cmd_vel_bruto,0.0000,0.0000,,,
1787273758.735,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273758.754,odom,0.0000,0.0000,6.140,10.000,
1787273758.772,odom,0.0000,0.0000,6.140,10.000,
1787273758.773,/auto_vel_raw,0.0000,0.0000,,,
1787273758.795,odom,0.0000,0.0000,6.140,10.000,
1787273758.805,/auto_vel,0.0000,0.0000,,,
1787273758.806,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
