t,estado,modo,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
201.268,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
201.3,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
201.35,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
201.401,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
201.45,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
201.5,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
201.55,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
201.6,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
201.65,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
201.7,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
201.751,seguindo,normal,6.1385,9.9996,0.0051,1.5207,1.5156,0.5,10.279,2.7022,1.0,6.189,11.008,0.0243
201.8,seguindo,normal,6.1361,9.9989,0.0129,1.5184,1.5055,0.5,10.2798,2.7022,1.0,6.189,11.008,0.0259
201.85,seguindo,normal,6.1345,9.9981,0.023,1.4205,1.3975,0.5,10.2808,0.6826,0.37,6.189,10.358,0.0267
201.9,seguindo,normal,6.1329,9.9972,0.0333,1.4166,1.3833,0.5,10.2818,0.6826,0.37,6.189,10.358,0.0275
201.95,seguindo,normal,6.1306,9.9954,0.0537,1.4111,1.3574,0.5,10.2837,0.6826,0.37,6.189,10.358,0.0284
202.0,seguindo,normal,6.1291,9.9941,0.0692,1.4076,1.3384,0.5,10.2851,0.6826,0.37,6.189,10.358,0.0288
202.05,seguindo,normal,6.1269,9.9916,0.0974,1.4028,1.3054,0.5,10.2877,0.6826,0.37,6.189,10.358,0.0292
202.1,seguindo,normal,6.1254,9.9897,0.118,1.3999,1.2819,0.5,10.2897,0.6826,0.37,6.189,10.358,0.0293
202.15,seguindo,normal,6.1235,9.9865,0.1539,1.3962,1.2423,0.5,10.293,0.6826,0.37,6.189,10.358,0.0291
202.2,seguindo,normal,6.1222,9.9842,0.1796,1.394,1.2145,0.5,10.2954,0.6826,0.37,6.189,10.358,0.0288
202.251,seguindo,normal,6.1206,9.9802,0.2232,1.3916,1.1685,0.5,10.2995,0.6826,0.37,6.189,10.358,0.0278
202.3,seguindo,normal,6.1196,9.9774,0.2541,1.3905,1.1364,0.5,10.3024,0.6826,0.37,6.189,10.358,0.027
202.35,seguindo,normal,6.1185,9.9727,0.3054,1.3897,1.0843,0.5,10.3071,0.6826,0.37,6.189,10.358,0.0253
202.4,seguindo,normal,6.1179,9.9695,0.3414,1.3897,1.0484,0.5,10.3104,0.6826,0.37,6.189,10.358,0.024
202.45,seguindo,normal,6.1174,9.9641,0.4004,1.3909,0.9905,0.5,10.3158,0.6826,0.37,6.189,10.358,0.0225
202.5,seguindo,normal,6.1173,9.9604,0.4416,1.3923,0.9507,0.5,10.3195,0.6826,0.37,6.189,10.358,0.0219
202.55,seguindo,normal,6.1176,9.9545,0.5084,1.3957,0.8873,0.5,10.3254,0.6826,0.37,6.189,10.358,0.0217
202.6,seguindo,normal,6.1181,9.9504,0.5547,1.3987,0.844,0.5,10.3294,0.6826,0.37,6.189,10.358,0.0222
202.65,seguindo,normal,6.1195,9.944,0.6291,1.4045,0.7754,0.5,10.3357,0.6826,0.37,6.189,10.358,0.024
202.7,seguindo,normal,6.1215,9.9376,0.7063,1.4117,0.7054,0.5,10.342,0.6826,0.37,6.189,10.358,0.0269
202.75,seguindo,normal,6.1234,9.9331,0.7627,1.4177,0.6549,0.5,10.3463,0.6826,0.37,6.189,10.358,-0.0294
202.8,seguindo,normal,6.1256,9.9287,0.8194,1.4241,0.6047,0.5,10.3505,0.6826,0.37,6.189,10.358,-0.0322
202.85,seguindo,normal,6.1296,9.9222,0.9093,1.4353,0.526,0.5,10.3569,0.6826,0.37,6.189,10.358,-0.0371
202.9,seguindo,normal,6.1327,9.9179,0.9711,1.4435,0.4725,0.5,10.3609,0.6826,0.37,6.189,10.358,-0.0406
202.95,seguindo,normal,6.139,9.9134,1.066,1.4587,0.3928,0.5,10.365,0.6826,0.37,6.189,10.358,-0.0446
203.0,seguindo,normal,6.1438,9.9116,1.1288,1.4699,0.3411,0.5,10.3665,0.6826,0.37,6.189,10.358,-0.0467
203.05,seguindo,normal,6.1511,9.9098,1.2194,1.4865,0.2672,0.5,10.3678,0.6826,0.37,6.189,10.358,-0.0497
