t_wall,topic,vx,wz,px,py,extra
1787278339.278,odom,0.0000,0.0000,6.140,10.000,
1787278339.301,odom,0.0000,0.0000,6.140,10.000,
1787278339.316,/auto_vel_raw,0.0000,0.0000,,,
1787278339.329,odom,0.0000,0.0000,6.140,10.000,
1787278339.351,odom,0.0000,0.0000,6.140,10.000,
1787278339.372,/auto_vel_raw,0.0000,0.0000,,,
1787278339.372,odom,0.0000,0.0000,6.140,10.000,
1787278339.395,odom,0.0000,0.0000,6.140,10.000,
1787278339.419,odom,0.0000,0.0000,6.140,10.000,
1787278339.433,/auto_vel_raw,0.0000,0.0000,,,
1787278339.445,odom,0.0000,0.0000,6.140,10.000,
1787278339.468,odom,0.0000,0.0000,6.140,10.000,
1787278339.486,/auto_vel_raw,0.0000,0.0000,,,
1787278339.487,odom,0.0000,0.0000,6.140,10.000,
1787278339.512,odom,0.0000,0.0000,6.140,10.000,
1787278339.537,odom,0.0000,0.0000,6.140,10.000,
1787278339.547,/auto_vel_raw,0.0000,0.0000,,,
1787278339.559,odom,0.0000,0.0000,6.140,10.000,
1787278339.581,odom,0.0000,0.0000,6.140,10.000,
1787278339.602,/auto_vel_raw,0.0000,0.0000,,,
1787278339.603,odom,0.0000,0.0000,6.140,10.000,
1787278339.623,odom,0.0000,0.0000,6.140,10.000,
1787278339.646,odom,0.0000,0.0000,6.140,10.000,
1787278339.656,/auto_vel_raw,0.0000,0.0000,,,
1787278339.666,odom,0.0000,0.0000,6.140,10.000,
1787278339.686,odom,0.0000,0.0000,6.140,10.000,
1787278339.708,odom,0.0000,0.0000,6.140,10.000,
1787278339.709,/auto_vel_raw,0.0000,0.0000,,,
1787278339.730,odom,0.0000,0.0000,6.140,10.000,
1787278339.750,odom,0.0000,0.0000,6.140,10.000,
1787278339.762,/auto_vel_raw,0.0000,0.0000,,,
1787278339.771,odom,0.0000,0.0000,6.140,10.000,
1787278339.792,odom,0.0000,0.0000,6.140,10.000,
1787278339.812,odom,0.0000,0.0000,6.140,10.000,
1787278339.814,/auto_vel_raw,0.0000,0.0000,,,
1787278339.834,odom,0.0000,0.0000,6.140,10.000,
1787278339.856,odom,0.0000,0.0000,6.140,10.000,
1787278339.869,/auto_vel_raw,0.0000,0.0000,,,
1787278339.882,odom,0.0000,0.0000,6.140,10.000,
1787278339.902,odom,0.0000,0.0000,6.140,10.000,
1787278339.923,/auto_vel_raw,0.0000,0.0000,,,
1787278339.924,odom,0.0000,0.0000,6.140,10.000,
1787278339.945,odom,0.0000,0.0000,6.140,10.000,
1787278339.969,odom,0.0000,0.0000,6.140,10.000,
1787278339.978,/auto_vel_raw,0.0000,0.0000,,,
1787278339.987,odom,0.0000,0.0000,6.140,10.000,
1787278340.007,odom,0.0000,0.0000,6.140,10.000,
1787278340.026,/auto_vel_raw,0.0000,0.0000,,,
1787278340.027,odom,0.0000,0.0000,6.140,10.000,
1787278340.050,odom,0.0000,0.0000,6.140,10.000,
1787278340.070,odom,0.0000,0.0000,6.140,10.000,
1787278340.078,/auto_vel_raw,0.0000,0.0000,,,
1787278340.087,odom,0.0000,0.0000,6.140,10.000,
