t,estado,modo,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
27.816,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
27.85,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
27.9,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
27.95,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.0,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.05,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.1,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.15,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.2,seguindo,normal,6.14,10.0,0.0,1.5222,1.5222,0.5,10.2785,2.7022,1.0,6.189,11.008,0.0233
28.25,seguindo,normal,6.1385,9.9996,0.0051,1.5207,1.5157,0.5,10.279,2.7022,1.0,6.189,11.008,0.0243
28.3,seguindo,normal,6.1369,9.9992,0.0102,1.5192,1.509,0.5,10.2796,2.7022,1.0,6.189,11.008,0.0253
28.35,seguindo,normal,6.1345,9.9981,0.0229,1.4205,1.3976,0.5,10.2808,0.6826,0.37,6.189,10.358,0.0267
28.404,seguindo,normal,6.1321,9.9968,0.0383,1.4147,1.3764,0.5,10.2822,0.6826,0.37,6.189,10.358,0.0279
28.45,seguindo,normal,6.1306,9.9954,0.0535,1.4111,1.3576,0.5,10.2837,0.6826,0.37,6.189,10.358,0.0284
28.5,seguindo,normal,6.1291,9.9941,0.0689,1.4076,1.3387,0.5,10.2851,0.6826,0.37,6.189,10.358,0.0288
28.55,seguindo,normal,6.1269,9.9916,0.097,1.4028,1.3058,0.5,10.2877,0.6826,0.37,6.189,10.358,0.0292
28.6,seguindo,normal,6.1254,9.9898,0.1176,1.3999,1.2823,0.5,10.2896,0.6826,0.37,6.189,10.358,0.0293
28.65,seguindo,normal,6.1235,9.9866,0.1535,1.3961,1.2427,0.5,10.293,0.6826,0.37,6.189,10.358,0.0291
28.7,seguindo,normal,6.1216,9.9831,0.192,1.393,1.201,0.5,10.2966,0.6826,0.37,6.189,10.358,0.0286
28.75,seguindo,normal,6.1206,9.9803,0.2227,1.3916,1.1688,0.5,10.2994,0.6826,0.37,6.189,10.358,0.0279
28.8,seguindo,normal,6.1196,9.9775,0.2536,1.3904,1.1368,0.5,10.3023,0.6826,0.37,6.189,10.358,0.027
28.85,seguindo,normal,6.1184,9.9728,0.3049,1.3897,1.0848,0.5,10.307,0.6826,0.37,6.189,10.358,0.0253
28.9,seguindo,normal,6.1176,9.9678,0.3589,1.3898,1.0309,0.5,10.312,0.6826,0.37,6.189,10.358,0.0236
28.95,seguindo,normal,6.1173,9.9642,0.3999,1.3908,0.991,0.5,10.3157,0.6826,0.37,6.189,10.358,0.0225
29.0,seguindo,normal,6.1173,9.9604,0.441,1.3923,0.9512,0.5,10.3194,0.6826,0.37,6.189,10.358,0.0219
29.05,seguindo,normal,6.1176,9.9545,0.5078,1.3956,0.8879,0.5,10.3253,0.6826,0.37,6.189,10.358,0.0217
29.1,seguindo,normal,6.1185,9.9484,0.5773,1.4002,0.8229,0.5,10.3314,0.6826,0.37,6.189,10.358,0.0227
29.15,seguindo,normal,6.1195,9.9441,0.6285,1.4044,0.7759,0.5,10.3356,0.6826,0.37,6.189,10.358,0.024
29.201,seguindo,normal,6.1208,9.9398,0.6799,1.4091,0.7292,0.5,10.3398,0.6826,0.37,6.189,10.358,0.0258
29.25,seguindo,normal,6.1234,9.9332,0.7621,1.4175,0.6555,0.5,10.3463,0.6826,0.37,6.189,10.358,-0.0293
29.3,seguindo,normal,6.1255,9.9288,0.8186,1.424,0.6053,0.5,10.3505,0.6826,0.37,6.189,10.358,-0.0322
29.35,seguindo,normal,6.1296,9.9229,0.9046,1.4352,0.5306,0.5,10.3562,0.6826,0.37,6.189,10.358,-0.0364
29.4,seguindo,normal,6.1329,9.9196,0.9606,1.4435,0.4829,0.5,10.3592,0.6826,0.37,6.189,10.358,-0.0389
29.45,seguindo,normal,6.1381,9.9156,1.0411,1.4562,0.4152,0.5,10.3629,0.6826,0.37,6.189,10.358,-0.0424
29.5,seguindo,normal,6.1417,9.9135,1.0926,1.4649,0.3723,0.5,10.3647,0.6826,0.37,6.189,10.358,-0.0446
29.55,seguindo,normal,6.1474,9.9108,1.1696,1.4781,0.3085,0.5,10.3671,0.6826,0.37,6.189,10.358,-0.0479
29.6,seguindo,normal,6.1513,9.9093,1.221,1.487,0.266,0.5,10.3683,0.6826,0.37,6.189,10.358,-0.0502
29.65,seguindo,normal,6.1573,9.9074,1.2979,1.5005,0.2026,0.5,10.3699,0.6826,0.37,6.189,10.358,-0.0538
29.7,seguindo,normal,6.1613,9.9063,1.3493,1.5096,0.1604,0.5,10.3707,0.6826,0.37,6.189,10.358,-0.0563
29.75,seguindo,normal,6.1671,9.9067,1.4182,1.5224,0.1042,0.5,10.37,0.6826,0.37,6.189,10.358,-0.0585
29.8,seguindo,normal,6.1706,9.9078,1.4584,1.53,0.0717,0.5,10.3687,0.6826,0.37,6.189,10.358,-0.0594
29.85,seguindo,normal,6.1753,9.9096,1.5128,1.5402,0.0275,0.5,10.3666,0.6826,0.37,6.189,10.358,-0.0605
29.9,seguindo,normal,6.1781,9.9107,1.5458,1.5464,0.0005,0.5,10.3653,0.6826,0.37,6.189,10.358,-0.0613
29.95,seguindo,normal,6.1817,9.9128,1.5897,1.5543,-0.0354,0.5,10.363,0.6826,0.37,6.189,10.358,-0.0622
30.0,seguindo,normal,6.1837,9.9142,1.6158,1.559,-0.0569,0.5,10.3615,0.6826,0.37,6.189,10.358,-0.0626
30.05,seguindo,normal,6.1863,9.9164,1.6489,1.5647,-0.0842,0.5,10.3591,0.6826,0.37,6.189,10.358,-0.063
30.1,seguindo,normal,6.1877,9.9179,1.6674,1.5678,-0.0996,0.5,10.3576,0.6826,0.37,6.189,10.358,-0.0631
30.15,seguindo,normal,6.1892,9.9202,1.6894,1.5714,-0.1181,0.5,10.3551,0.6826,0.37,6.189,10.358,-0.0628
30.2,seguindo,normal,6.19,9.9218,1.7009,1.5731,-0.1278,0.5,10.3536,0.6826,0.37,6.189,10.358,-0.0625
