t_wall,topic,vx,wz,px,py,extra
1787273171.634,odom,0.0000,0.0000,6.140,10.000,
1787273171.661,odom,0.0000,0.0000,6.140,10.000,
1787273171.678,/auto_vel_raw,0.0000,0.0000,,,
1787273171.690,odom,0.0000,0.0000,6.140,10.000,
1787273171.716,odom,0.0000,0.0000,6.140,10.000,
1787273171.736,/auto_vel_raw,0.0000,0.0000,,,
1787273171.736,odom,0.0000,0.0000,6.140,10.000,
1787273171.758,odom,0.0000,0.0000,6.140,10.000,
1787273171.784,odom,0.0000,0.0000,6.140,10.000,
1787273171.796,/auto_vel_raw,0.0000,0.0000,,,
1787273171.806,odom,0.0000,0.0000,6.140,10.000,
1787273171.825,odom,0.0000,0.0000,6.140,10.000,
1787273171.845,odom,0.0000,0.0000,6.140,10.000,
1787273171.847,/auto_vel_raw,0.0000,0.0000,,,
1787273171.870,odom,0.0000,0.0000,6.140,10.000,
1787273171.891,odom,0.0000,0.0000,6.140,10.000,
1787273171.901,/auto_vel_raw,0.0000,0.0000,,,
1787273171.910,odom,0.0000,0.0000,6.140,10.000,
1787273171.931,odom,0.0000,0.0000,6.140,10.000,
1787273171.954,odom,0.0000,0.0000,6.140,10.000,
1787273171.955,/auto_vel_raw,0.0000,0.0000,,,
1787273171.975,odom,0.0000,0.0000,6.140,10.000,
1787273171.996,odom,0.0000,0.0000,6.140,10.000,
1787273172.008,/auto_vel_raw,0.0000,0.0000,,,
1787273172.018,odom,0.0000,0.0000,6.140,10.000,
1787273172.037,odom,0.0000,0.0000,6.140,10.000,
1787273172.057,odom,0.0000,0.0000,6.140,10.000,
1787273172.058,/auto_vel_raw,0.0000,0.0000,,,
1787273172.078,odom,0.0000,0.0000,6.140,10.000,
1787273172.102,odom,0.0000,0.0000,6.140,10.000,
1787273172.112,/auto_vel_raw,0.0000,0.0000,,,
1787273172.121,odom,0.0000,0.0000,6.140,10.000,
1787273172.142,odom,0.0000,0.0000,6.140,10.000,
1787273172.161,odom,0.0000,0.0000,6.140,10.000,
1787273172.162,/auto_vel_raw,0.0000,0.0000,,,
1787273172.181,odom,0.0000,0.0000,6.140,10.000,
1787273172.202,odom,0.0000,0.0000,6.140,10.000,
1787273172.212,/auto_vel_raw,0.0000,0.0000,,,
1787273172.221,odom,0.0000,0.0000,6.140,10.000,
1787273172.241,odom,0.0000,0.0000,6.140,10.000,
1787273172.262,/auto_vel_raw,0.0000,0.0000,,,
1787273172.262,odom,0.0000,0.0000,6.140,10.000,
1787273172.283,odom,0.0000,0.0000,6.140,10.000,
1787273172.303,odom,0.0000,0.0000,6.140,10.000,
1787273172.315,/auto_vel_raw,0.0000,0.0000,,,
1787273172.323,odom,0.0000,0.0000,6.140,10.000,
1787273172.343,odom,0.0000,0.0000,6.140,10.000,
1787273172.363,/auto_vel_raw,0.0000,0.0000,,,
1787273172.363,odom,0.0000,0.0000,6.140,10.000,
1787273172.383,odom,0.0000,0.0000,6.140,10.000,
1787273172.403,odom,0.0000,0.0000,6.140,10.000,
1787273172.413,/auto_vel_raw,0.0000,0.0000,,,
1787273172.423,odom,0.0000,0.0000,6.140,10.000,
1787273172.443,odom,0.0000,0.0000,6.140,10.000,
1787273172.463,/auto_vel_raw,0.0000,0.0000,,,
1787273172.463,odom,0.0000,0.0000,6.140,10.000,
1787273172.484,odom,0.0000,0.0000,6.140,10.000,
1787273172.505,odom,0.0000,0.0000,6.140,10.000,
1787273172.515,/auto_vel_raw,0.0000,0.0000,,,
1787273172.525,odom,0.0000,0.0000,6.140,10.000,
1787273172.545,odom,0.0000,0.0000,6.140,10.000,
1787273172.565,odom,0.0000,0.0000,6.140,10.000,
1787273172.566,/auto_vel_raw,0.0000,0.0000,,,
1787273172.586,odom,0.0000,0.0000,6.140,10.000,
