t,x,y,yaw,dist
0.0,10.44617,6.50249,1.13108,8.57877
0.0201,10.44607,6.50229,1.13106,8.57864
0.0398,10.44607,6.50229,1.13106,8.57864
0.0598,10.44607,6.50229,1.13106,8.57864
0.0806,10.44607,6.50229,1.13106,8.57864
0.1008,10.44607,6.50229,1.13106,8.57864
0.12,10.44607,6.50229,1.13106,8.57864
0.1402,10.44607,6.50229,1.13106,8.57864
0.16,10.44607,6.50229,1.13106,8.57864
0.1803,10.44607,6.50229,1.13106,8.57864
0.2014,10.44607,6.50229,1.13106,8.57864
0.2222,10.44607,6.50229,1.13106,8.57864
0.2412,10.44607,6.50229,1.13106,8.57864
0.2608,10.44607,6.50229,1.13106,8.57864
0.282,10.44607,6.50229,1.13106,8.57864
0.3014,10.44607,6.50229,1.13106,8.57864
0.3212,10.44607,6.50229,1.13106,8.57864
0.341,10.44607,6.50229,1.13106,8.57864
0.3615,10.44607,6.50229,1.13106,8.57864
0.382,10.44607,6.50229,1.13106,8.57864
0.4012,10.44607,6.50229,1.13106,8.57864
0.4224,10.44607,6.50229,1.13106,8.57864
0.4434,10.44622,6.50297,1.12894,8.57891
0.4627,10.44638,6.50378,1.12636,8.5792
0.4829,10.44653,6.5046,1.12379,8.5795
0.5029,10.44669,6.50541,1.12122,8.57979
0.5236,10.44685,6.50622,1.11865,8.58009
0.5427,10.44684,6.50627,1.11834,8.5801
0.5624,10.44684,6.50626,1.11832,8.58009
0.5829,10.44684,6.50626,1.11829,8.58009
0.6027,10.44684,6.50626,1.11826,8.58009
0.6234,10.44683,6.50626,1.11824,8.58008
0.6422,10.44699,6.50694,1.11609,8.58036
0.6624,10.44715,6.50775,1.11349,8.58066
0.6834,10.44732,6.50856,1.11089,8.58097
0.7027,10.44749,6.50937,1.1083,8.58127
0.7232,10.44765,6.51019,1.1057,8.58158
0.743,10.44765,6.51108,1.10066,8.58174
0.7627,10.44764,6.51198,1.09549,8.58189
0.7829,10.44764,6.51289,1.09033,8.58204
0.8032,10.44764,6.51379,1.08516,8.5822
0.8224,10.44764,6.5147,1.07999,8.58236
0.8423,10.44748,6.51569,1.07238,8.58238
0.8625,10.44731,6.5167,1.06464,8.58239
0.883,10.44715,6.51771,1.0569,8.58241
0.9024,10.447,6.51871,1.04916,8.58244
0.9225,10.44686,6.51972,1.04142,8.58248
0.9425,10.44656,6.52083,1.03121,8.58238
0.9624,10.44625,6.52195,1.02088,8.58228
0.983,10.44596,6.52308,1.01054,8.58219
1.0023,10.44567,6.5242,1.0002,8.58211
1.0229,10.4454,6.52533,0.98987,8.58204
1.0424,10.44498,6.52657,0.97708,8.58185
1.0629,10.44457,6.52783,0.96417,8.58167
1.0828,10.44417,6.52909,0.95127,8.5815
1.1023,10.44378,6.53035,0.93836,8.58134
1.1222,10.44342,6.53162,0.92545,8.58121
1.1431,10.44292,6.53301,0.91009,8.58096
