t,x,y,yaw,dist
0.0,2.03785,4.86224,1.76139,8.78572
0.0199,2.03844,4.85892,1.76119,8.7858
0.04,2.03902,4.85581,1.7609,8.78585
0.0601,2.03959,4.8527,1.76062,8.78591
0.08,2.04017,4.84959,1.76033,8.78596
0.1001,2.04074,4.84649,1.76005,8.78602
0.1197,2.04112,4.84427,1.75994,8.78609
0.1401,2.04149,4.84226,1.75976,8.78613
0.1607,2.04186,4.84025,1.75957,8.78617
0.18,2.04223,4.83825,1.75939,8.78621
0.2032,2.04259,4.83624,1.75921,8.78626
0.2232,2.04277,4.83513,1.75921,8.7863
0.2431,2.04294,4.83423,1.75912,8.78632
0.263,2.0431,4.83333,1.75904,8.78634
0.2839,2.04327,4.83243,1.75896,8.78636
0.3036,2.04343,4.83153,1.75888,8.78638
0.3231,2.04344,4.8314,1.75894,8.7864
0.3435,2.04344,4.8314,1.75894,8.7864
0.3632,2.04344,4.8314,1.75894,8.7864
0.3835,2.04344,4.8314,1.75894,8.7864
0.4039,2.04344,4.8314,1.75894,8.7864
0.4244,2.04344,4.8314,1.75894,8.7864
0.4445,2.04344,4.8314,1.75894,8.7864
0.4645,2.04344,4.8314,1.75894,8.7864
0.4844,2.04344,4.8314,1.75894,8.7864
0.5044,2.04344,4.8314,1.75894,8.7864
0.5242,2.04315,4.83204,1.75701,8.78655
0.5449,2.0428,4.83278,1.75444,8.78675
0.5645,2.04245,4.83353,1.75187,8.78694
0.5844,2.0421,4.83428,1.7493,8.78713
0.6052,2.04175,4.83504,1.74673,8.78732
0.624,2.04122,4.83576,1.74175,8.7877
0.6444,2.04067,4.83647,1.7366,8.78809
0.6647,2.04013,4.8372,1.73146,8.78848
0.6841,2.03959,4.83792,1.72632,8.78886
0.705,2.03905,4.83865,1.72117,8.78924
0.725,2.03833,4.83935,1.7136,8.78981
0.7447,2.03759,4.84006,1.70586,8.79039
0.7649,2.03686,4.84077,1.69812,8.79096
0.7843,2.03614,4.84149,1.69038,8.79153
0.8053,2.03542,4.84221,1.68264,8.79209
0.8245,2.03451,4.84292,1.67253,8.79283
0.8452,2.0336,4.84363,1.66224,8.79358
0.8645,2.0327,4.84436,1.65196,8.79433
0.8843,2.0318,4.84509,1.64167,8.79506
0.9046,2.03091,4.84584,1.63139,8.79578
0.9244,2.02984,4.84658,1.61869,8.79669
0.9444,2.02875,4.84734,1.60581,8.7976
0.9644,2.02768,4.84811,1.59292,8.79849
0.9843,2.02662,4.84889,1.58004,8.79938
1.0046,2.02557,4.84969,1.56716,8.80025
1.0243,2.02433,4.8505,1.5519,8.8013
1.044,2.02309,4.85134,1.53644,8.80235
1.0642,2.02187,4.85219,1.52099,8.80338
1.0843,2.02066,4.85306,1.50553,8.80439
1.1044,2.01946,4.85395,1.49008,8.80539
1.1243,2.01808,4.85488,1.47223,8.80656
1.1445,2.01671,4.85583,1.4542,8.80772
1.1644,2.01535,4.85681,1.43618,8.80885
1.1842,2.01401,4.85781,1.41815,8.80997
1.2045,2.01269,4.85884,1.40013,8.81106
1.2243,2.0112,4.85992,1.37969,8.81231
1.244,2.00971,4.86104,1.35909,8.81354
1.2653,2.00825,4.86219,1.33849,8.81475
1.2849,2.00681,4.86337,1.3179,8.81593
1.3044,2.0054,4.86458,1.2973,8.81707
1.3242,2.00383,4.86587,1.27428,8.81836
1.3443,2.00227,4.8672,1.25111,8.81962
1.3646,2.00075,4.86857,1.22794,8.82085
1.3845,1.99925,4.86998,1.20477,8.82204
1.4048,1.99779,4.87142,1.1816,8.82319
1.4271,1.99619,4.87297,1.15602,8.82446
1.447,1.99462,4.87456,1.13031,8.82569
1.4674,1.99308,4.8762,1.10459,8.82688
1.4874,1.99159,4.87788,1.07888,8.82801
1.5069,1.99014,4.87959,1.05317,8.8291
1.5274,1.98857,4.88144,1.02499,8.83028
1.5467,1.98704,4.88334,0.99667,8.83141
1.5669,1.98557,4.88528,0.96836,8.83248
1.5875,1.98414,4.88727,0.94005,8.83349
1.607,1.98278,4.8893,0.91174,8.83443
1.627,1.98133,4.89148,0.881,8.83543
