t,x,y,yaw,dist
0.0,2.0,5.0,0.0,8.79673
0.0006,2.0,5.0,0.0,8.79673
0.0014,2.0,5.0,0.0,8.79673
0.0018,2.0,5.0,0.0,8.79673
0.0023,2.0,5.0,0.0,8.79673
0.0077,2.0,5.0,0.0,8.79673
0.0278,2.0,5.0,0.0,8.79673
0.0478,2.0,5.0,0.0,8.79673
0.0678,2.0,5.0,0.0,8.79673
0.0881,2.0,5.0,0.0,8.79673
0.1075,2.0,5.0,0.0,8.79673
0.1276,2.0,5.0,0.0,8.79673
0.1481,2.0,5.0,0.0,8.79673
0.1677,2.0,5.0,0.0,8.79673
0.1879,2.0,5.0,0.0,8.79673
0.2076,2.0,5.0,0.0,8.79673
0.2278,2.0,5.0,0.0,8.79673
0.2491,2.0,5.0,0.0,8.79673
0.2678,2.0,5.0,0.0,8.79673
0.2879,2.0,5.0,0.0,8.79673
0.3079,2.0,5.0,0.0,8.79673
0.3277,2.0,5.0,0.0,8.79673
0.3481,2.0,5.0,0.0,8.79673
0.3679,2.0,5.0,0.0,8.79673
0.3878,2.0,5.0,0.0,8.79673
0.4076,2.0,5.0,0.0,8.79673
0.4281,2.0,5.0,0.0,8.79673
0.4478,2.0,5.0,0.0,8.79673
0.4676,2.00114,5.00009,-0.00113,8.7956
0.488,2.00272,5.0003,-0.00368,8.794
0.5089,2.00431,5.0005,-0.00622,8.79241
0.5278,2.00589,5.00069,-0.00877,8.79081
0.5478,2.00748,5.00088,-0.01132,8.78922
0.5682,2.0102,5.00114,-0.01498,8.7865
0.588,2.01341,5.0015,-0.02012,8.78328
0.6082,2.01661,5.00185,-0.02526,8.78006
0.6281,2.01982,5.00218,-0.0304,8.77684
0.6477,2.02304,5.00249,-0.03555,8.77363
0.669,2.02696,5.00291,-0.04265,8.76969
0.6889,2.03112,5.00335,-0.05035,8.76552
0.7087,2.03528,5.00375,-0.05804,8.76136
0.7294,2.03945,5.00412,-0.06573,8.75719
0.7493,2.04362,5.00446,-0.07342,8.75303
0.7688,2.04781,5.00495,-0.08352,8.74882
0.7888,2.05201,5.00542,-0.09381,8.74461
0.8087,2.05621,5.00585,-0.10409,8.7404
0.8293,2.06041,5.00623,-0.11438,8.73619
0.8487,2.06462,5.00657,-0.12466,8.73199
0.8689,2.06888,5.00705,-0.13735,8.72772
0.8893,2.07316,5.00749,-0.15021,8.72343
0.9095,2.07744,5.00788,-0.16307,8.71915
0.9292,2.08172,5.00821,-0.17592,8.71488
0.949,2.08601,5.00849,-0.18878,8.71061
0.9691,2.09042,5.00887,-0.20402,8.70621
