t,x,y,yaw,dist
0.0,2.0647,5.00658,-0.12492,8.73192
0.0189,2.06898,5.00706,-0.13761,8.72762
0.0392,2.07327,5.00749,-0.15047,8.72332
0.0594,2.07757,5.00788,-0.16332,8.71902
0.0794,2.08188,5.0082,-0.17618,8.71473
0.0995,2.08618,5.00848,-0.18904,8.71045
0.1189,2.09056,5.00887,-0.20429,8.70608
0.1393,2.09494,5.00921,-0.21969,8.7017
0.1604,2.09934,5.00948,-0.23509,8.69733
0.1795,2.10373,5.00969,-0.2505,8.69297
0.2008,2.10813,5.00983,-0.2659,8.68862
0.2193,2.11258,5.01008,-0.28375,8.6842
0.2393,2.11704,5.01027,-0.30175,8.67978
0.2596,2.12151,5.01038,-0.31975,8.67537
0.2793,2.12597,5.01041,-0.33775,8.67098
0.3005,2.13044,5.01036,-0.35575,8.6666
0.3189,2.13497,5.0104,-0.37616,8.66213
0.3387,2.13951,5.01036,-0.3967,8.65768
0.362,2.14404,5.01023,-0.41725,8.65325
0.3832,2.14858,5.01001,-0.43779,8.64883
0.4031,2.1531,5.00969,-0.45834,8.64444
0.4228,2.15667,5.00981,-0.47922,8.64091
0.4445,2.16012,5.00995,-0.50071,8.6375
0.4635,2.16354,5.01014,-0.52336,8.63409
0.4829,2.16695,5.01031,-0.54641,8.63071
0.5031,2.17034,5.01044,-0.56985,8.62736
0.5228,2.17246,5.01119,-0.59023,8.62514
0.5434,2.17442,5.01167,-0.6085,8.62313
0.5632,2.17624,5.01231,-0.62816,8.62122
0.5832,2.17811,5.01296,-0.64815,8.61926
0.6029,2.17997,5.0136,-0.66838,8.61731
0.6239,2.18101,5.01461,-0.68564,8.6161
0.6433,2.18191,5.0156,-0.70203,8.61504
0.6633,2.18279,5.01663,-0.71868,8.61398
0.6833,2.18368,5.01766,-0.73541,8.61291
0.7034,2.18458,5.0187,-0.75218,8.61185
0.7233,2.1865,5.01888,-0.77046,8.60992
0.7432,2.18875,5.01886,-0.78964,8.60772
0.7632,2.19098,5.01881,-0.80881,8.60554
0.7837,2.19318,5.01874,-0.8279,8.60339
0.8047,2.19535,5.01863,-0.84686,8.60127
