t,estado,modo,x,y,rumo,rumo_alvo,rumo_geometrico,wz_real,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
28.35,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
28.4,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
28.45,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
28.5,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
28.55,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
28.6,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
28.65,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
28.7,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
28.75,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
28.8,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
28.85,seguindo,normal,2.0027,5.0003,-0.0037,-0.9555,-0.9555,-0.0366,-0.9518,0.5,8.794,4.635,1.0,2.6037,4.15,0.0024
28.9,seguindo,normal,2.0059,5.0007,-0.0088,-0.9583,-0.9583,-0.0884,-0.9494,0.5,8.7908,4.635,1.0,2.6037,4.15,0.0053
28.95,seguindo,normal,2.0135,5.0015,-0.0202,-0.9647,-0.9647,-0.1672,-0.9444,0.5,8.7832,4.635,1.0,2.6037,4.15,0.012
29.0,seguindo,normal,2.0199,5.0022,-0.0305,-0.9701,-0.9701,-0.2022,-0.9396,0.5,8.7768,4.635,1.0,2.6037,4.15,0.0177
29.05,seguindo,normal,2.0312,5.0034,-0.0505,-0.9799,-0.9799,-0.3028,-0.9293,0.5,8.7654,4.635,1.0,2.6037,4.15,0.0276
29.1,seguindo,normal,2.0395,5.0041,-0.066,-0.987,-0.987,-0.3543,-0.9211,0.5,8.7571,4.635,1.0,2.6037,4.15,0.0349
29.15,seguindo,normal,2.0521,5.0054,-0.0941,-0.998,-0.998,-0.4272,-0.904,0.5,8.7445,4.635,1.0,2.6037,4.15,0.046
29.2,seguindo,normal,2.0605,5.0062,-0.1146,-1.0054,-1.0054,-0.4868,-0.8908,0.5,8.7361,4.635,1.0,2.6037,4.15,0.0534
29.25,seguindo,normal,2.0733,5.0075,-0.1505,-1.0084,-1.0084,-0.564,-0.8579,0.5,8.7233,4.7682,1.0,2.6452,4.1,0.0647
29.3,seguindo,normal,2.0819,5.0082,-0.1762,-1.0156,-1.0156,-0.6093,-0.8394,0.5,8.7147,4.7682,1.0,2.6452,4.1,0.0722
29.35,seguindo,normal,2.0949,5.0092,-0.2197,-1.0265,-1.0265,-0.6922,-0.8068,0.5,8.7017,4.7682,1.0,2.6452,4.1,0.0835
29.4,seguindo,normal,2.1037,5.0097,-0.2505,-1.0339,-1.0339,-0.7506,-0.7834,0.5,8.693,4.7682,1.0,2.6452,4.1,0.091
29.45,seguindo,normal,2.117,5.0103,-0.3017,-1.045,-1.045,-0.8206,-0.7433,0.5,8.6798,4.7682,1.0,2.6452,4.1,0.1023
29.5,seguindo,normal,2.126,5.0104,-0.3377,-1.0524,-1.0524,-0.8626,-0.7147,0.5,8.671,4.7682,1.0,2.6452,4.1,0.1098
29.55,seguindo,normal,2.1395,5.0104,-0.3967,-1.0637,-1.0637,-0.9496,-0.667,0.5,8.6577,4.7682,1.0,2.6452,4.1,0.121
29.6,seguindo,normal,2.1486,5.01,-0.4378,-1.0712,-1.0712,-1.0005,-0.6334,0.5,8.6488,4.7682,1.0,2.6452,4.1,0.1283
29.65,seguindo,normal,2.1601,5.0099,-0.5007,-1.081,-1.081,-1.0379,-0.5803,0.5,8.6375,4.7682,1.0,2.6452,4.1,0.1378
29.7,seguindo,normal,2.167,5.0103,-0.5464,-1.087,-1.087,-1.0854,-0.5406,0.5,8.6307,4.7682,1.0,2.6452,4.1,0.1437
29.75,seguindo,normal,2.1744,5.0117,-0.6085,-1.0941,-1.0941,-1.078,-0.4856,0.5,8.6231,4.7682,1.0,2.6452,4.1,0.1506
29.8,seguindo,normal,2.1781,5.013,-0.6482,-1.0979,-1.0979,-1.0175,-0.4497,0.5,8.6193,4.7682,1.0,2.6452,4.1,0.1544
29.85,seguindo,normal,2.1819,5.0156,-0.702,-1.1023,-1.1023,-0.9352,-0.4003,0.5,8.615,4.7682,1.0,2.6452,4.1,0.159
29.9,seguindo,normal,2.1837,5.0177,-0.7354,-1.1048,-1.1048,-0.8726,-0.3694,0.5,8.6129,4.7682,1.0,2.6452,4.1,0.1617
29.95,seguindo,normal,2.1887,5.0189,-0.7896,-1.1097,-1.1097,-0.8762,-0.3201,0.5,8.6077,4.7682,1.0,2.6452,4.1,0.1665
30.0,seguindo,normal,2.1932,5.0187,-0.8279,-1.1004,-1.1004,-0.9102,-0.2725,0.5,8.6034,5.2955,1.0,2.6858,4.05,0.1701
30.05,seguindo,normal,2.2013,5.016,-0.8807,-1.1059,-1.1059,-0.9108,-0.2252,0.5,8.5959,5.2955,1.0,2.6858,4.05,0.1754
30.1,seguindo,normal,2.207,5.0129,-0.9119,-1.1094,-1.1094,-0.8398,-0.1975,0.5,8.5908,5.2955,1.0,2.6858,4.05,0.1784
