t,x,y,yaw,dist
0.0,2.0,5.0,0.0,8.79673
0.001,2.0,5.0,0.0,8.79673
0.0014,2.0,5.0,0.0,8.79673
0.0017,2.0,5.0,0.0,8.79673
0.002,2.0,5.0,0.0,8.79673
0.0117,2.0,5.0,0.0,8.79673
0.0319,2.0,5.0,0.0,8.79673
0.052,2.0,5.0,0.0,8.79673
0.0714,2.0,5.0,0.0,8.79673
0.0916,2.0,5.0,0.0,8.79673
0.1116,2.0,5.0,0.0,8.79673
0.1326,2.0,5.0,0.0,8.79673
0.1513,2.0,5.0,0.0,8.79673
0.1723,2.0,5.0,0.0,8.79673
0.1915,2.0,5.0,0.0,8.79673
0.2118,2.0,5.0,0.0,8.79673
0.2319,2.0,5.0,0.0,8.79673
0.2512,2.0,5.0,0.0,8.79673
0.2713,2.0,5.0,0.0,8.79673
0.2914,2.0,5.0,0.0,8.79673
0.3113,2.0,5.0,0.0,8.79673
0.333,2.0,5.0,0.0,8.79673
0.3516,2.0,5.0,0.0,8.79673
0.3713,2.0,5.0,0.0,8.79673
0.3918,2.0,5.0,0.0,8.79673
0.4112,2.0,5.0,0.0,8.79673
0.4319,2.0,5.0,0.0,8.79673
0.4518,2.0,5.0,0.0,8.79673
0.4724,2.0,5.0,0.0,8.79673
0.4924,2.0,5.0,0.0,8.79673
0.5123,2.0,5.0,0.0,8.79673
0.5341,2.0,5.0,0.0,8.79673
0.5526,2.00114,5.00009,-0.00113,8.7956
0.5744,2.00272,5.0003,-0.00368,8.794
0.594,2.00431,5.0005,-0.00622,8.79241
0.6137,2.00589,5.00069,-0.00877,8.79081
0.6338,2.00748,5.00088,-0.01132,8.78922
0.6549,2.0102,5.00114,-0.01498,8.7865
0.6744,2.01341,5.0015,-0.02012,8.78328
0.6936,2.01661,5.00185,-0.02526,8.78006
0.7137,2.01982,5.00218,-0.0304,8.77684
0.734,2.02304,5.00249,-0.03555,8.77363
0.7539,2.02696,5.00291,-0.04265,8.76969
0.7748,2.03112,5.00335,-0.05035,8.76552
0.7937,2.03528,5.00375,-0.05804,8.76136
0.8147,2.03945,5.00412,-0.06573,8.75719
0.8344,2.04362,5.00446,-0.07342,8.75303
0.854,2.04781,5.00495,-0.0835,8.74882
0.8744,2.05201,5.00542,-0.09376,8.74461
0.8939,2.05621,5.00584,-0.10402,8.7404
0.9137,2.06041,5.00623,-0.11428,8.7362
0.9349,2.06462,5.00656,-0.12454,8.732
0.9537,2.0689,5.00704,-0.13722,8.7277
0.9736,2.07319,5.00748,-0.15008,8.7234
0.9938,2.07749,5.00786,-0.16293,8.71911
