t,estado,modo,x,y,rumo,rumo_alvo,rumo_geometrico,wz_real,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
20.35,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
20.4,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
20.45,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
20.5,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
20.55,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
20.6,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
20.65,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
20.7,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
20.75,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
20.8,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
20.85,seguindo,normal,2.0027,5.0003,-0.0037,-0.9555,-0.9555,-0.0307,-0.9518,0.5,8.794,4.635,1.0,2.6037,4.15,0.0024
20.9,seguindo,normal,2.0059,5.0007,-0.0088,-0.9582,-0.9582,-0.0877,-0.9494,0.5,8.7908,4.635,1.0,2.6037,4.15,0.0053
20.95,seguindo,normal,2.0134,5.0015,-0.0201,-0.9646,-0.9646,-0.1644,-0.9445,0.5,8.7833,4.635,1.0,2.6037,4.15,0.0119
21.0,seguindo,normal,2.0198,5.0022,-0.0304,-0.9701,-0.9701,-0.2015,-0.9397,0.5,8.7768,4.635,1.0,2.6037,4.15,0.0176
21.05,seguindo,normal,2.0311,5.0033,-0.0504,-0.9798,-0.9798,-0.2998,-0.9294,0.5,8.7655,4.635,1.0,2.6037,4.15,0.0276
21.1,seguindo,normal,2.0395,5.0041,-0.0657,-0.987,-0.987,-0.3532,-0.9212,0.5,8.7572,4.635,1.0,2.6037,4.15,0.0349
