t,x,y,yaw,dist
0.0,2.0,5.0,0.0,8.79673
0.0009,2.0,5.0,0.0,8.79673
0.0012,2.0,5.0,0.0,8.79673
0.0017,2.0,5.0,0.0,8.79673
0.0025,2.0,5.0,0.0,8.79673
0.0031,2.0,5.0,0.0,8.79673
0.0232,2.0,5.0,0.0,8.79673
0.0437,2.0,5.0,0.0,8.79673
0.0628,2.0,5.0,0.0,8.79673
0.0828,2.0,5.0,0.0,8.79673
0.1025,2.0,5.0,0.0,8.79673
0.1222,2.0,5.0,0.0,8.79673
0.1425,2.0,5.0,0.0,8.79673
0.1627,2.0,5.0,0.0,8.79673
0.1828,2.0,5.0,0.0,8.79673
0.2032,2.0,5.0,0.0,8.79673
0.2232,2.0,5.0,0.0,8.79673
0.2424,2.0,5.0,0.0,8.79673
0.2628,2.0,5.0,0.0,8.79673
0.5998,2.0,5.0,0.0,8.79673
0.6009,2.0,5.0,0.0,8.79673
0.6017,2.00115,5.00009,-0.00112,8.79559
0.6026,2.00277,5.0003,-0.00372,8.79396
0.6036,2.00438,5.0005,-0.00632,8.79233
0.6045,2.006,5.0007,-0.00891,8.7907
0.6053,2.00762,5.0009,-0.01151,8.78908
0.6236,2.00782,5.00096,-0.01234,8.78886
0.6435,2.00786,5.00097,-0.0124,8.78883
0.6638,2.0078,5.00097,-0.01244,8.78888
0.6837,2.00784,5.00098,-0.01249,8.78885
0.7038,2.00787,5.00098,-0.01254,8.78882
0.7237,2.00905,5.00106,-0.01373,8.78764
0.7437,2.0107,5.00125,-0.01637,8.78598
0.7638,2.01235,5.00143,-0.01902,8.78432
0.784,2.01401,5.00162,-0.02167,8.78267
0.8036,2.01566,5.00179,-0.02432,8.78101
0.8237,2.01844,5.00202,-0.02814,8.77823
0.8439,2.0217,5.00235,-0.03336,8.77497
0.864,2.02496,5.00266,-0.03858,8.7717
0.8842,2.02822,5.00295,-0.0438,8.76844
0.9037,2.03149,5.00322,-0.04902,8.76518
0.9236,2.03546,5.00359,-0.05625,8.76121
0.9439,2.03967,5.00397,-0.06404,8.757
0.9642,2.04389,5.00432,-0.0718,8.75279
0.9843,2.04811,5.00464,-0.07957,8.74859
1.0046,2.05233,5.00492,-0.08734,8.74438
1.0236,2.0566,5.00536,-0.09751,8.7401
1.0439,2.06089,5.00577,-0.10788,8.73581
1.064,2.06518,5.00613,-0.11824,8.73153
1.0846,2.06947,5.00645,-0.1286,8.72725
1.1054,2.07377,5.00672,-0.13897,8.72297
1.1248,2.0781,5.00714,-0.15173,8.71864
1.1449,2.08245,5.00751,-0.16467,8.7143
1.1652,2.08679,5.00783,-0.1776,8.70996
1.1863,2.09115,5.0081,-0.19054,8.70564
1.207,2.0955,5.00831,-0.20347,8.70132
1.2262,2.09865,5.0087,-0.21571,8.69816
1.2465,2.10162,5.00905,-0.22793,8.69516
1.2667,2.10453,5.00949,-0.24151,8.69222
1.2895,2.10743,5.00992,-0.25531,8.6893
1.3074,2.11031,5.01033,-0.26932,8.68639
1.3269,2.1143,5.01041,-0.28522,8.68245
1.3482,2.1188,5.0105,-0.30215,8.67801
1.3677,2.12327,5.01054,-0.31937,8.67361
1.3877,2.12772,5.01053,-0.33688,8.66924
1.4073,2.13214,5.01048,-0.35468,8.6649
1.4272,2.13686,5.01035,-0.37397,8.66029
1.4478,2.14158,5.01018,-0.39366,8.65567
1.4674,2.14627,5.00995,-0.41367,8.6511
1.4873,2.15093,5.00967,-0.43401,8.64658
1.5073,2.15556,5.00934,-0.45467,8.64209
1.5284,2.16046,5.00888,-0.47678,8.63736
1.5485,2.16534,5.00837,-0.49928,8.63265
1.5687,2.17018,5.00779,-0.52212,8.628
1.5885,2.17498,5.00716,-0.54529,8.6234
1.6085,2.17973,5.00645,-0.56877,8.61886
1.6284,2.18469,5.00561,-0.5935,8.61415
1.6499,2.1896,5.00469,-0.61856,8.60949
1.6694,2.19446,5.0037,-0.64388,8.60491
1.6895,2.19925,5.00264,-0.66942,8.60039
1.7096,2.20397,5.00151,-0.69513,8.59596
1.7293,2.20863,5.0003,-0.72097,8.59162
1.7496,2.2132,4.99902,-0.74684,8.58736
1.7697,2.21769,4.99766,-0.77266,8.58321
1.7898,2.22208,4.99623,-0.79831,8.57916
1.8101,2.22638,4.99472,-0.82366,8.57521
1.8295,2.23075,4.99283,-0.84721,8.57128
1.8496,2.23506,4.99084,-0.86974,8.56741
1.8694,2.23935,4.98878,-0.89148,8.56359
1.8893,2.24363,4.98656,-0.91279,8.55981
1.9097,2.2479,4.9842,-0.93372,8.55605
1.9295,2.25217,4.98163,-0.95402,8.55235
1.9494,2.25644,4.97898,-0.97425,8.54866
1.9695,2.26072,4.97626,-0.99448,8.54498
1.9893,2.26494,4.97346,-1.01471,8.54136
2.0101,2.26909,4.97058,-1.03493,8.53784
2.0292,2.27315,4.96719,-1.05372,8.5345
2.0498,2.27712,4.9637,-1.07163,8.53127
2.0696,2.28101,4.96016,-1.08924,8.52813
2.0897,2.28483,4.95655,-1.10685,8.52508
2.1099,2.28857,4.95289,-1.12445,8.52212
2.1297,2.2922,4.94875,-1.14055,8.51936
2.1497,2.29573,4.94453,-1.15586,8.51671
2.1699,2.29918,4.94028,-1.17101,8.51416
2.1896,2.30256,4.93598,-1.18616,8.51168
2.2103,2.30586,4.93163,-1.20131,8.50929
2.2294,2.30903,4.9268,-1.21483,8.50713
2.2493,2.31211,4.9219,-1.22757,8.50508
2.2695,2.31511,4.91698,-1.24015,8.50312
2.2895,2.31804,4.91203,-1.25274,8.50123
2.3094,2.3209,4.90704,-1.26532,8.49942
2.3297,2.3236,4.90154,-1.27573,8.49787
2.3493,2.3262,4.89596,-1.28536,8.49643
2.3693,2.32875,4.89036,-1.29491,8.49507
2.3896,2.33123,4.88474,-1.30446,8.49376
2.4096,2.33366,4.8791,-1.31399,8.49253
2.4296,2.33576,4.87354,-1.32173,8.4916
2.4494,2.33779,4.86801,-1.32889,8.49074
2.4693,2.33975,4.86252,-1.33555,8.48994
2.4895,2.34166,4.85702,-1.34205,8.4892
2.5095,2.34352,4.85149,-1.34849,8.48851
2.5302,2.34515,4.84585,-1.35271,8.48808
2.5494,2.34672,4.84022,-1.35633,8.48772
2.5692,2.34825,4.83459,-1.35978,8.48739
2.5897,2.34975,4.82893,-1.36312,8.4871
2.6098,2.35122,4.82325,-1.36636,8.48685
2.6294,2.35247,4.81753,-1.36706,8.48683
2.6495,2.35369,4.81181,-1.36754,8.48684
2.6694,2.35491,4.80608,-1.36801,8.48686
2.6894,2.35612,4.80035,-1.36849,8.48688
2.7096,2.35733,4.79462,-1.36896,8.48691
2.7292,2.35843,4.78892,-1.36807,8.48706
2.7496,2.35953,4.78322,-1.36715,8.4872
2.7694,2.36063,4.77751,-1.36622,8.48735
2.7895,2.36174,4.77181,-1.3653,8.48749
2.8102,2.36285,4.76611,-1.36438,8.48763
2.8296,2.36396,4.76044,-1.36331,8.48779
2.8495,2.36507,4.75476,-1.36225,8.48793
2.8697,2.36618,4.74908,-1.36119,8.48808
2.8896,2.3673,4.74341,-1.36013,8.48823
2.9101,2.36843,4.73773,-1.35906,8.48837
2.9306,2.36957,4.73205,-1.35807,8.4885
2.9495,2.37072,4.72637,-1.35709,8.48864
2.9704,2.37188,4.72068,-1.35611,8.48877
2.9906,2.37304,4.715,-1.35512,8.4889
3.0112,2.3742,4.70932,-1.35414,8.48902
3.0307,2.37538,4.70364,-1.35321,8.48914
3.0504,2.37656,4.69795,-1.35229,8.48926
3.0705,2.37775,4.69227,-1.35136,8.48938
3.0903,2.37894,4.68659,-1.35044,8.4895
3.112,2.38014,4.6809,-1.34952,8.48961
3.1305,2.38134,4.67522,-1.34859,8.48973
3.1504,2.38255,4.66954,-1.34767,8.48984
3.1703,2.38377,4.66386,-1.34675,8.48995
3.1906,2.38499,4.65818,-1.34583,8.49006
3.2107,2.38621,4.65251,-1.34491,8.49017
3.2306,2.38744,4.64683,-1.34403,8.49027
3.2502,2.38868,4.64115,-1.34315,8.49037
3.2706,2.38993,4.63547,-1.34227,8.49048
3.2908,2.39118,4.62979,-1.34138,8.49058
3.3105,2.39243,4.62411,-1.3405,8.49068
3.3309,2.39369,4.61844,-1.33963,8.49077
3.3506,2.39496,4.61276,-1.33875,8.49087
3.3703,2.39623,4.60709,-1.33787,8.49097
3.3904,2.3975,4.60142,-1.33699,8.49106
3.4106,2.39878,4.59574,-1.33611,8.49115
3.4309,2.40006,4.59007,-1.33523,8.49125
3.4506,2.40135,4.58441,-1.33435,8.49134
3.4711,2.40265,4.57874,-1.33346,8.49143
