t,x,y,yaw,dist
0.0,2.0,5.0,0.0,8.79673
0.0006,2.0,5.0,0.0,8.79673
0.0013,2.0,5.0,0.0,8.79673
0.0018,2.0,5.0,0.0,8.79673
0.0026,2.0,5.0,0.0,8.79673
0.0031,2.0,5.0,0.0,8.79673
0.0212,2.0,5.0,0.0,8.79673
0.0425,2.0,5.0,0.0,8.79673
0.0611,2.0,5.0,0.0,8.79673
0.0805,2.0,5.0,0.0,8.79673
0.1014,2.0,5.0,0.0,8.79673
0.1217,2.0,5.0,0.0,8.79673
0.142,2.0,5.0,0.0,8.79673
0.1608,2.0,5.0,0.0,8.79673
0.1807,2.0,5.0,0.0,8.79673
0.2014,2.0,5.0,0.0,8.79673
0.2204,2.0,5.0,0.0,8.79673
0.241,2.0,5.0,0.0,8.79673
0.2603,2.0,5.0,0.0,8.79673
0.2812,2.0,5.0,0.0,8.79673
0.3011,2.0,5.0,0.0,8.79673
0.3204,2.0,5.0,0.0,8.79673
0.3416,2.0,5.0,0.0,8.79673
0.3608,2.0,5.0,0.0,8.79673
0.3806,2.0,5.0,0.0,8.79673
0.4015,2.0,5.0,0.0,8.79673
0.4208,2.0,5.0,0.0,8.79673
0.4411,2.0,5.0,0.0,8.79673
0.4612,2.0,5.0,0.0,8.79673
0.4813,2.0,5.0,0.0,8.79673
0.5017,2.0,5.0,0.0,8.79673
0.5201,2.0,5.0,0.0,8.79673
0.5417,2.0,5.0,0.0,8.79673
0.5608,2.00114,5.00009,-0.00113,8.79559
0.5815,2.00274,5.0003,-0.0037,8.79398
0.6007,2.00434,5.0005,-0.00627,8.79237
0.6213,2.00595,5.0007,-0.00884,8.79076
0.6415,2.00755,5.00089,-0.01141,8.78915
0.6609,2.01028,5.00115,-0.01511,8.78642
0.6809,2.01348,5.00151,-0.02025,8.7832
0.7008,2.01669,5.00186,-0.02539,8.77998
0.7204,2.0199,5.00219,-0.03053,8.77676
0.7425,2.02312,5.0025,-0.03568,8.77355
0.761,2.02703,5.00292,-0.04282,8.76962
0.7815,2.03119,5.00336,-0.05057,8.76545
0.8015,2.03536,5.00377,-0.05831,8.76128
0.8204,2.03953,5.00414,-0.06605,8.75711
0.8418,2.0437,5.00448,-0.07379,8.75295
0.8625,2.04789,5.00498,-0.08393,8.74874
0.8819,2.05209,5.00545,-0.09424,8.74452
0.9025,2.05629,5.00587,-0.10455,8.74032
0.9218,2.06049,5.00626,-0.11486,8.73611
0.9429,2.0647,5.0066,-0.12517,8.73191
0.9624,2.06763,5.00701,-0.13453,8.72896
0.9818,2.07041,5.00736,-0.14358,8.72616
