t,estado,modo,x,y,rumo,rumo_alvo,rumo_geometrico,wz_real,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
23.25,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
23.3,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
23.35,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
23.4,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
23.45,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
23.5,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
23.55,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
23.6,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
23.65,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
23.7,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
23.75,seguindo,normal,2.0027,5.0003,-0.0037,-0.9555,-0.9555,-0.0366,-0.9518,0.5,8.794,4.635,1.0,2.6037,4.15,0.0024
23.8,seguindo,normal,2.0059,5.0007,-0.0088,-0.9583,-0.9583,-0.0743,-0.9494,0.5,8.7908,4.635,1.0,2.6037,4.15,0.0053
23.85,seguindo,normal,2.0135,5.0015,-0.0202,-0.9647,-0.9647,-0.1594,-0.9444,0.5,8.7832,4.635,1.0,2.6037,4.15,0.012
23.9,seguindo,normal,2.0199,5.0022,-0.0305,-0.9701,-0.9701,-0.2169,-0.9396,0.5,8.7768,4.635,1.0,2.6037,4.15,0.0177
23.95,seguindo,normal,2.0312,5.0034,-0.0506,-0.9799,-0.9799,-0.3002,-0.9293,0.5,8.7654,4.635,1.0,2.6037,4.15,0.0276
24.0,seguindo,normal,2.0395,5.0041,-0.0661,-0.987,-0.987,-0.3388,-0.921,0.5,8.7571,4.635,1.0,2.6037,4.15,0.0349
24.05,seguindo,normal,2.0521,5.0054,-0.0942,-0.998,-0.998,-0.4411,-0.9038,0.5,8.7445,4.635,1.0,2.6037,4.15,0.046
24.1,seguindo,normal,2.0605,5.0063,-0.1149,-1.0054,-1.0054,-0.4881,-0.8906,0.5,8.7361,4.635,1.0,2.6037,4.15,0.0534
24.15,seguindo,normal,2.0704,5.0074,-0.1436,-1.0061,-1.0061,-0.4971,-0.8625,0.5,8.7262,4.7682,1.0,2.6452,4.1,0.0622
24.2,seguindo,normal,2.0758,5.0082,-0.164,-1.0108,-1.0108,-0.4917,-0.8467,0.5,8.7207,4.7682,1.0,2.6452,4.1,0.0672
24.25,seguindo,normal,2.0867,5.0091,-0.2005,-1.0199,-1.0199,-0.5691,-0.8194,0.5,8.7098,4.7682,1.0,2.6452,4.1,0.0767
24.3,seguindo,normal,2.0955,5.0095,-0.2283,-1.0271,-1.0271,-0.6275,-0.7987,0.5,8.7011,4.7682,1.0,2.6452,4.1,0.0841
24.35,seguindo,normal,2.1089,5.0099,-0.274,-1.0382,-1.0382,-0.7255,-0.7642,0.5,8.6878,4.7682,1.0,2.6452,4.1,0.0954
24.4,seguindo,normal,2.1179,5.01,-0.3065,-1.0456,-1.0456,-0.7813,-0.7391,0.5,8.679,4.7682,1.0,2.6452,4.1,0.1029
24.45,seguindo,normal,2.1319,5.0098,-0.3599,-1.0571,-1.0571,-0.8589,-0.6972,0.5,8.6652,4.7682,1.0,2.6452,4.1,0.1144
24.5,seguindo,normal,2.1413,5.0094,-0.3978,-1.0648,-1.0648,-0.8975,-0.667,0.5,8.6561,4.7682,1.0,2.6452,4.1,0.1219
24.55,seguindo,normal,2.1557,5.0083,-0.4588,-1.0764,-1.0764,-0.9892,-0.6176,0.5,8.6422,4.7682,1.0,2.6452,4.1,0.1332
24.6,seguindo,normal,2.1651,5.0072,-0.5012,-1.0841,-1.0841,-1.0335,-0.5829,0.5,8.6331,4.7682,1.0,2.6452,4.1,0.1405
24.65,seguindo,normal,2.1794,5.0051,-0.5678,-1.0833,-1.0833,-1.0826,-0.5156,0.5,8.6194,5.2955,1.0,2.6858,4.05,0.1511
24.7,seguindo,normal,2.1887,5.0032,-0.6122,-1.0902,-1.0902,-1.11,-0.478,0.5,8.6106,5.2955,1.0,2.6858,4.05,0.1578
24.75,seguindo,normal,2.2023,4.9996,-0.6754,-1.0999,-1.0999,-1.0763,-0.4245,0.5,8.598,5.2955,1.0,2.6858,4.05,0.167
24.8,seguindo,normal,2.2111,4.9966,-0.716,-1.106,-1.106,-1.0385,-0.39,0.5,8.5898,5.2955,1.0,2.6858,4.05,0.1726
24.85,seguindo,normal,2.2242,4.9912,-0.7759,-1.1148,-1.1148,-1.0093,-0.3389,0.5,8.578,5.2955,1.0,2.6858,4.05,0.1805
24.9,seguindo,normal,2.2328,4.9869,-0.8141,-1.1204,-1.1204,-0.9806,-0.3064,0.5,8.5704,5.2955,1.0,2.6858,4.05,0.1854
24.95,seguindo,normal,2.2455,4.9797,-0.8703,-1.1162,-1.1162,-0.9444,-0.2458,0.5,8.5593,4.68,1.0,2.7243,4.0,0.192
25.0,seguindo,normal,2.2539,4.9744,-0.9077,-1.121,-1.121,-0.9379,-0.2134,0.5,8.552,4.68,1.0,2.7243,4.0,0.1961
25.05,seguindo,normal,2.2666,4.966,-0.9638,-1.1283,-1.1283,-0.9343,-0.1645,0.5,8.5412,4.68,1.0,2.7243,4.0,0.2021
25.1,seguindo,normal,2.275,4.96,-1.0012,-1.1331,-1.1331,-0.9429,-0.1319,0.5,8.534,4.68,1.0,2.7243,4.0,0.2059
25.15,seguindo,normal,2.2873,4.9497,-1.0539,-1.1396,-1.1396,-0.8921,-0.0857,0.5,8.5239,4.68,1.0,2.7243,4.0,0.2106
25.2,seguindo,normal,2.2952,4.9423,-1.0866,-1.1434,-1.1434,-0.8546,-0.0568,0.5,8.5177,4.68,1.0,2.7243,4.0,0.2132
25.25,seguindo,normal,2.3063,4.93,-1.1324,-1.1373,-1.1373,-0.7936,-0.0049,0.5,8.5092,4.5924,1.0,2.7599,3.95,0.2159
25.3,seguindo,normal,2.3133,4.9213,-1.161,-1.1399,-1.1399,-0.7625,0.0211,0.5,8.504,4.5924,1.0,2.7599,3.95,0.2171
25.35,seguindo,normal,2.3232,4.907,-1.2,-1.1427,-1.1427,-0.683,0.0573,0.5,8.4972,4.5924,1.0,2.7599,3.95,0.2177
25.4,seguindo,normal,2.3294,4.8971,-1.2238,-1.1442,-1.1442,-0.6279,0.0796,0.5,8.4931,4.5924,1.0,2.7599,3.95,0.2176
