t,x,y,yaw,dist
0.0,2.0,5.0,0.0,8.79673
0.0011,2.0,5.0,0.0,8.79673
0.0018,2.0,5.0,0.0,8.79673
0.0024,2.0,5.0,0.0,8.79673
0.0029,2.0,5.0,0.0,8.79673
0.02,2.0,5.0,0.0,8.79673
0.0395,2.0,5.0,0.0,8.79673
0.06,2.0,5.0,0.0,8.79673
0.0796,2.0,5.0,0.0,8.79673
0.0998,2.0,5.0,0.0,8.79673
0.1198,2.0,5.0,0.0,8.79673
0.1398,2.0,5.0,0.0,8.79673
0.1596,2.0,5.0,0.0,8.79673
0.1802,2.0,5.0,0.0,8.79673
0.2007,2.0,5.0,0.0,8.79673
0.2203,2.0,5.0,0.0,8.79673
0.5599,2.0,5.0,0.0,8.79673
0.5611,2.0,5.0,0.0,8.79673
0.5622,2.0,5.0,0.0,8.79673
0.5633,2.0,5.0,0.0,8.79673
0.565,2.00114,5.00009,-0.00113,8.79559
0.5661,2.00274,5.0003,-0.0037,8.79398
0.5675,2.00434,5.0005,-0.00627,8.79237
0.5686,2.00595,5.0007,-0.00884,8.79076
0.5698,2.00755,5.00089,-0.01141,8.78915
0.5846,2.01027,5.00115,-0.01511,8.78642
0.6047,2.01346,5.00151,-0.02023,8.78322
0.6245,2.01665,5.00186,-0.02535,8.78002
0.6442,2.01985,5.00218,-0.03046,8.77682
0.6643,2.02304,5.0025,-0.03558,8.77362
0.6858,2.02696,5.00291,-0.04265,8.76969
0.7057,2.03112,5.00335,-0.05035,8.76552
0.7256,2.03529,5.00375,-0.05804,8.76135
0.7459,2.03946,5.00412,-0.06573,8.75719
0.7656,2.04363,5.00446,-0.07342,8.75302
0.7857,2.04782,5.00495,-0.0835,8.74881
0.8054,2.05201,5.00542,-0.09376,8.7446
0.8256,2.05621,5.00584,-0.10402,8.7404
0.8485,2.06042,5.00623,-0.11428,8.73619
0.8679,2.06462,5.00656,-0.12454,8.73199
0.8872,2.0689,5.00704,-0.13722,8.7277
0.9073,2.0732,5.00748,-0.15008,8.7234
0.9272,2.0775,5.00786,-0.16294,8.7191
0.9482,2.0818,5.00819,-0.17579,8.71481
0.9693,2.08611,5.00846,-0.18865,8.71052
0.9888,2.09057,5.00884,-0.2039,8.70607
1.0092,2.09505,5.00916,-0.21933,8.7016
1.0291,2.09954,5.00942,-0.23476,8.69714
1.0502,2.10404,5.0096,-0.25019,8.69269
1.0688,2.10854,5.00972,-0.26561,8.68825
1.0887,2.11294,5.00999,-0.28342,8.68387
1.1089,2.11733,5.0102,-0.30139,8.67951
1.1291,2.12173,5.01033,-0.31937,8.67517
1.1489,2.12612,5.01038,-0.33734,8.67084
1.1708,2.13052,5.01035,-0.35532,8.66652
1.1905,2.13505,5.01039,-0.37574,8.66206
1.209,2.1396,5.01036,-0.39631,8.65759
1.2285,2.14415,5.01023,-0.41688,8.65314
1.2504,2.1487,5.01,-0.43745,8.64872
1.269,2.15323,5.00968,-0.45802,8.64431
1.2886,2.15781,5.00928,-0.47891,8.63989
1.3087,2.16237,5.00878,-0.49979,8.6355
1.3289,2.16693,5.00818,-0.52067,8.63113
1.3499,2.17147,5.00749,-0.54156,8.6268
1.369,2.17599,5.00671,-0.56244,8.6225
1.3887,2.18052,5.0058,-0.5831,8.61822
1.4087,2.18504,5.00476,-0.60358,8.61396
1.4287,2.18954,5.00363,-0.62405,8.60975
1.4496,2.19401,5.00241,-0.64452,8.60558
1.469,2.19847,5.0011,-0.665,8.60145
1.4887,2.2029,4.99967,-0.68525,8.59735
1.5089,2.20734,4.99809,-0.70516,8.59329
1.5299,2.21174,4.99641,-0.72505,8.58928
1.5503,2.21611,4.99465,-0.74494,8.58532
