t,estado,modo,x,y,rumo,rumo_alvo,rumo_geometrico,wz_real,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
31.8,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
31.85,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
31.9,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
31.95,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
32.0,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
32.05,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
32.1,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
32.15,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
32.2,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
32.25,seguindo,normal,2.0027,5.0003,-0.0037,-0.9555,-0.9555,-0.0308,-0.9518,0.5,8.794,4.635,1.0,2.6037,4.15,0.0024
32.3,seguindo,normal,2.0059,5.0007,-0.0088,-0.9583,-0.9583,-0.0737,-0.9494,0.5,8.7908,4.635,1.0,2.6037,4.15,0.0053
32.35,seguindo,normal,2.0135,5.0015,-0.0202,-0.9646,-0.9646,-0.1653,-0.9444,0.5,8.7832,4.635,1.0,2.6037,4.15,0.012
32.4,seguindo,normal,2.0198,5.0022,-0.0305,-0.9701,-0.9701,-0.2016,-0.9396,0.5,8.7768,4.635,1.0,2.6037,4.15,0.0176
32.45,seguindo,normal,2.0311,5.0033,-0.0504,-0.9798,-0.9798,-0.3012,-0.9294,0.5,8.7655,4.635,1.0,2.6037,4.15,0.0276
32.5,seguindo,normal,2.0395,5.0041,-0.0657,-0.987,-0.987,-0.3527,-0.9212,0.5,8.7572,4.635,1.0,2.6037,4.15,0.0349
32.55,seguindo,normal,2.052,5.0054,-0.0938,-0.998,-0.998,-0.4259,-0.9042,0.5,8.7446,4.635,1.0,2.6037,4.15,0.046
32.6,seguindo,normal,2.0604,5.0062,-0.1143,-1.0054,-1.0054,-0.4855,-0.8911,0.5,8.7362,4.635,1.0,2.6037,4.15,0.0533
32.65,seguindo,normal,2.0732,5.0075,-0.1501,-1.0083,-1.0083,-0.5548,-0.8583,0.5,8.7234,4.7682,1.0,2.6452,4.1,0.0646
32.7,seguindo,normal,2.0818,5.0082,-0.1758,-1.0155,-1.0155,-0.5981,-0.8397,0.5,8.7148,4.7682,1.0,2.6452,4.1,0.0721
32.75,seguindo,normal,2.0951,5.0092,-0.2193,-1.0266,-1.0266,-0.6856,-0.8073,0.5,8.7016,4.7682,1.0,2.6452,4.1,0.0836
32.8,seguindo,normal,2.104,5.0096,-0.2502,-1.0341,-1.0341,-0.7365,-0.7839,0.5,8.6927,4.7682,1.0,2.6452,4.1,0.0912
32.85,seguindo,normal,2.1173,5.0102,-0.3014,-1.0452,-1.0452,-0.8289,-0.7438,0.5,8.6795,4.7682,1.0,2.6452,4.1,0.1025
32.9,seguindo,normal,2.1261,5.0104,-0.3373,-1.0526,-1.0526,-0.8549,-0.7152,0.5,8.6708,4.7682,1.0,2.6452,4.1,0.1099
32.95,seguindo,normal,2.1396,5.0104,-0.3963,-1.0638,-1.0638,-0.9492,-0.6675,0.5,8.6576,4.7682,1.0,2.6452,4.1,0.1211
33.0,seguindo,normal,2.1487,5.01,-0.4375,-1.0713,-1.0713,-1.0011,-0.6338,0.5,8.6487,4.7682,1.0,2.6452,4.1,0.1284
33.05,seguindo,normal,2.1624,5.0088,-0.4998,-1.0824,-1.0824,-1.0338,-0.5826,0.5,8.6355,4.7682,1.0,2.6452,4.1,0.139
33.101,seguindo,normal,2.176,5.0067,-0.5624,-1.0812,-1.0812,-1.0442,-0.5188,0.5,8.6225,5.2955,1.0,2.6858,4.05,0.1492
33.15,seguindo,normal,2.185,5.0048,-0.6036,-1.0878,-1.0878,-1.0389,-0.4842,0.5,8.614,5.2955,1.0,2.6858,4.05,0.1556
33.2,seguindo,normal,2.194,5.0024,-0.6445,-1.0942,-1.0942,-1.0321,-0.4496,0.5,8.6056,5.2955,1.0,2.6858,4.05,0.1617
33.25,seguindo,normal,2.2073,4.9981,-0.7052,-1.1034,-1.1034,-1.0172,-0.3983,0.5,8.5933,5.2955,1.0,2.6858,4.05,0.1703
33.3,seguindo,normal,2.2161,4.9947,-0.7449,-1.1094,-1.1094,-1.0075,-0.3645,0.5,8.5853,5.2955,1.0,2.6858,4.05,0.1757
33.35,seguindo,normal,2.2291,4.9887,-0.8038,-1.118,-1.118,-0.9861,-0.3142,0.5,8.5737,5.2955,1.0,2.6858,4.05,0.1832
33.4,seguindo,normal,2.2375,4.9841,-0.8417,-1.1234,-1.1234,-0.9583,-0.2817,0.5,8.5662,5.2955,1.0,2.6858,4.05,0.1878
33.45,seguindo,normal,2.2501,4.9767,-0.8989,-1.1188,-1.1188,-0.9516,-0.2198,0.5,8.5553,4.68,1.0,2.7243,4.0,0.1942
33.5,seguindo,normal,2.2584,4.9714,-0.9372,-1.1236,-1.1236,-0.9646,-0.1864,0.5,8.5481,4.68,1.0,2.7243,4.0,0.1982
33.55,seguindo,normal,2.2709,4.9626,-0.9931,-1.1306,-1.1306,-0.9442,-0.1375,0.5,8.5376,4.68,1.0,2.7243,4.0,0.2038
33.6,seguindo,normal,2.2793,4.9562,-1.0296,-1.1352,-1.1352,-0.9235,-0.1056,0.5,8.5306,4.68,1.0,2.7243,4.0,0.2074
33.65,seguindo,normal,2.2912,4.9453,-1.0807,-1.1412,-1.1412,-0.8814,-0.0605,0.5,8.521,4.68,1.0,2.7243,4.0,0.2115
33.7,seguindo,normal,2.2988,4.9375,-1.1123,-1.134,-1.134,-0.8412,-0.0217,0.5,8.5151,4.5924,1.0,2.7599,3.95,0.2136
33.75,seguindo,normal,2.3095,4.9245,-1.156,-1.1379,-1.1379,-0.7676,0.0181,0.5,8.5071,4.5924,1.0,2.7599,3.95,0.2156
33.8,seguindo,normal,2.3162,4.9153,-1.1828,-1.14,-1.14,-0.7196,0.0428,0.5,8.5023,4.5924,1.0,2.7599,3.95,0.2163
33.85,seguindo,normal,2.3257,4.9005,-1.2194,-1.1423,-1.1423,-0.6343,0.0771,0.5,8.496,4.5924,1.0,2.7599,3.95,0.2163
33.9,seguindo,normal,2.3316,4.8902,-1.2417,-1.136,-1.136,-0.6028,0.1057,0.5,8.4923,5.3454,1.0,2.7915,3.9,0.2158
33.95,seguindo,normal,2.3398,4.8735,-1.2702,-1.1364,-1.1364,-0.5078,0.1338,0.5,8.4876,5.3454,1.0,2.7915,3.9,0.2138
34.0,seguindo,normal,2.3449,4.8619,-1.2866,-1.1362,-1.1362,-0.4489,0.1505,0.5,8.485,5.3454,1.0,2.7915,3.9,0.2118
34.05,seguindo,normal,2.3515,4.8451,-1.3059,-1.1351,-1.1351,-0.3664,0.1708,0.5,8.4821,5.3454,1.0,2.7915,3.9,0.2082
34.1,seguindo,normal,2.3553,4.8341,-1.316,-1.1309,-1.1309,-0.294,0.1852,0.5,8.4806,2.7534,1.0,2.8185,3.85,0.2055
34.15,seguindo,normal,2.3605,4.8174,-1.3258,-1.1286,-1.1286,-0.2094,0.1972,0.5,8.479,2.7534,1.0,2.8185,3.85,0.2008
34.2,seguindo,normal,2.3636,4.8061,-1.3298,-1.1267,-1.1267,-0.1568,0.2031,0.5,8.4783,2.7534,1.0,2.8185,3.85,0.1973
34.25,seguindo,normal,2.3678,4.7891,-1.3306,-1.1233,-1.1233,-0.0583,0.2073,0.5,8.4778,2.7534,1.0,2.8185,3.85,0.1916
34.3,seguindo,normal,2.3705,4.7778,-1.3293,-1.1226,-1.1226,-0.0122,0.2068,0.5,8.4776,1.7232,1.0,2.8407,3.8,0.1876
34.35,seguindo,normal,2.3745,4.7608,-1.3266,-1.119,-1.119,0.0404,0.2075,0.5,8.4774,1.7232,1.0,2.8407,3.8,0.1816
34.4,seguindo,normal,2.3771,4.7496,-1.3244,-1.1166,-1.1166,0.0461,0.2078,0.5,8.4773,1.7232,1.0,2.8407,3.8,0.1776
34.45,seguindo,normal,2.3811,4.7327,-1.321,-1.113,-1.113,0.0553,0.2081,0.5,8.4771,1.7232,1.0,2.8407,3.8,0.1715
34.5,seguindo,normal,2.3838,4.7215,-1.3187,-1.1105,-1.1105,0.0574,0.2082,0.5,8.477,1.7232,1.0,2.8407,3.8,0.1675
34.55,seguindo,normal,2.3879,4.7046,-1.3155,-1.1131,-1.1131,0.0556,0.2024,0.5,8.4767,1.2104,1.0,2.8581,3.75,0.1614
34.6,seguindo,normal,2.3907,4.6933,-1.3136,-1.1108,-1.1108,0.0509,0.2029,0.5,8.4765,1.2104,1.0,2.8581,3.75,0.1575
34.65,seguindo,normal,2.3949,4.6764,-1.3108,-1.1072,-1.1072,0.0475,0.2036,0.5,8.4762,1.2104,1.0,2.8581,3.75,0.1514
34.7,seguindo,normal,2.3978,4.6652,-1.309,-1.1047,-1.1047,0.0467,0.2042,0.5,8.476,1.2104,1.0,2.8581,3.75,0.1473
34.75,seguindo,normal,2.4021,4.6483,-1.3063,-1.1114,-1.1114,0.0456,0.1949,0.5,8.4757,0.9312,1.0,2.8712,3.7,0.1413
34.8,seguindo,normal,2.405,4.6371,-1.3044,-1.1091,-1.1091,0.0448,0.1954,0.5,8.4755,0.9312,1.0,2.8712,3.7,0.1373
