t,x,y,yaw,dist
0.0,2.0,5.0,0.0,8.79673
0.0008,2.0,5.0,0.0,8.79673
0.0015,2.0,5.0,0.0,8.79673
0.0042,2.0,5.0,0.0,8.79673
0.0046,2.0,5.0,0.0,8.79673
0.005,2.0,5.0,0.0,8.79673
0.0052,2.0,5.0,0.0,8.79673
0.0054,2.0,5.0,0.0,8.79673
0.0227,2.0,5.0,0.0,8.79673
0.0426,2.0,5.0,0.0,8.79673
0.0625,2.0,5.0,0.0,8.79673
0.0829,2.0,5.0,0.0,8.79673
0.1024,2.0,5.0,0.0,8.79673
0.1226,2.0,5.0,0.0,8.79673
0.1423,2.0,5.0,0.0,8.79673
0.1623,2.0,5.0,0.0,8.79673
0.1828,2.0,5.0,0.0,8.79673
0.2024,2.0,5.0,0.0,8.79673
0.2229,2.0,5.0,0.0,8.79673
0.2422,2.0,5.0,0.0,8.79673
0.2623,2.0,5.0,0.0,8.79673
0.2823,2.0,5.0,0.0,8.79673
0.3025,2.0,5.0,0.0,8.79673
0.323,2.0,5.0,0.0,8.79673
0.3428,2.0,5.0,0.0,8.79673
0.3625,2.0,5.0,0.0,8.79673
0.383,2.0,5.0,0.0,8.79673
0.4023,2.0,5.0,0.0,8.79673
0.4227,2.0,5.0,0.0,8.79673
0.4425,2.0,5.0,0.0,8.79673
0.4622,2.0,5.0,0.0,8.79673
0.4824,2.0,5.0,0.0,8.79673
0.5021,2.0,5.0,0.0,8.79673
0.5225,2.0,5.0,0.0,8.79673
0.5439,2.00115,5.00009,-0.00112,8.79559
0.564,2.00277,5.0003,-0.00372,8.79396
0.5836,2.00438,5.0005,-0.00632,8.79233
0.6039,2.006,5.0007,-0.00891,8.7907
0.6237,2.00762,5.0009,-0.01151,8.78908
0.6437,2.01036,5.00116,-0.01523,8.78633
0.6636,2.01359,5.00152,-0.0204,8.7831
0.6837,2.01681,5.00187,-0.02557,8.77986
0.7037,2.02004,5.0022,-0.03074,8.77663
0.7236,2.02326,5.00252,-0.03591,8.7734
0.7437,2.02719,5.00294,-0.04305,8.76946
0.7637,2.03135,5.00337,-0.0508,8.76529
0.7836,2.03552,5.00378,-0.05854,8.76112
0.8036,2.03969,5.00415,-0.06628,8.75695
0.8241,2.04386,5.00449,-0.07402,8.75279
0.8437,2.04805,5.00499,-0.08416,8.74858
0.8637,2.05225,5.00545,-0.09447,8.74437
0.8837,2.05645,5.00588,-0.10478,8.74016
0.9038,2.06065,5.00626,-0.11509,8.73595
0.9244,2.06486,5.0066,-0.1254,8.73175
0.9437,2.06914,5.00708,-0.13809,8.72746
0.964,2.07344,5.00751,-0.15095,8.72316
0.9839,2.07774,5.00789,-0.16381,8.71886
1.0037,2.08204,5.00821,-0.17666,8.71457
1.0239,2.08635,5.00848,-0.18952,8.71028
1.044,2.09082,5.00885,-0.20479,8.70582
1.0638,2.09533,5.00917,-0.22024,8.70133
1.0838,2.09984,5.00942,-0.2357,8.69685
1.1037,2.10435,5.0096,-0.25115,8.69238
1.1247,2.10887,5.00971,-0.2666,8.68792
1.1441,2.11327,5.00997,-0.28445,8.68354
1.1643,2.11767,5.01018,-0.30248,8.67918
1.1837,2.12207,5.01031,-0.3205,8.67484
1.2041,2.12646,5.01036,-0.33853,8.6705
1.2238,2.13086,5.01033,-0.35655,8.66618
1.2436,2.13539,5.01037,-0.37698,8.66172
1.2641,2.13994,5.01033,-0.39756,8.65726
1.2837,2.14448,5.0102,-0.41813,8.65282
1.3037,2.14902,5.00997,-0.4387,8.6484
1.3244,2.15355,5.00965,-0.45927,8.64401
1.3457,2.15813,5.00924,-0.48015,8.63959
1.3652,2.16269,5.00873,-0.50103,8.63519
1.3853,2.16724,5.00813,-0.52191,8.63083
1.405,2.17178,5.00743,-0.54279,8.6265
1.4258,2.1763,5.00664,-0.56367,8.6222
1.4449,2.18083,5.00572,-0.58433,8.61792
1.465,2.18535,5.00468,-0.60479,8.61367
1.4849,2.18985,5.00355,-0.62525,8.60946
1.5049,2.19433,5.00232,-0.64571,8.60529
1.5269,2.19878,5.001,-0.66617,8.60116
1.5464,2.20322,4.99956,-0.68641,8.59707
1.5666,2.20765,4.99797,-0.70632,8.59301
1.5866,2.21205,4.99629,-0.72621,8.589
1.6063,2.21641,4.99453,-0.7461,8.58504
1.6265,2.22074,4.99268,-0.76599,8.58114
1.6469,2.22505,4.9907,-0.78566,8.57727
1.6664,2.22936,4.98858,-0.80491,8.57344
1.6881,2.23363,4.98632,-0.82389,8.56967
1.7083,2.23784,4.98398,-0.84283,8.56598
1.728,2.24202,4.98156,-0.86183,8.56233
1.7492,2.24619,4.97908,-0.8809,8.5587
1.7689,2.25037,4.97653,-0.90001,8.55509
1.7898,2.25455,4.97391,-0.91914,8.55148
1.8102,2.25873,4.97121,-0.93829,8.54789
1.8299,2.26291,4.96844,-0.95747,8.54431
1.8499,2.26708,4.96547,-0.97606,8.54079
1.87,2.27124,4.96243,-0.99451,8.53729
1.8914,2.2754,4.95932,-1.01295,8.5338
1.9135,2.27954,4.95614,-1.03139,8.53035
1.9331,2.28361,4.95289,-1.04984,8.52698
1.9528,2.28761,4.94903,-1.06668,8.5238
1.9734,2.29153,4.94504,-1.08255,8.52074
1.9929,2.29536,4.94101,-1.09798,8.51776
2.0129,2.29913,4.93694,-1.11339,8.51486
2.0338,2.30282,4.93281,-1.12881,8.51205
2.0539,2.30638,4.92833,-1.14302,8.50943
2.0741,2.30985,4.92381,-1.15658,8.50692
