t,estado,modo,x,y,rumo,rumo_alvo,rumo_geometrico,wz_real,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
35.65,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
35.7,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
35.75,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
35.8,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
35.85,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
35.9,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
35.95,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
36.0,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
36.05,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
36.1,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
36.15,seguindo,normal,2.0028,5.0003,-0.0037,-0.9555,-0.9555,-0.0313,-0.9518,0.5,8.794,4.635,1.0,2.6037,4.15,0.0024
36.2,seguindo,normal,2.006,5.0007,-0.0089,-0.9583,-0.9583,-0.0749,-0.9494,0.5,8.7907,4.635,1.0,2.6037,4.15,0.0053
36.25,seguindo,normal,2.0136,5.0015,-0.0204,-0.9647,-0.9647,-0.1606,-0.9444,0.5,8.7831,4.635,1.0,2.6037,4.15,0.0121
36.3,seguindo,normal,2.02,5.0022,-0.0307,-0.9703,-0.9703,-0.2035,-0.9395,0.5,8.7766,4.635,1.0,2.6037,4.15,0.0178
36.35,seguindo,normal,2.0314,5.0034,-0.0508,-0.98,-0.98,-0.304,-0.9292,0.5,8.7653,4.635,1.0,2.6037,4.15,0.0278
36.4,seguindo,normal,2.0397,5.0041,-0.0663,-0.9872,-0.9872,-0.3393,-0.9209,0.5,8.757,4.635,1.0,2.6037,4.15,0.0351
36.451,seguindo,normal,2.0522,5.0055,-0.0945,-0.9982,-0.9982,-0.4366,-0.9037,0.5,8.7444,4.635,1.0,2.6037,4.15,0.0462
36.5,seguindo,normal,2.0607,5.0063,-0.1151,-1.0056,-1.0056,-0.4881,-0.8905,0.5,8.736,4.635,1.0,2.6037,4.15,0.0536
36.55,seguindo,normal,2.0734,5.0075,-0.151,-1.0085,-1.0085,-0.5592,-0.8576,0.5,8.7232,4.7682,1.0,2.6452,4.1,0.0648
36.6,seguindo,normal,2.082,5.0082,-0.1767,-1.0157,-1.0157,-0.6157,-0.839,0.5,8.7146,4.7682,1.0,2.6452,4.1,0.0723
36.65,seguindo,normal,2.0953,5.0092,-0.2202,-1.0268,-1.0268,-0.6846,-0.8066,0.5,8.7013,4.7682,1.0,2.6452,4.1,0.0838
36.7,seguindo,normal,2.1044,5.0096,-0.2512,-1.0343,-1.0343,-0.7279,-0.7832,0.5,8.6924,4.7682,1.0,2.6452,4.1,0.0915
36.75,seguindo,normal,2.1177,5.0102,-0.3025,-1.0455,-1.0455,-0.8141,-0.743,0.5,8.6792,4.7682,1.0,2.6452,4.1,0.1028
36.8,seguindo,normal,2.1265,5.0104,-0.3385,-1.0528,-1.0528,-0.8569,-0.7143,0.5,8.6705,4.7682,1.0,2.6452,4.1,0.1102
36.85,seguindo,normal,2.1399,5.0103,-0.3976,-1.0641,-1.0641,-0.9508,-0.6665,0.5,8.6573,4.7682,1.0,2.6452,4.1,0.1213
36.9,seguindo,normal,2.1536,5.0096,-0.4593,-1.0753,-1.0753,-1.0272,-0.616,0.5,8.644,4.7682,1.0,2.6452,4.1,0.1322
36.95,seguindo,normal,2.1627,5.0087,-0.501,-1.0826,-1.0826,-1.0347,-0.5816,0.5,8.6352,4.7682,1.0,2.6452,4.1,0.1393
37.0,seguindo,normal,2.1718,5.0074,-0.5428,-1.0899,-1.0899,-1.0409,-0.5471,0.5,8.6265,4.7682,1.0,2.6452,4.1,0.1461
37.05,seguindo,normal,2.1854,5.0047,-0.6048,-1.088,-1.088,-1.0386,-0.4832,0.5,8.6137,5.2955,1.0,2.6858,4.05,0.1558
37.1,seguindo,normal,2.1943,5.0023,-0.6457,-1.0944,-1.0944,-1.0292,-0.4487,0.5,8.6053,5.2955,1.0,2.6858,4.05,0.1619
37.15,seguindo,normal,2.2076,4.998,-0.7063,-1.1037,-1.1037,-1.0166,-0.3973,0.5,8.593,5.2955,1.0,2.6858,4.05,0.1705
37.2,seguindo,normal,2.2164,4.9945,-0.7461,-1.1096,-1.1096,-1.0071,-0.3635,0.5,8.585,5.2955,1.0,2.6858,4.05,0.1759
37.25,seguindo,normal,2.2294,4.9886,-0.8049,-1.1182,-1.1182,-0.9875,-0.3133,0.5,8.5734,5.2955,1.0,2.6858,4.05,0.1834
37.3,seguindo,normal,2.2378,4.984,-0.8428,-1.1236,-1.1236,-0.9719,-0.2808,0.5,8.566,5.2955,1.0,2.6858,4.05,0.188
37.35,seguindo,normal,2.2504,4.9765,-0.9,-1.1189,-1.1189,-0.9509,-0.2189,0.5,8.5551,4.68,1.0,2.7243,4.0,0.1943
37.402,seguindo,normal,2.2629,4.9684,-0.9575,-1.1262,-1.1262,-0.9376,-0.1687,0.5,8.5443,4.68,1.0,2.7243,4.0,0.2004
37.45,seguindo,normal,2.2712,4.9624,-0.9945,-1.1308,-1.1308,-0.945,-0.1363,0.5,8.5373,4.68,1.0,2.7243,4.0,0.204
37.5,seguindo,normal,2.2795,4.9561,-1.0314,-1.1354,-1.1354,-0.9405,-0.104,0.5,8.5303,4.68,1.0,2.7243,4.0,0.2076
37.55,seguindo,normal,2.2915,4.945,-1.0826,-1.1413,-1.1413,-0.8874,-0.0588,0.5,8.5207,4.68,1.0,2.7243,4.0,0.2116
37.6,seguindo,normal,2.2991,4.9369,-1.1134,-1.134,-1.134,-0.82,-0.0206,0.5,8.5149,4.5924,1.0,2.7599,3.95,0.2136
37.65,seguindo,normal,2.3099,4.9238,-1.1566,-1.1379,-1.1379,-0.7492,0.0187,0.5,8.5069,4.5924,1.0,2.7599,3.95,0.2155
37.7,seguindo,normal,2.3166,4.9147,-1.1835,-1.1401,-1.1401,-0.7126,0.0434,0.5,8.5021,4.5924,1.0,2.7599,3.95,0.2163
37.75,seguindo,normal,2.326,4.8998,-1.2201,-1.1424,-1.1424,-0.6291,0.0778,0.5,8.4958,4.5924,1.0,2.7599,3.95,0.2163
37.8,seguindo,normal,2.332,4.8895,-1.2424,-1.136,-1.136,-0.603,0.1064,0.5,8.4921,5.3454,1.0,2.7915,3.9,0.2157
37.85,seguindo,normal,2.3402,4.8728,-1.2709,-1.1364,-1.1364,-0.5131,0.1345,0.5,8.4874,5.3454,1.0,2.7915,3.9,0.2137
37.9,seguindo,normal,2.3453,4.8612,-1.2875,-1.1362,-1.1362,-0.4683,0.1513,0.5,8.4848,5.3454,1.0,2.7915,3.9,0.2117
37.95,seguindo,normal,2.3518,4.8444,-1.3067,-1.135,-1.135,-0.3547,0.1717,0.5,8.4819,5.3454,1.0,2.7915,3.9,0.2081
