t,estado,modo,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
9.3,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.6026,4.635,1.0,2.6037,4.15,-0.0
9.35,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.6026,4.635,1.0,2.6037,4.15,-0.0
9.4,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.6026,4.635,1.0,2.6037,4.15,-0.0
9.45,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.6026,4.635,1.0,2.6037,4.15,-0.0
9.5,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.6026,4.635,1.0,2.6037,4.15,-0.0
9.55,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.6026,4.635,1.0,2.6037,4.15,-0.0
9.6,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.6026,4.635,1.0,2.6037,4.15,-0.0
9.65,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.6026,4.635,1.0,2.6037,4.15,-0.0
9.7,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.6026,4.635,1.0,2.6037,4.15,-0.0
9.75,seguindo,normal,2.0028,5.0003,-0.0037,-0.9555,-0.9518,0.5,8.5998,4.635,1.0,2.6037,4.15,0.0024
9.8,seguindo,normal,2.006,5.0007,-0.0089,-0.9583,-0.9494,0.5,8.5966,4.635,1.0,2.6037,4.15,0.0053
9.85,seguindo,normal,2.0136,5.0015,-0.0204,-0.9647,-0.9444,0.5,8.589,4.635,1.0,2.6037,4.15,0.012
9.9,seguindo,normal,2.02,5.0022,-0.0307,-0.9702,-0.9395,0.5,8.5825,4.635,1.0,2.6037,4.15,0.0177
9.95,seguindo,normal,2.0323,5.0033,-0.0501,-0.9807,-0.9306,0.5,8.5701,4.635,1.0,2.6037,4.15,0.0285
10.0,seguindo,normal,2.042,5.004,-0.0655,-0.9889,-0.9235,0.5,8.5605,4.635,1.0,2.6037,4.15,0.0369
10.05,seguindo,normal,2.0567,5.0051,-0.0936,-1.0017,-0.9081,0.5,8.5457,4.635,1.0,2.6037,4.15,0.0496
10.1,seguindo,normal,2.0666,5.0058,-0.1142,-1.0023,-0.8882,0.5,8.5358,4.7682,1.0,2.6452,4.1,0.0582
10.15,seguindo,normal,2.0817,5.0067,-0.15,-1.0147,-0.8647,0.5,8.5207,4.7682,1.0,2.6452,4.1,0.0712
10.2,seguindo,normal,2.0918,5.0072,-0.1757,-1.023,-0.8473,0.5,8.5106,4.7682,1.0,2.6452,4.1,0.0798
10.25,seguindo,normal,2.1075,5.0076,-0.2186,-1.0359,-0.8173,0.5,8.4949,4.7682,1.0,2.6452,4.1,0.093
10.3,seguindo,normal,2.1181,5.0076,-0.2489,-1.0446,-0.7958,0.5,8.4844,4.7682,1.0,2.6452,4.1,0.1017
10.35,seguindo,normal,2.1341,5.007,-0.2942,-1.0576,-0.7634,0.5,8.4686,4.7682,1.0,2.6452,4.1,0.1146
