t,estado,modo,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
40.35,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.4978,4.635,1.0,2.6037,4.15,-0.0
40.4,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.4978,4.635,1.0,2.6037,4.15,-0.0
40.45,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.4978,4.635,1.0,2.6037,4.15,-0.0
40.5,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.4978,4.635,1.0,2.6037,4.15,-0.0
40.551,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.4978,4.635,1.0,2.6037,4.15,-0.0
40.6,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.4978,4.635,1.0,2.6037,4.15,-0.0
40.65,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.4978,4.635,1.0,2.6037,4.15,-0.0
40.7,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.4978,4.635,1.0,2.6037,4.15,-0.0
40.75,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.4978,4.635,1.0,2.6037,4.15,-0.0
40.8,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.4978,4.635,1.0,2.6037,4.15,-0.0
40.85,seguindo,normal,2.0027,5.0003,-0.0037,-0.9555,-0.9518,0.5,8.495,4.635,1.0,2.6037,4.15,0.0024
40.901,seguindo,normal,2.0075,5.0009,-0.0114,-0.9596,-0.9482,0.5,8.4902,4.635,1.0,2.6037,4.15,0.0067
40.95,seguindo,normal,2.0135,5.0015,-0.0202,-0.9647,-0.9444,0.5,8.4842,4.635,1.0,2.6037,4.15,0.012
41.0,seguindo,normal,2.0199,5.0022,-0.0305,-0.9701,-0.9396,0.5,8.4778,4.635,1.0,2.6037,4.15,0.0177
41.05,seguindo,normal,2.0312,5.0034,-0.0505,-0.9799,-0.9293,0.5,8.4664,4.635,1.0,2.6037,4.15,0.0276
41.1,seguindo,normal,2.0395,5.0041,-0.066,-0.987,-0.9211,0.5,8.458,4.635,1.0,2.6037,4.15,0.0349
41.151,seguindo,normal,2.0521,5.0054,-0.0941,-0.998,-0.9039,0.5,8.4454,4.635,1.0,2.6037,4.15,0.046
41.2,seguindo,normal,2.0605,5.0063,-0.1147,-1.0054,-0.8907,0.5,8.437,4.635,1.0,2.6037,4.15,0.0534
41.251,seguindo,normal,2.0733,5.0075,-0.1506,-1.0084,-0.8578,0.5,8.4241,4.7682,1.0,2.6452,4.1,0.0647
41.3,seguindo,normal,2.0862,5.0085,-0.1893,-1.0191,-0.8298,0.5,8.4112,4.7682,1.0,2.6452,4.1,0.0759
41.35,seguindo,normal,2.0951,5.0092,-0.22,-1.0267,-0.8066,0.5,8.4022,4.7682,1.0,2.6452,4.1,0.0836
41.4,seguindo,normal,2.1041,5.0096,-0.2509,-1.0341,-0.7832,0.5,8.3933,4.7682,1.0,2.6452,4.1,0.0913
41.45,seguindo,normal,2.1174,5.0102,-0.3023,-1.0503,-0.748,0.5,8.3803,4.7682,1.0,2.6409,4.0971,0.1024
41.5,seguindo,normal,2.1262,5.0104,-0.3383,-1.0577,-0.7193,0.5,8.3715,4.7682,1.0,2.6409,4.0971,0.1098
41.55,seguindo,normal,2.1398,5.0103,-0.3974,-1.0689,-0.6716,0.5,8.3581,4.7682,1.0,2.6409,4.0971,0.121
41.6,seguindo,normal,2.1489,5.01,-0.4386,-1.0765,-0.6379,0.5,8.3491,4.7682,1.0,2.6409,4.0971,0.1284
41.65,seguindo,normal,2.1625,5.0087,-0.5009,-1.0876,-0.5867,0.5,8.3356,4.7682,1.0,2.6409,4.0971,0.1391
41.7,seguindo,normal,2.1716,5.0074,-0.5426,-1.0949,-0.5522,0.5,8.3267,4.7682,1.0,2.6409,4.0971,0.1459
41.75,seguindo,normal,2.1852,5.0047,-0.6047,-1.0949,-0.4902,0.5,8.3147,5.2955,1.0,2.6795,4.0456,0.1546
41.8,seguindo,normal,2.1986,5.0011,-0.6664,-1.1045,-0.4381,0.5,8.3017,5.2955,1.0,2.6795,4.0456,0.1637
41.851,seguindo,normal,2.2075,4.9981,-0.7067,-1.1106,-0.404,0.5,8.2932,5.2955,1.0,2.6795,4.0456,0.1694
41.9,seguindo,normal,2.2162,4.9946,-0.7465,-1.1166,-0.3701,0.5,8.2848,5.2955,1.0,2.6795,4.0456,0.1749
41.951,seguindo,normal,2.2292,4.9887,-0.8054,-1.1253,-0.3198,0.5,8.2725,5.2955,1.0,2.6795,4.0456,0.1825
42.0,seguindo,normal,2.2376,4.9841,-0.8435,-1.1307,-0.2872,0.5,8.2646,5.2955,1.0,2.6795,4.0456,0.1871
42.05,seguindo,normal,2.2501,4.9767,-0.901,-1.124,-0.223,0.5,8.253,4.68,1.0,2.7199,3.9962,0.1935
42.101,seguindo,normal,2.2626,4.9686,-0.9587,-1.1313,-0.1726,0.5,8.2415,4.68,1.0,2.7199,3.9962,0.1996
42.15,seguindo,normal,2.2709,4.9627,-0.9959,-1.1359,-0.14,0.5,8.2338,4.68,1.0,2.7199,3.9962,0.2033
42.201,seguindo,normal,2.2833,4.9532,-1.0516,-1.1428,-0.0911,0.5,8.2226,4.68,1.0,2.7199,3.9962,0.2086
42.25,seguindo,normal,2.2912,4.9456,-1.0851,-1.1466,-0.0616,0.5,8.2156,4.68,1.0,2.7199,3.9962,0.2112
42.3,seguindo,normal,2.2987,4.9378,-1.1172,-1.1395,-0.0224,0.5,8.209,4.5924,1.0,2.7551,3.946,0.2134
42.351,seguindo,normal,2.3094,4.9249,-1.1615,-1.1423,0.0191,0.5,8.2026,4.5924,1.0,2.757,3.945,0.2133
42.4,seguindo,normal,2.316,4.9158,-1.1886,-1.1445,0.0441,0.5,8.197,4.5924,1.0,2.757,3.945,0.2141
42.451,seguindo,normal,2.3254,4.901,-1.2257,-1.1468,0.0789,0.5,8.1893,4.5924,1.0,2.757,3.945,0.2142
42.5,seguindo,normal,2.3313,4.8907,-1.2483,-1.1478,0.1005,0.5,8.1847,4.5924,1.0,2.757,3.945,0.2137
42.55,seguindo,normal,2.3394,4.874,-1.2772,-1.141,0.1362,0.5,8.1786,5.3454,1.0,2.7882,3.8948,0.2117
42.6,seguindo,normal,2.3444,4.8624,-1.294,-1.1408,0.1532,0.5,8.175,5.3454,1.0,2.7882,3.8948,0.2098
42.65,seguindo,normal,2.3509,4.8456,-1.3138,-1.1397,0.1741,0.5,8.1706,5.3454,1.0,2.7882,3.8948,0.2062
42.7,seguindo,normal,2.3547,4.8346,-1.3243,-1.1386,0.1857,0.5,8.1682,5.3454,1.0,2.7882,3.8948,0.2036
42.75,seguindo,normal,2.3597,4.8178,-1.3346,-1.1333,0.2013,0.5,8.1653,2.7534,1.0,2.8149,3.8446,0.1989
42.801,seguindo,normal,2.3643,4.8009,-1.3409,-1.1304,0.2105,0.5,8.1629,2.7534,1.0,2.8149,3.8446,0.1937
42.85,seguindo,normal,2.3669,4.7895,-1.3402,-1.128,0.2121,0.5,8.1617,2.7534,1.0,2.8149,3.8446,0.1897
42.902,seguindo,normal,2.3708,4.7724,-1.3388,-1.1262,0.2126,0.5,8.1601,1.7232,1.0,2.8368,3.7944,0.1837
