t,estado,modo,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
28.313,seguindo,normal,2.0,5.0,0.0,-0.9894,-0.9894,0.5,8.6701,8.5935,0.37,2.23,4.65,-0.0
28.35,seguindo,normal,2.0,5.0,0.0,-0.9894,-0.9894,0.5,8.6701,8.5935,0.37,2.23,4.65,-0.0
28.4,seguindo,normal,2.0,5.0,0.0,-0.9894,-0.9894,0.5,8.6701,8.5935,0.37,2.23,4.65,-0.0
28.45,seguindo,normal,2.0,5.0,0.0,-0.9894,-0.9894,0.5,8.6701,8.5935,0.37,2.23,4.65,-0.0
28.5,seguindo,normal,2.0,5.0,0.0,-0.9894,-0.9894,0.5,8.6701,8.5935,0.37,2.23,4.65,-0.0
28.55,seguindo,normal,2.0,5.0,0.0,-0.9894,-0.9894,0.5,8.6701,8.5935,0.37,2.23,4.65,-0.0
28.6,seguindo,normal,2.0,5.0,0.0,-0.9894,-0.9894,0.5,8.6701,8.5935,0.37,2.23,4.65,-0.0
28.65,seguindo,normal,2.0,5.0,0.0,-0.9894,-0.9894,0.5,8.6701,8.5935,0.37,2.23,4.65,-0.0
28.7,seguindo,normal,2.0,5.0,0.0,-0.9894,-0.9894,0.5,8.6701,8.5935,0.37,2.23,4.65,-0.0
28.751,seguindo,normal,2.0027,5.0003,-0.0037,-0.9953,-0.9916,0.5,8.6673,8.5935,0.37,2.23,4.65,0.0024
28.8,seguindo,normal,2.0075,5.0009,-0.0113,-1.0056,-0.9943,0.5,8.6625,8.5935,0.37,2.23,4.65,0.0067
28.85,seguindo,normal,2.0134,5.0015,-0.0201,-1.0186,-0.9985,0.5,8.6566,8.5935,0.37,2.23,4.65,0.0119
28.9,seguindo,normal,2.023,5.0025,-0.0355,-1.0399,-1.0044,0.5,8.6469,8.5935,0.37,2.23,4.65,0.0204
28.95,seguindo,normal,2.0309,5.0034,-0.0505,-1.0578,-1.0073,0.5,8.6389,8.5935,0.37,2.23,4.65,0.0274
29.001,seguindo,normal,2.0431,5.0045,-0.0736,-1.0857,-1.0121,0.5,8.6267,8.5935,0.37,2.23,4.65,0.0381
29.05,seguindo,normal,2.0513,5.0055,-0.0939,-1.105,-1.0111,0.5,8.6185,8.5935,0.37,2.23,4.65,0.0454
29.1,seguindo,normal,2.0595,5.0063,-0.1145,-1.1245,-1.01,0.5,8.6102,8.5935,0.37,2.23,4.65,0.0526
29.15,seguindo,normal,2.072,5.0076,-0.1503,-1.1311,-0.9808,0.5,8.5977,22.512,0.37,2.2637,4.6,0.0636
29.2,seguindo,normal,2.0803,5.0083,-0.176,-1.1488,-0.9728,0.5,8.5893,22.512,0.37,2.2637,4.6,0.071
29.25,seguindo,normal,2.0933,5.0094,-0.2195,-1.1763,-0.9568,0.5,8.5764,22.512,0.37,2.2637,4.6,0.0822
29.3,seguindo,normal,2.102,5.0099,-0.2504,-1.195,-0.9447,0.5,8.5676,22.512,0.37,2.2637,4.6,0.0897
29.35,seguindo,normal,2.115,5.0105,-0.3016,-1.2234,-0.9218,0.5,8.5546,22.512,0.37,2.2637,4.6,0.1008
29.4,seguindo,normal,2.1237,5.0108,-0.3375,-1.2423,-0.9047,0.5,8.546,22.512,0.37,2.2637,4.6,0.1081
29.45,seguindo,normal,2.1369,5.0108,-0.3965,-1.2715,-0.875,0.5,8.5329,22.512,0.37,2.2637,4.6,0.1191
29.5,seguindo,normal,2.1458,5.0106,-0.4377,-1.2912,-0.8536,0.5,8.5241,22.512,0.37,2.2637,4.6,0.1263
29.55,seguindo,normal,2.1593,5.0095,-0.5011,-1.3248,-0.8237,0.5,8.5119,22.512,0.37,2.2624,4.599,0.1362
29.6,seguindo,normal,2.1683,5.0084,-0.544,-1.3449,-0.8008,0.5,8.5032,22.512,0.37,2.2624,4.599,0.143
29.65,seguindo,normal,2.1817,5.0059,-0.608,-1.3244,-0.7164,0.5,8.4902,19.709,0.37,2.2966,4.5488,0.1528
29.7,seguindo,normal,2.1905,5.0038,-0.6505,-1.3416,-0.6911,0.5,8.4817,19.709,0.37,2.2966,4.5488,0.1589
29.75,seguindo,normal,2.2036,4.9998,-0.7138,-1.3674,-0.6536,0.5,8.4692,19.709,0.37,2.2966,4.5488,0.1676
29.8,seguindo,normal,2.2122,4.9966,-0.7558,-1.3845,-0.6287,0.5,8.461,19.709,0.37,2.2966,4.5488,0.173
29.85,seguindo,normal,2.2249,4.9912,-0.8183,-1.4034,-0.5851,0.5,8.4528,19.709,0.37,2.2996,4.5488,0.1775
29.9,seguindo,normal,2.2372,4.9848,-0.8805,-1.4286,-0.5481,0.5,8.4414,19.709,0.37,2.2996,4.5488,0.1844
29.95,seguindo,normal,2.2452,4.9801,-0.9215,-1.4453,-0.5238,0.5,8.434,19.709,0.37,2.2996,4.5488,0.1886
30.0,seguindo,normal,2.2531,4.9752,-0.9627,-1.4017,-0.439,0.5,8.4269,7.6848,0.37,2.3345,4.4985,0.1924
30.052,seguindo,normal,2.2647,4.9672,-1.0254,-1.4313,-0.4059,0.5,8.4145,7.6848,0.37,2.3306,4.4978,0.1997
30.1,seguindo,normal,2.276,4.9588,-1.0892,-1.4529,-0.3636,0.5,8.4043,7.6848,0.37,2.3306,4.4978,0.2046
30.15,seguindo,normal,2.2833,4.9529,-1.1322,-1.4674,-0.3351,0.5,8.3977,7.6848,0.37,2.3306,4.4978,0.2077
30.2,seguindo,normal,2.2905,4.9468,-1.1757,-1.4819,-0.3062,0.5,8.3913,7.6848,0.37,2.3306,4.4978,0.2106
