t,estado,modo,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
11.85,seguindo,normal,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,11.7436,15887.5069,1.0,1.011,-0.044,0.044
11.9,seguindo,normal,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,11.7436,15887.5069,1.0,1.011,-0.044,0.044
11.95,seguindo,normal,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,11.7436,15887.5069,1.0,1.011,-0.044,0.044
12.0,seguindo,normal,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,11.7436,15887.5069,1.0,1.011,-0.044,0.044
12.05,seguindo,normal,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,11.7436,15887.5069,1.0,1.011,-0.044,0.044
12.1,seguindo,normal,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,11.7436,15887.5069,1.0,1.011,-0.044,0.044
12.15,seguindo,normal,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,11.7436,15887.5069,1.0,1.011,-0.044,0.044
12.2,seguindo,normal,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,11.7436,15887.5069,1.0,1.011,-0.044,0.044
12.25,seguindo,normal,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,11.7436,15887.5069,1.0,1.011,-0.044,0.044
12.3,seguindo,normal,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,11.7436,15887.5069,1.0,1.011,-0.044,0.044
12.35,seguindo,normal,0.0027,0.0003,-0.0037,-0.0439,-0.0402,0.5,11.7418,15887.5069,1.0,1.011,-0.044,0.0443
12.4,seguindo,normal,0.0059,0.0007,-0.0088,-0.0444,-0.0356,0.5,11.7397,15887.5069,1.0,1.011,-0.044,0.0447
12.45,seguindo,normal,0.0135,0.0015,-0.0201,-0.0456,-0.0254,0.5,11.7348,15887.5069,1.0,1.011,-0.044,0.0455
12.5,seguindo,normal,0.0198,0.0022,-0.0303,-0.0466,-0.0162,0.5,11.7306,15887.5069,1.0,1.011,-0.044,0.0462
12.55,seguindo,normal,0.0321,0.003,-0.0461,-0.048,-0.0018,0.5,11.7231,15887.5069,1.0,1.011,-0.044,0.047
12.6,seguindo,normal,0.0417,0.0033,-0.0563,-0.0464,0.0099,0.5,11.7174,8777.3191,1.0,1.061,-0.044,0.0473
12.65,seguindo,normal,0.0588,0.0035,-0.0722,-0.0473,0.0249,0.5,11.7077,8777.3191,1.0,1.061,-0.044,0.0475
12.7,seguindo,normal,0.0717,0.0033,-0.0825,-0.0478,0.0347,0.5,11.7006,8777.3191,1.0,1.061,-0.044,0.0473
12.75,seguindo,normal,0.0913,0.0028,-0.0973,-0.0458,0.0515,0.5,11.6901,4890.1563,1.0,1.111,-0.044,0.0468
12.8,seguindo,normal,0.1047,0.0021,-0.1064,-0.0458,0.0606,0.5,11.6832,4890.1563,1.0,1.111,-0.044,0.0461
12.85,seguindo,normal,0.124,0.0008,-0.1165,-0.0454,0.0711,0.5,11.6736,4890.1563,1.0,1.111,-0.044,0.0448
12.9,seguindo,normal,0.1367,-0.0003,-0.1215,-0.0426,0.0788,0.5,11.6675,2749.4918,1.0,1.161,-0.044,0.0437
12.95,seguindo,normal,0.1553,-0.0021,-0.1276,-0.0416,0.0859,0.5,11.6586,2749.4918,1.0,1.161,-0.044,0.0419
13.0,seguindo,normal,0.1738,-0.0042,-0.1322,-0.0403,0.0919,0.5,11.6501,2749.4918,1.0,1.161,-0.044,0.0398
13.05,seguindo,normal,0.1856,-0.0057,-0.1322,-0.0392,0.093,0.5,11.6449,2749.4918,1.0,1.161,-0.044,0.0383
13.1,seguindo,normal,0.1974,-0.0073,-0.1322,-0.0362,0.096,0.5,11.6397,1561.3738,1.0,1.211,-0.044,0.0367
13.15,seguindo,normal,0.2147,-0.0098,-0.1296,-0.0343,0.0953,0.5,11.6323,1561.3738,1.0,1.211,-0.044,0.0342
13.2,seguindo,normal,0.2261,-0.0115,-0.127,-0.033,0.094,0.5,11.6274,1561.3738,1.0,1.211,-0.044,0.0325
13.25,seguindo,normal,0.2431,-0.014,-0.1227,-0.0295,0.0931,0.5,11.6202,896.3786,1.0,1.261,-0.0441,0.03
13.3,seguindo,normal,0.2544,-0.0156,-0.1196,-0.0283,0.0914,0.5,11.6153,896.3786,1.0,1.261,-0.0441,0.0284
13.35,seguindo,normal,0.2714,-0.018,-0.1153,-0.0298,0.0855,0.5,11.6085,896.3786,1.0,1.2612,-0.0475,0.0257
13.4,seguindo,normal,0.2828,-0.0195,-0.1125,-0.0286,0.0839,0.5,11.6035,896.3786,1.0,1.2612,-0.0475,0.0242
13.45,seguindo,normal,0.2999,-0.0217,-0.1087,-0.0257,0.083,0.5,11.596,520.7994,1.0,1.3112,-0.0477,0.0221
13.5,seguindo,normal,0.3113,-0.0231,-0.1063,-0.0246,0.0817,0.5,11.5909,520.7994,1.0,1.3112,-0.0477,0.0207
13.55,seguindo,normal,0.3285,-0.0252,-0.103,-0.0229,0.0801,0.5,11.5833,520.7994,1.0,1.3112,-0.0477,0.0187
13.6,seguindo,normal,0.34,-0.0266,-0.101,-0.021,0.08,0.5,11.5781,306.6049,1.0,1.3612,-0.048,0.0174
13.65,seguindo,normal,0.3574,-0.0285,-0.0983,-0.0194,0.0789,0.5,11.5703,306.6049,1.0,1.3612,-0.048,0.0155
13.7,seguindo,normal,0.3689,-0.0298,-0.0966,-0.0183,0.0782,0.5,11.5651,306.6049,1.0,1.3612,-0.048,0.0143
13.75,seguindo,normal,0.3863,-0.0316,-0.0941,-0.0162,0.0779,0.5,11.5573,183.1631,1.0,1.4112,-0.0483,0.0125
13.8,seguindo,normal,0.3979,-0.0329,-0.0925,-0.0152,0.0773,0.5,11.552,183.1631,1.0,1.4112,-0.0483,0.0113
13.85,seguindo,normal,0.4152,-0.0347,-0.09,-0.0137,0.0763,0.5,11.5441,183.1631,1.0,1.4112,-0.0483,0.0096
13.9,seguindo,normal,0.4268,-0.0358,-0.0883,-0.0126,0.0757,0.5,11.5389,183.1631,1.0,1.4112,-0.0483,0.0084
13.95,seguindo,normal,0.4442,-0.0375,-0.0858,-0.0109,0.0749,0.5,11.531,111.2174,1.0,1.4612,-0.0486,0.0068
14.0,seguindo,normal,0.4558,-0.0387,-0.0841,-0.0099,0.0742,0.5,11.5257,111.2174,1.0,1.4612,-0.0486,0.0057
14.05,seguindo,normal,0.4732,-0.0403,-0.0815,-0.0084,0.0731,0.5,11.5178,111.2174,1.0,1.4612,-0.0486,0.0041
14.1,seguindo,normal,0.4847,-0.0414,-0.0797,-0.0074,0.0723,0.5,11.5125,111.2174,1.0,1.4612,-0.0486,0.0031
14.15,seguindo,normal,0.5021,-0.043,-0.077,-0.0061,0.071,0.5,11.5045,68.7763,1.0,1.5112,-0.0491,0.0016
14.2,seguindo,normal,0.5137,-0.044,-0.0752,-0.0051,0.0701,0.5,11.4992,68.7763,1.0,1.5112,-0.0491,0.0006
