t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0,-0.0,-0.0,5.7271,119,-0.1195,-0.1195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0,-0.0,-0.0,5.7271,119,-0.1297,-0.1297,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.1,-0.0,-0.0,-0.0,5.7271,119,-0.1297,-0.1297,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.15,-0.0,-0.0,-0.0,5.7271,119,-0.1297,-0.1297,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.2,-0.0,-0.0,-0.0,5.7271,119,-0.1297,-0.1297,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.25,-0.0,-0.0,-0.0,5.7271,119,-0.1297,-0.1297,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.3,-0.0,-0.0,-0.0,5.7271,119,-0.1297,-0.1297,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.35,-0.0,-0.0,-0.0,5.7271,119,-0.1297,-0.1297,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.4,-0.0,-0.0,-0.0,5.7271,119,-0.1297,-0.1297,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.45,0.0043,0.0005,-0.0062,5.7228,119,-0.1312,-0.125,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.5,0.0075,0.0009,-0.0113,5.7196,119,-0.1332,-0.1219,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.55,0.0166,0.0018,-0.0251,5.7105,119,-0.1377,-0.1125,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.6,0.023,0.0025,-0.0353,5.7041,119,-0.1416,-0.1063,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.65,0.0369,0.0031,-0.0511,5.6903,119,-0.1482,-0.0971,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.7,0.0465,0.0034,-0.0612,5.6809,119,-0.1434,-0.0821,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.75,0.0652,0.0034,-0.0772,5.6626,119,-0.1498,-0.0726,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0.8,0.078,0.0032,-0.0875,5.6502,119,-0.1543,-0.0668,0.5,0.0,0.5,0.0,0.0,0.0,0.0
