t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
28.902,seguindo,-0.0,-0.0,-0.0,-0.1195,-0.1195,0.5,5.6799,10.9204,0.37,0.411,-0.0494,0.044
28.95,seguindo,-0.0,-0.0,-0.0,-0.1297,-0.1297,0.5,5.6799,7.4441,0.37,0.411,-0.0536,0.0441
29.0,seguindo,-0.0,-0.0,-0.0,-0.1297,-0.1297,0.5,5.6799,7.4441,0.37,0.411,-0.0536,0.0441
29.05,seguindo,-0.0,-0.0,-0.0,-0.1297,-0.1297,0.5,5.6799,7.4441,0.37,0.411,-0.0536,0.0441
29.1,seguindo,-0.0,-0.0,-0.0,-0.1297,-0.1297,0.5,5.6799,7.4441,0.37,0.411,-0.0536,0.0441
29.15,seguindo,-0.0,-0.0,-0.0,-0.1297,-0.1297,0.5,5.6799,7.4441,0.37,0.411,-0.0536,0.0441
29.2,seguindo,-0.0,-0.0,-0.0,-0.1297,-0.1297,0.5,5.6799,7.4441,0.37,0.411,-0.0536,0.0441
29.25,seguindo,-0.0,-0.0,-0.0,-0.1297,-0.1297,0.5,5.6799,7.4441,0.37,0.411,-0.0536,0.0441
29.3,seguindo,-0.0,-0.0,-0.0,-0.1297,-0.1297,0.5,5.6799,7.4441,0.37,0.411,-0.0536,0.0441
29.35,seguindo,0.0027,0.0003,-0.0037,-0.1312,-0.1275,0.5,5.6772,7.4441,0.37,0.411,-0.0536,0.0444
29.4,seguindo,0.0059,0.0007,-0.0088,-0.1332,-0.1244,0.5,5.674,7.4441,0.37,0.411,-0.0536,0.0449
29.45,seguindo,0.0134,0.0015,-0.02,-0.1377,-0.1176,0.5,5.6665,7.4441,0.37,0.411,-0.0536,0.0457
29.5,seguindo,0.0198,0.0022,-0.0302,-0.1416,-0.1114,0.5,5.66,7.4441,0.37,0.411,-0.0536,0.0464
29.55,seguindo,0.0321,0.003,-0.046,-0.1482,-0.1022,0.5,5.6478,7.4441,0.37,0.411,-0.0536,0.0472
29.6,seguindo,0.0417,0.0033,-0.0562,-0.1434,-0.0872,0.5,5.6383,5.6531,0.37,0.461,-0.0572,0.0476
29.65,seguindo,0.0588,0.0035,-0.0721,-0.1498,-0.0777,0.5,5.6216,5.6531,0.37,0.461,-0.0572,0.0479
