t,estado,modo,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
1787261753.921,seguindo,normal,0.022,0.0046,-0.0036,-0.2844,-0.2808,0.5,13.2816,1.4426,0.37,0.3794,-0.0999,0.0432
1787261753.962,seguindo,normal,0.0206,0.0027,-0.0029,-0.2999,-0.297,0.5,13.2839,1.7228,0.37,0.4023,-0.1154,0.0421
1787261754.012,seguindo,normal,0.0206,0.0027,-0.0029,-0.2956,-0.2927,0.5,13.2839,1.0255,0.37,0.4023,-0.1136,0.0412
1787261754.062,seguindo,normal,0.0194,0.0032,-0.0042,-0.296,-0.2918,0.5,13.284,1.0255,0.37,0.4023,-0.1136,0.0416
1787261754.112,seguindo,normal,0.0194,0.0032,-0.0042,-0.296,-0.2918,0.5,13.284,1.0255,0.37,0.4023,-0.1136,0.0416
1787261754.162,seguindo,normal,0.0213,0.0026,-0.0025,-0.2959,-0.2935,0.5,13.2837,1.0255,0.37,0.4023,-0.1136,0.0412
1787261754.212,seguindo,normal,0.0213,0.0026,-0.0025,-0.2959,-0.2935,0.5,13.2837,1.0255,0.37,0.4023,-0.1136,0.0412
1787261754.262,seguindo,normal,0.0235,0.0041,-0.0063,-0.3012,-0.2949,0.5,13.2814,1.0255,0.37,0.4023,-0.1136,0.0428
1787261754.312,seguindo,normal,0.0235,0.0041,-0.0063,-0.3012,-0.2949,0.5,13.2814,1.0255,0.37,0.4023,-0.1136,0.0428
1787261754.362,seguindo,normal,0.0223,0.0025,-0.0044,-0.2965,-0.292,0.5,13.2833,1.0255,0.37,0.4023,-0.1136,0.0411
1787261754.412,seguindo,normal,0.0223,0.0025,-0.0044,-0.2965,-0.292,0.5,13.2833,1.0255,0.37,0.4023,-0.1136,0.0411
1787261754.462,seguindo,normal,0.0228,0.0007,-0.0041,-0.2924,-0.2883,0.5,13.2848,1.0255,0.37,0.4023,-0.1136,0.0393
1787261754.512,seguindo,normal,0.0228,0.0007,-0.0041,-0.2924,-0.2883,0.5,13.2848,1.0255,0.37,0.4023,-0.1136,0.0393
1787261754.562,seguindo,normal,0.0205,-0.0001,-0.0029,-0.2889,-0.2859,0.5,13.2865,1.0255,0.37,0.4023,-0.1136,0.0384
1787261754.612,seguindo,normal,0.0205,-0.0001,-0.0029,-0.2889,-0.2859,0.5,13.2865,1.0255,0.37,0.4023,-0.1136,0.0384
1787261754.662,seguindo,normal,0.0194,-0.0009,-0.007,-0.2862,-0.2792,0.5,13.2877,1.0255,0.37,0.4023,-0.1136,0.0376
1787261754.712,seguindo,normal,0.0194,-0.0009,-0.007,-0.2862,-0.2792,0.5,13.2877,1.0255,0.37,0.4023,-0.1136,0.0376
