t,topico,FL,FR,dpad_x
1.037,rodas,0.0,-0.0,
1.038,rodas,0.0,-0.0,
1.038,rodas,0.0,-0.0,
1.097,rodas,0.0,-0.0,
1.097,rodas,0.0,-0.0,
1.136,rodas,0.0,-0.0,
1.137,rodas,0.0,-0.0,
1.137,rodas,0.0,-0.0,
1.197,rodas,0.0,-0.0,
1.197,rodas,0.0,-0.0,
1.236,rodas,0.0,-0.0,
1.237,rodas,0.0,-0.0,
1.237,rodas,0.0,-0.0,
1.297,rodas,0.0,-0.0,
1.297,rodas,0.0,-0.0,
1.337,rodas,0.0,-0.0,
1.337,rodas,0.0,-0.0,
1.337,rodas,0.0,-0.0,
1.397,rodas,0.0,-0.0,
1.397,rodas,0.0,-0.0,
1.437,rodas,0.0,-0.0,
1.437,rodas,0.0,-0.0,
1.437,rodas,0.0,-0.0,
1.497,rodas,0.0,-0.0,
1.497,rodas,0.0,-0.0,
1.536,rodas,0.0,-0.0,
1.537,rodas,0.0,-0.0,
1.537,rodas,0.0,-0.0,
1.597,rodas,0.0,-0.0,
1.597,rodas,0.0,-0.0,
1.636,rodas,0.0,-0.0,
1.637,rodas,0.0,-0.0,
1.637,rodas,0.0,-0.0,
1.697,rodas,0.0,-0.0,
1.697,rodas,0.0,-0.0,
1.737,rodas,0.0,-0.0,
1.737,rodas,0.0,-0.0,
1.737,rodas,0.0,-0.0,
1.797,rodas,0.0,-0.0,
1.797,rodas,0.0,-0.0,
1.837,rodas,0.0,-0.0,
1.837,rodas,0.0,-0.0,
1.837,rodas,0.0,-0.0,
1.897,rodas,0.0,-0.0,
1.897,rodas,0.0,-0.0,
1.936,rodas,0.0,-0.0,
1.937,rodas,0.0,-0.0,
1.937,rodas,0.0,-0.0,
1.997,rodas,0.0,-0.0,
1.997,rodas,0.0,-0.0,
2.037,rodas,0.0,-0.0,
2.037,rodas,0.0,-0.0,
2.038,rodas,0.0,-0.0,
2.098,rodas,0.0,-0.0,
2.099,rodas,0.0,-0.0,
2.137,rodas,0.0,-0.0,
2.137,rodas,0.0,-0.0,
2.137,rodas,0.0,-0.0,
2.197,rodas,0.0,-0.0,
2.197,rodas,0.0,-0.0,
2.237,rodas,0.0,-0.0,
2.237,rodas,0.0,-0.0,
2.237,rodas,0.0,-0.0,
2.297,rodas,0.0,-0.0,
2.297,rodas,0.0,-0.0,
2.337,rodas,0.0,-0.0,
2.337,rodas,0.0,-0.0,
2.338,rodas,0.0,-0.0,
2.397,rodas,0.0,-0.0,
2.397,rodas,0.0,-0.0,
2.436,rodas,0.0,-0.0,
2.437,rodas,0.0,-0.0,
2.437,rodas,0.0,-0.0,
2.497,rodas,0.0,-0.0,
2.497,rodas,0.0,-0.0,
2.536,rodas,0.0,-0.0,
2.537,rodas,0.0,-0.0,
2.537,rodas,0.0,-0.0,
2.596,rodas,0.0,-0.0,
2.597,rodas,0.0,-0.0,
2.636,rodas,0.0,-0.0,
2.637,rodas,0.0,-0.0,
2.637,rodas,0.0,-0.0,
2.697,rodas,0.0,-0.0,
2.697,rodas,0.0,-0.0,
2.737,rodas,0.0,-0.0,
2.737,rodas,0.0,-0.0,
2.738,rodas,0.0,-0.0,
2.797,rodas,0.0,-0.0,
2.797,rodas,0.0,-0.0,
2.837,rodas,0.0,-0.0,
2.837,rodas,0.0,-0.0,
2.837,rodas,0.0,-0.0,
2.897,rodas,0.0,-0.0,
2.897,rodas,0.0,-0.0,
2.936,rodas,0.0,-0.0,
2.937,rodas,0.0,-0.0,
2.938,rodas,0.0,-0.0,
2.997,rodas,0.0,-0.0,
2.997,rodas,0.0,-0.0,
3.037,rodas,0.0,-0.0,
3.037,rodas,0.0,-0.0,
3.037,rodas,0.0,-0.0,
3.071,dpad,,,0.3
3.097,rodas,0.0,-0.0,
3.097,rodas,0.0,-0.0,
3.121,dpad,,,0.3
3.137,rodas,0.0,-0.0,
3.137,rodas,0.0,-0.0,
3.137,rodas,0.0,-0.0,
3.171,dpad,,,0.3
3.191,dpad,,,0.0
3.196,rodas,0.0,-0.0,
3.197,rodas,0.0,-0.0,
3.236,rodas,0.0,-0.0,
3.237,rodas,0.0,-0.0,
3.237,rodas,5.0,-0.0,
3.297,rodas,5.0,-0.0,
3.297,rodas,5.0,-0.0,
3.337,rodas,11.0,11.0,
3.338,rodas,11.0,11.0,
3.338,rodas,11.0,11.0,
3.397,rodas,8.0,11.0,
3.397,rodas,8.0,10.0,
3.437,rodas,8.0,10.0,
3.437,rodas,8.0,10.0,
3.437,rodas,8.0,10.0,
3.496,rodas,8.0,10.0,
3.497,rodas,0.0,10.0,
3.536,rodas,0.0,-0.0,
3.537,rodas,0.0,-0.0,
3.537,rodas,0.0,-0.0,
3.597,rodas,0.0,-0.0,
3.597,rodas,0.0,-0.0,
3.637,rodas,0.0,-0.0,
3.637,rodas,0.0,-0.0,
3.637,rodas,0.0,-0.0,
3.697,rodas,0.0,-0.0,
3.697,rodas,0.0,-0.0,
3.737,rodas,0.0,-0.0,
3.737,rodas,0.0,-0.0,
3.737,rodas,0.0,-0.0,
3.797,rodas,0.0,-0.0,
3.797,rodas,0.0,-0.0,
3.837,rodas,0.0,-0.0,
3.837,rodas,0.0,-0.0,
3.837,rodas,0.0,-0.0,
3.897,rodas,0.0,-0.0,
3.897,rodas,0.0,-0.0,
3.937,rodas,0.0,-0.0,
3.937,rodas,0.0,-0.0,
3.937,rodas,0.0,-0.0,
3.997,rodas,0.0,-0.0,
3.998,rodas,0.0,-0.0,
4.037,rodas,0.0,-0.0,
4.037,rodas,0.0,-0.0,
4.038,rodas,0.0,-0.0,
4.097,rodas,0.0,-0.0,
4.097,rodas,0.0,-0.0,
4.157,rodas,0.0,-0.0,
4.157,rodas,0.0,-0.0,
4.157,rodas,0.0,-0.0,
4.197,rodas,0.0,-0.0,
4.197,rodas,0.0,-0.0,
4.257,rodas,0.0,-0.0,
4.257,rodas,0.0,-0.0,
4.257,rodas,0.0,-0.0,
4.297,rodas,0.0,-0.0,
4.297,rodas,0.0,-0.0,
4.356,rodas,0.0,-0.0,
4.357,rodas,0.0,-0.0,
4.357,rodas,0.0,-0.0,
4.361,dpad,,,-0.3
4.397,rodas,0.0,-0.0,
4.397,rodas,0.0,-0.0,
4.411,dpad,,,-0.3
4.456,rodas,0.0,-0.0,
4.457,rodas,0.0,-0.0,
4.457,rodas,0.0,-0.0,
4.480,dpad,,,0.0
4.497,rodas,0.0,-0.0,
4.497,rodas,-7.0,-0.0,
4.557,rodas,-7.0,-0.0,
4.557,rodas,-18.0,-0.0,
4.557,rodas,-18.0,-0.0,
4.597,rodas,-18.0,-13.0,
4.597,rodas,-15.0,-13.0,
4.657,rodas,-15.0,-12.0,
4.657,rodas,-15.0,-12.0,
4.657,rodas,-11.0,-12.0,
4.697,rodas,-11.0,-12.0,
4.697,rodas,-11.0,-11.0,
4.757,rodas,-10.0,-11.0,
4.757,rodas,-10.0,-11.0,
4.757,rodas,-10.0,-8.0,
4.797,rodas,-10.0,-8.0,
4.797,rodas,-10.0,-8.0,
4.857,rodas,-10.0,-8.0,
4.857,rodas,-10.0,-8.0,
4.857,rodas,-6.0,-8.0,
4.897,rodas,-6.0,-6.0,
4.897,rodas,-6.0,-6.0,
4.957,rodas,-6.0,-6.0,
4.957,rodas,-6.0,-6.0,
4.957,rodas,-6.0,-6.0,
4.997,rodas,0.0,-6.0,
4.997,rodas,0.0,-0.0,
5.057,rodas,0.0,-0.0,
5.057,rodas,0.0,-0.0,
5.057,rodas,0.0,-0.0,
5.098,rodas,0.0,-0.0,
5.098,rodas,0.0,-0.0,
5.156,rodas,0.0,-0.0,
5.157,rodas,0.0,-0.0,
5.157,rodas,0.0,-0.0,
5.197,rodas,0.0,-0.0,
5.197,rodas,0.0,-0.0,
5.257,rodas,0.0,-0.0,
5.258,rodas,0.0,-0.0,
5.258,rodas,0.0,-0.0,
5.297,rodas,0.0,-0.0,
5.297,rodas,0.0,-0.0,
5.357,rodas,0.0,-0.0,
5.358,rodas,0.0,-0.0,
5.359,rodas,0.0,-0.0,
5.397,rodas,0.0,-0.0,
5.398,rodas,0.0,-0.0,
5.457,rodas,0.0,-0.0,
5.458,rodas,0.0,-0.0,
5.458,rodas,0.0,-0.0,
5.497,rodas,0.0,-0.0,
5.497,rodas,0.0,-0.0,
5.557,rodas,0.0,-0.0,
5.557,rodas,0.0,-0.0,
5.557,rodas,0.0,-0.0,
5.597,rodas,0.0,-0.0,
5.597,rodas,0.0,-0.0,
5.657,rodas,0.0,-0.0,
5.657,rodas,0.0,-0.0,
5.657,rodas,0.0,-0.0,
5.697,rodas,0.0,-0.0,
5.697,rodas,0.0,-0.0,
5.757,rodas,0.0,-0.0,
5.757,rodas,0.0,-0.0,
5.757,rodas,0.0,-0.0,
5.797,rodas,0.0,-0.0,
5.797,rodas,0.0,-0.0,
5.857,rodas,0.0,-0.0,
5.857,rodas,0.0,-0.0,
5.858,rodas,0.0,-0.0,
5.897,rodas,0.0,-0.0,
5.897,rodas,0.0,-0.0,
5.957,rodas,0.0,-0.0,
5.958,rodas,0.0,-0.0,
5.959,rodas,0.0,-0.0,
5.997,rodas,0.0,-0.0,
5.997,rodas,0.0,-0.0,
6.057,rodas,0.0,-0.0,
6.057,rodas,0.0,-0.0,
6.057,rodas,0.0,-0.0,
6.097,rodas,0.0,-0.0,
6.097,rodas,0.0,-0.0,
6.157,rodas,0.0,-0.0,
6.157,rodas,0.0,-0.0,
6.157,rodas,0.0,-0.0,
