t,tecla,alvo_speed,alvo_steer,speed,steer,mega_steer,mega_speed,mega_set_ok,mega_pc_bad,mega_len_bad,mega_hover_tx,rx_bytes,placa_ok,placa_ruim,placa_cmd1,placa_cmd2,placa_spdR,placa_spdL,placa_bat_V,placa_temp_C
0.000,,0,0,0,0,,,,,,,0,0,0,,,,,,
0.020,,0,0,0,0,,,,,,,38,2,0,0,0,0,0,40.95,-158.7
0.040,,0,0,0,0,,,,,,,78,4,0,0,0,0,0,40.95,-158.7
0.060,,0,0,0,0,,,,,,,118,6,0,0,0,0,0,40.97,-158.7
0.080,,0,0,0,0,,,,,,,158,8,0,0,0,0,0,40.97,-158.7
0.100,,0,0,0,0,,,,,,,198,11,0,0,0,0,0,40.97,-158.7
0.120,,0,0,0,0,,,,,,,234,13,0,0,0,0,0,40.97,-158.7
0.140,,0,0,0,0,,,,,,,270,15,0,0,0,0,0,40.97,-158.7
0.160,,0,0,0,0,,,,,,,288,16,0,0,0,0,0,40.97,-158.7
0.180,,0,0,0,0,,,,,,,324,18,0,0,0,0,0,40.97,-158.7
0.200,,0,0,0,0,,,,,,,360,20,0,0,0,0,0,40.97,-158.7
0.220,,0,0,0,0,,,,,,,396,22,0,0,0,0,0,40.97,-158.7
0.240,,0,0,0,0,,,,,,,436,24,0,0,0,0,0,40.97,-158.7
0.260,,0,0,0,0,,,,,,,476,26,0,0,0,0,0,40.97,-158.7
0.280,,0,0,0,0,,,,,,,516,28,0,0,0,0,0,40.97,-158.7
0.300,,0,0,0,0,,,,,,,556,30,0,0,0,0,0,40.97,-158.7
0.320,,0,0,0,0,,,,,,,594,33,0,0,0,0,0,40.97,-158.9
0.340,,0,0,0,0,,,,,,,612,34,0,0,0,0,0,40.97,-158.7
0.360,,0,0,0,0,,,,,,,648,36,0,0,0,0,0,40.97,-158.7
0.380,,0,0,0,0,,,,,,,684,38,0,0,0,0,0,40.97,-158.7
0.400,,0,0,0,0,,,,,,,720,40,0,0,0,0,0,40.97,-158.7
0.420,,0,0,0,0,,,,,,,756,42,0,0,0,0,0,40.97,-158.7
0.440,,0,0,0,0,,,,,,,794,44,0,0,0,0,0,40.97,-158.7
0.460,,0,0,0,0,,,,,,,834,46,0,0,0,0,0,40.97,-158.9
0.480,,0,0,0,0,,,,,,,874,48,0,0,0,0,0,40.97,-158.7
