t,topico,FL,FR,steer,speed,vx,wz
2.875,rodas,0.0,-0.0,,,,
2.875,rodas,0.0,-0.0,,,,
2.876,mega,,,0,0,,
2.936,rodas,0.0,-0.0,,,,
2.936,rodas,0.0,-0.0,,,,
2.936,rodas,0.0,-0.0,,,,
2.975,rodas,0.0,-0.0,,,,
2.976,rodas,0.0,-0.0,,,,
2.976,mega,,,0,0,,
3.035,rodas,0.0,-0.0,,,,
3.035,rodas,0.0,-0.0,,,,
3.036,rodas,0.0,-0.0,,,,
3.075,rodas,0.0,-0.0,,,,
3.076,rodas,0.0,-0.0,,,,
3.076,mega,,,0,0,,
3.135,rodas,0.0,-0.0,,,,
3.136,rodas,0.0,-0.0,,,,
3.136,rodas,0.0,-0.0,,,,
3.175,rodas,0.0,-0.0,,,,
3.176,rodas,0.0,-0.0,,,,
3.176,mega,,,0,0,,
3.235,rodas,0.0,-0.0,,,,
3.236,rodas,0.0,-0.0,,,,
3.236,rodas,0.0,-0.0,,,,
3.275,rodas,0.0,-0.0,,,,
3.276,rodas,0.0,-0.0,,,,
3.276,mega,,,0,0,,
3.335,rodas,0.0,-0.0,,,,
3.336,rodas,0.0,-0.0,,,,
3.337,rodas,0.0,-0.0,,,,
3.376,rodas,0.0,-0.0,,,,
3.376,mega,,,0,0,,
3.377,rodas,0.0,-0.0,,,,
3.435,rodas,0.0,-0.0,,,,
3.435,rodas,0.0,-0.0,,,,
3.436,rodas,0.0,-0.0,,,,
3.475,rodas,0.0,-0.0,,,,
3.476,rodas,0.0,-0.0,,,,
3.476,mega,,,0,0,,
3.535,rodas,0.0,-0.0,,,,
3.536,rodas,0.0,-0.0,,,,
3.536,rodas,0.0,-0.0,,,,
3.595,rodas,0.0,-0.0,,,,
3.595,rodas,0.0,-0.0,,,,
3.595,mega,,,0,0,,
3.635,rodas,0.0,-0.0,,,,
3.636,rodas,0.0,-0.0,,,,
3.636,rodas,0.0,-0.0,,,,
3.695,rodas,0.0,-0.0,,,,
3.696,rodas,0.0,-0.0,,,,
3.696,mega,,,0,0,,
3.735,rodas,0.0,-0.0,,,,
3.736,rodas,0.0,-0.0,,,,
3.736,rodas,0.0,-0.0,,,,
3.795,rodas,0.0,-0.0,,,,
3.796,rodas,0.0,-0.0,,,,
3.796,mega,,,0,0,,
3.835,rodas,0.0,-0.0,,,,
3.836,rodas,0.0,-0.0,,,,
3.836,rodas,0.0,-0.0,,,,
3.895,rodas,0.0,-0.0,,,,
3.896,rodas,0.0,-0.0,,,,
3.896,mega,,,0,0,,
3.935,rodas,0.0,-0.0,,,,
3.936,rodas,0.0,-0.0,,,,
3.936,rodas,0.0,-0.0,,,,
3.995,mega,,,0,0,,
3.995,rodas,0.0,-0.0,,,,
3.996,rodas,0.0,-0.0,,,,
4.035,rodas,0.0,-0.0,,,,
4.035,rodas,0.0,-0.0,,,,
4.036,rodas,0.0,-0.0,,,,
4.095,rodas,0.0,-0.0,,,,
4.096,rodas,0.0,-0.0,,,,
4.096,mega,,,0,0,,
4.135,rodas,0.0,-0.0,,,,
4.136,rodas,0.0,-0.0,,,,
4.136,rodas,0.0,-0.0,,,,
4.195,rodas,0.0,-0.0,,,,
4.196,rodas,0.0,-0.0,,,,
4.196,mega,,,0,0,,
4.235,rodas,0.0,-0.0,,,,
4.236,rodas,0.0,-0.0,,,,
4.236,rodas,0.0,-0.0,,,,
4.295,mega,,,0,0,,
4.296,rodas,0.0,-0.0,,,,
4.296,rodas,0.0,-0.0,,,,
4.335,rodas,0.0,-0.0,,,,
4.336,rodas,0.0,-0.0,,,,
4.337,rodas,0.0,-0.0,,,,
4.395,mega,,,0,0,,
4.396,rodas,0.0,-0.0,,,,
4.396,rodas,0.0,-0.0,,,,
4.435,rodas,0.0,-0.0,,,,
4.436,rodas,0.0,-0.0,,,,
4.437,rodas,0.0,-0.0,,,,
4.495,rodas,0.0,-0.0,,,,
4.495,mega,,,0,0,,
4.496,rodas,0.0,-0.0,,,,
4.535,rodas,0.0,-0.0,,,,
4.536,rodas,0.0,-0.0,,,,
4.536,rodas,0.0,-0.0,,,,
4.596,mega,,,0,0,,
