t_s,n_visiveis,duplicados,faltando,sobrando,nao_prontos,pronto
0.0,0,,/bt_navigator /collision_monitor /compensador_rumo /controller_manager /controller_server /freeze_capture /global_costmap/global_costmap /gz_ros_control /heading_controller /hoverboard_base_controller /joint_state_broadcaster /lifecycle_manager_pilha /local_costmap/local_costmap /map_server /path_follower /placa_simulada /planner_server /robot_state_publisher /ros_gz_bridge /rosbag2_recorder /rviz2 /scan_2d /smoother_server /tf_map_odom /twist_mux,,,False
16.0,20,,/compensador_rumo /controller_manager /freeze_capture /gz_ros_control /hoverboard_base_controller /joint_state_broadcaster /rosbag2_recorder /rviz2 /tf_map_odom,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0,/bt_navigator /bt_navigator_navigate_to_pose_rclcpp_node /collision_monitor /controller_server /global_costmap/global_costmap /local_costmap/local_costmap /smoother_server /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0,False
33.5,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
50.7,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
67.9,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
85.1,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
102.4,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
119.6,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
136.8,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
154.1,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
171.3,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
188.5,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
205.7,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
222.9,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
240.1,30,,,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,/bt_navigator_navigate_to_pose_rclcpp_node /transform_listener_impl_58e2a8b6cfe0 /transform_listener_impl_5b4194984c20 /transform_listener_impl_61f020ddf1a0 /transform_listener_impl_63495f80f930,False
