no,estado
/bt_navigator,active
/bt_navigator_navigate_to_pose_rclcpp_node,presente_sem_parametros
/collision_monitor,active
/compensador_rumo,responde
/controller_manager,responde
/controller_server,active
/freeze_capture,responde
/global_costmap/global_costmap,active
/gz_ros_control,responde
/heading_controller,responde
/hoverboard_base_controller,responde
/joint_state_broadcaster,responde
/lifecycle_manager_pilha,responde
/local_costmap/local_costmap,active
/map_server,active
/path_follower,responde
/placa_simulada,responde
/planner_server,active
/robot_state_publisher,responde
/ros_gz_bridge,responde
/rosbag2_recorder,responde
/rviz2,responde
/scan_2d,responde
/smoother_server,active
/tf_map_odom,responde
/transform_listener_impl_57a11e300570,presente_sem_parametros
/transform_listener_impl_58899f59fe30,presente_sem_parametros
/transform_listener_impl_62b4bc85aad0,presente_sem_parametros
/transform_listener_impl_636293f40670,presente_sem_parametros
/twist_mux,responde
