t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.2746,-0.7705,0.0,0.0,0.0,0.0,0.0
0.1,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.2746,-0.7705,0.2746,-0.7705,0.2746,-0.7705,0.0
0.15,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.2746,-0.7705,0.2746,-0.7705,0.2746,-0.7705,0.0
0.2,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.2746,-0.7705,0.2746,-0.7705,0.2746,-0.7705,0.0
0.25,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.2746,-0.7705,0.2746,-0.7705,0.2746,-0.7705,0.0
0.3,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.2746,-0.7705,0.2746,-0.7705,0.2746,-0.7705,0.0
0.35,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.2746,-0.7705,0.2746,-0.7705,0.2746,-0.7705,0.0
0.4,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.2746,-0.7705,0.2746,-0.7705,0.2746,-0.7705,0.0
0.451,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.2746,-0.7705,0.2746,-0.7705,0.2746,-0.7705,0.0
0.5,2.0,5.0,0.0,4.4942,113,-0.9894,-0.9894,0.2746,-0.7705,0.2746,-0.7705,0.2746,-0.7705,0.0
0.55,2.0027,5.0003,-0.0037,4.4917,113,-0.9953,-0.9916,0.2761,-0.7691,0.2746,-0.7705,0.2746,-0.7705,0.0
0.6,2.0059,5.0007,-0.0088,4.4888,113,-0.9953,-0.9865,0.2761,-0.7691,0.2761,-0.7691,0.2761,-0.7691,0.0
0.65,2.0135,5.0015,-0.0203,4.4819,113,-1.0023,-0.982,0.2758,-0.7693,0.2758,-0.7693,0.2758,-0.7693,0.0
0.7,2.02,5.0022,-0.0306,4.4761,113,-1.0188,-0.9882,0.2777,-0.7676,0.2777,-0.7676,0.2777,-0.7676,0.0
0.75,2.027,5.0029,-0.043,4.4697,113,-1.0331,-0.9901,0.234,-0.77,0.234,-0.77,0.234,-0.77,0.0
0.8,2.0352,5.0038,-0.0584,4.4623,113,-1.0581,-0.9997,0.2336,-0.7677,0.2336,-0.7677,0.2336,-0.7677,0.0
0.85,2.0474,5.005,-0.084,4.4512,113,-1.0767,-0.9927,0.2342,-0.7715,0.2342,-0.7715,0.2342,-0.7715,0.0
0.9,2.0556,5.0059,-0.1046,4.4438,113,-1.1054,-1.0008,0.2336,-0.7678,0.2336,-0.7678,0.2336,-0.7678,0.0
0.95,2.0638,5.0067,-0.1252,4.4363,113,-1.1249,-0.9996,0.2341,-0.7709,0.2336,-0.7678,0.2336,-0.7678,0.0
1.0,2.0763,5.008,-0.1636,4.425,113,-1.1314,-0.9678,0.2332,-0.7645,0.2341,-0.7709,0.2341,-0.7709,0.0
1.05,2.0847,5.0086,-0.1894,4.4173,113,-1.1491,-0.9598,0.2322,-0.7569,0.2322,-0.7569,0.2322,-0.7569,0.0
1.1,2.0934,5.0094,-0.22,4.4093,113,-1.1491,-0.9291,0.2322,-0.7569,0.2322,-0.7569,0.2322,-0.7569,0.0
1.15,2.1022,5.0099,-0.2509,4.4013,113,-1.1766,-0.9257,0.2308,-0.7466,0.2308,-0.7466,0.2308,-0.7466,0.0
1.2,2.1109,5.0103,-0.2842,4.3933,113,-1.1954,-0.9112,0.2306,-0.7453,0.2306,-0.7453,0.2306,-0.7453,0.0
1.25,2.1195,5.0107,-0.3202,4.3853,113,-1.2237,-0.9034,0.2288,-0.7321,0.2288,-0.7321,0.2288,-0.7321,0.0
1.3,2.1326,5.0109,-0.3767,4.373,113,-1.2426,-0.8658,0.2284,-0.7289,0.2284,-0.7289,0.2284,-0.7289,0.0
1.35,2.1415,5.0107,-0.4179,4.3646,113,-1.2718,-0.8539,0.2261,-0.7121,0.2261,-0.7121,0.2261,-0.7121,0.0
1.4,2.1505,5.0103,-0.4591,4.356,113,-1.2916,-0.8325,0.2255,-0.7071,0.2255,-0.7071,0.2255,-0.7071,0.0
1.45,2.1595,5.0095,-0.5021,4.3473,113,-1.3216,-0.8195,0.2229,-0.6883,0.2255,-0.7071,0.2255,-0.7071,0.0
1.5,2.1729,5.0077,-0.5665,4.3341,113,-1.3417,-0.7751,0.2221,-0.6826,0.2229,-0.6883,0.2229,-0.6883,0.0
1.55,2.1818,5.0059,-0.609,4.3251,113,-1.3417,-0.7326,0.2221,-0.6826,0.2221,-0.6826,0.2221,-0.6826,0.0
1.6,2.1907,5.0037,-0.6514,4.316,113,-1.3208,-0.6693,0.2195,-0.663,0.2195,-0.663,0.2195,-0.663,0.0
1.65,2.2038,4.9997,-0.7147,4.3024,113,-1.338,-0.6233,0.2156,-0.6337,0.2156,-0.6337,0.2156,-0.6337,0.0
1.7,2.2124,4.9966,-0.7567,4.2932,113,-1.3638,-0.607,0.2126,-0.6115,0.2126,-0.6115,0.2126,-0.6115,0.0
1.75,2.2208,4.993,-0.7986,4.284,113,-1.3808,-0.5823,0.2115,-0.6035,0.2115,-0.6035,0.2115,-0.6035,0.0
1.8,2.2292,4.9891,-0.8401,4.2749,113,-1.4063,-0.5662,0.2288,-0.5804,0.2288,-0.5804,0.2288,-0.5804,0.0
1.85,2.2373,4.9848,-0.8815,4.2657,113,-1.4232,-0.5416,0.2325,-0.5721,0.2288,-0.5804,0.2288,-0.5804,0.0
1.9,2.2453,4.9801,-0.9225,4.2566,113,-1.3892,-0.4667,0.2592,-0.5481,0.2325,-0.5721,0.2325,-0.5721,0.0
1.95,2.2532,4.9751,-0.9638,4.2475,113,-1.3892,-0.4254,0.2592,-0.5481,0.2592,-0.5481,0.2592,-0.5481,0.0
2.0,2.2634,4.969,-1.0267,4.2359,113,-1.4034,-0.3767,0.2915,-0.5052,0.2915,-0.5052,0.2915,-0.5052,0.0
2.05,2.2695,4.9657,-1.0722,4.2289,113,-1.4224,-0.3502,0.2999,-0.4754,0.2999,-0.4754,0.2999,-0.4754,0.0
2.1,2.2763,4.9614,-1.1206,4.2211,113,-1.4344,-0.3138,0.3032,-0.4584,0.3032,-0.4584,0.3032,-0.4584,0.0
2.15,2.2838,4.9553,-1.1742,4.2119,113,-1.4549,-0.2806,0.3115,-0.415,0.3115,-0.415,0.3115,-0.415,0.0
2.2,2.291,4.9489,-1.228,4.203,113,-1.4694,-0.2414,0.3194,-0.3902,0.3115,-0.415,0.3115,-0.415,0.0
2.25,2.3011,4.9373,-1.3032,4.1895,113,-1.4265,-0.1233,0.3387,-0.3386,0.3194,-0.3902,0.3194,-0.3902,0.0
2.3,2.3043,4.9332,-1.3282,4.1852,113,-1.4265,-0.0984,0.3387,-0.3386,0.3387,-0.3386,0.3387,-0.3386,0.0
2.351,2.3128,4.9201,-1.3982,4.1726,113,-1.4372,-0.039,0.3718,-0.2429,0.3718,-0.2429,0.3718,-0.2429,0.0
2.4,2.3179,4.9109,-1.4426,4.1648,113,-1.4515,-0.0088,0.5,1.0,0.5,1.0,0.5,1.0,0.0
2.45,2.3224,4.9011,-1.4843,4.1572,113,-1.4599,0.0244,0.5,1.0,0.5,1.0,0.5,1.0,0.0
2.5,2.3261,4.8907,-1.5213,4.1503,113,-1.4704,0.0509,0.5,1.0,0.5,1.0,0.5,1.0,0.0
2.55,2.3294,4.8803,-1.5574,4.1437,113,-1.4119,0.1455,0.5,0.0,0.5,1.0,0.5,1.0,0.0
2.6,2.332,4.8694,-1.5896,4.1377,113,-1.4119,0.1777,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.65,2.3341,4.8586,-1.6197,4.1322,113,-1.4153,0.2045,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.701,2.3356,4.8474,-1.6466,4.1271,113,-1.4161,0.2305,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.75,2.3364,4.8356,-1.6695,4.1225,113,-1.4145,0.255,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.8,2.3369,4.8238,-1.6919,4.1182,113,-1.4118,0.2801,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.85,2.3374,4.8098,-1.7197,4.1134,113,-1.347,0.3727,0.478,0.4228,0.5,0.0,0.5,0.0,0.0
2.9,2.3376,4.8008,-1.7398,4.1104,113,-1.3433,0.3965,0.4638,0.4792,0.4638,0.4792,0.478,0.4228,0.0
2.95,2.3373,4.7928,-1.7532,4.1081,113,-1.3366,0.4166,0.4586,0.4959,0.4638,0.4792,0.4638,0.4792,0.0
3.0,2.3366,4.7809,-1.7725,4.1051,113,-1.3315,0.441,0.4546,0.5076,0.4586,0.4959,0.4586,0.4959,0.0
3.05,2.335,4.7704,-1.7806,4.1034,113,-1.3315,0.4491,0.4546,0.5076,0.4546,0.5076,0.4546,0.5076,0.0
3.1,2.3331,4.7595,-1.7863,4.1018,113,-1.3196,0.4667,0.4504,0.5191,0.4504,0.5191,0.4504,0.5191,0.0
3.15,2.3309,4.7484,-1.789,4.1006,113,-1.3088,0.4802,0.4465,0.5292,0.4465,0.5292,0.4465,0.5292,0.0
3.2,2.3269,4.7313,-1.7869,4.0992,113,-1.2403,0.5465,0.4436,0.5364,0.4436,0.5364,0.4436,0.5364,0.0
3.25,2.3244,4.7211,-1.7829,4.0986,113,-1.2269,0.5561,0.4272,0.5726,0.4272,0.5726,0.4272,0.5726,0.0
3.3,2.3219,4.7123,-1.7756,4.0984,113,-1.2078,0.5678,0.4257,0.5756,0.4257,0.5756,0.4257,0.5756,0.0
3.35,2.3189,4.7005,-1.7679,4.0979,113,-1.1956,0.5723,0.4192,0.582,0.4257,0.5756,0.4257,0.5756,0.0
3.4,2.3176,4.6947,-1.7668,4.0974,113,-1.1813,0.5854,0.411,0.5857,0.4192,0.582,0.4192,0.582,0.0
