t_s,n_visiveis,duplicados,faltando,sobrando,nao_prontos,pronto
0.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
2.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
4.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
6.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
8.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
10.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
12.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
14.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
16.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
18.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
20.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
22.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
24.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
26.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
28.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
30.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
32.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
34.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
36.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
38.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
40.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
42.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
44.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
46.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
48.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
50.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
