t_s,fase,tipo,chk_ok,hex,steer,speed,steer_rear,speed_rear
9.9239,antes,0x01,True,aa550108000000000000000009,0,0,0,0
45.2756,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.3255,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.3744,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.4240,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.4740,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.5240,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.5755,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.6247,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.6750,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.7252,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.7753,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.8256,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.8752,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.9254,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
45.9754,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.0254,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.0740,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.1242,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.1740,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.2249,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.2745,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.3249,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.3754,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.4252,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.4754,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.5255,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.5753,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.6256,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.6752,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.7255,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.7753,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.8255,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.8742,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.9240,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
46.9743,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.0239,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.0746,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.1254,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.1753,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.2254,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.2754,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.3254,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.3754,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.4253,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.4754,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.5253,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.5757,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.6243,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.6739,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.7241,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.7739,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.8239,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.8755,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.9254,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
47.9753,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
48.0253,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
48.0755,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
48.1254,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
48.1753,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
48.2252,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
48.2753,lb_solto,0x01,True,aa550108000000000000000009,0,0,0,0
50.2755,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.3253,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.3752,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.4256,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.4753,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.5254,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.5754,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.6255,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.6751,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.7240,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.7744,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.8241,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.8741,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.9253,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.9754,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
51.0254,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
51.0750,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
51.1255,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
