t_s,fase,tipo,chk_ok,hex,steer,speed,steer_rear,speed_rear
9.7772,antes,0x01,True,aa550108000000000000000009,0,0,0,0
42.5695,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
42.6196,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
42.6703,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
42.7195,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
42.7704,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
42.8206,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
42.8708,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
42.9209,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
42.9711,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.0209,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.0709,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.1210,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.1707,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.2208,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.2702,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.3203,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.3695,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.4195,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.4703,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.5202,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.5705,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.6209,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.6706,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.7207,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.7709,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.8207,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.8706,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.9208,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
43.9707,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
44.0207,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
44.0705,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
44.1203,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
44.1703,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
44.2201,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
44.2703,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
44.3204,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
44.3705,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
44.4206,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
44.4707,lb_frente,0x01,True,aa550108000088ff000088ff09,0,-120,0,-120
