publisher: beginning loop
publishing #1: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #2: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #3: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #4: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #5: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #6: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #7: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #8: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #9: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #10: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #11: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #12: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #13: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #14: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #15: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #16: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #17: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #18: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #19: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #20: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

publishing #21: wheel_msgs.msg.WheelSpeeds(right_wheel=-120.0, left_wheel=-120.0)

