pid,ppid,pgid,sid,starttime,estado,marcado,argv
4061,1,4061,4061,10195,S,False,/usr/lib/systemd/systemd --user
4066,4061,4061,4061,10198,S,False,(sd-pam)
4080,4061,4080,4080,10235,S,False,/usr/bin/pipewire
4081,4061,4081,4081,10236,S,False,/usr/bin/pipewire -c filter-chain.conf
4086,4061,4086,4086,10236,S,False,/usr/bin/wireplumber
4088,4061,4088,4088,10236,S,False,/usr/bin/pipewire-pulse
4090,4061,4090,4090,10237,S,False,"/usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring"
4098,4061,4098,4098,10238,S,False,/usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
4146,4061,4146,4146,10252,S,False,/usr/libexec/xdg-document-portal
4150,4061,4150,4150,10255,S,False,/usr/libexec/xdg-permission-store
4206,4027,4206,4206,10290,S,False,/usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
4216,4206,4206,4206,10291,S,False,/usr/libexec/gnome-session-binary --session=ubuntu
4286,4061,4286,4286,10411,S,False,/usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
4287,4061,4287,4287,10413,S,False,/usr/libexec/gnome-session-ctl --monitor
4300,4061,4300,4300,10428,S,False,/usr/libexec/gvfsd
4309,4061,4300,4300,10467,S,False,/usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
4312,4061,4312,4312,10471,S,False,/usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
4346,4312,4312,4312,10497,S,False,/usr/libexec/at-spi-bus-launcher --launch-immediately
4359,4346,4312,4312,10498,S,False,/usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
4360,4061,4360,4360,10501,S,False,/usr/bin/gnome-shell
4441,4061,4312,4312,10546,S,False,/usr/libexec/at-spi2-registryd --use-gnome-session
4625,4061,4098,4098,10590,S,False,/usr/libexec/gnome-shell-calendar-server
4738,4061,4738,4738,10619,S,False,/usr/libexec/evolution-source-registry
4742,4061,4098,4098,10621,S,False,/usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
4744,4061,4744,4744,10622,S,False,/usr/bin/ibus-daemon --panel disable
4745,4061,4745,4745,10622,S,False,/usr/libexec/gsd-a11y-settings
4747,4061,4747,4747,10622,S,False,/usr/libexec/gsd-color
4749,4061,4749,4749,10623,S,False,/usr/libexec/gsd-datetime
4752,4061,4752,4752,10623,S,False,/usr/libexec/gsd-housekeeping
4756,4061,4756,4756,10623,S,False,/usr/libexec/gsd-keyboard
4759,4061,4759,4759,10623,S,False,/usr/libexec/gsd-media-keys
4763,4061,4763,4763,10623,S,False,/usr/libexec/gsd-power
4775,4061,4775,4775,10623,S,False,/usr/libexec/gsd-print-notifications
4781,4061,4781,4781,10624,S,False,/usr/libexec/gsd-rfkill
4784,4061,4784,4784,10624,S,False,/usr/libexec/gsd-screensaver-proxy
4789,4061,4789,4789,10624,S,False,/usr/libexec/gsd-sharing
4791,4061,4791,4791,10624,S,False,/usr/libexec/gsd-smartcard
4793,4061,4793,4793,10624,S,False,/usr/libexec/gsd-sound
4796,4061,4796,4796,10624,S,False,/usr/libexec/gsd-wacom
4848,4312,4312,4312,10626,S,False,/usr/libexec/evolution-data-server/evolution-alarm-notify
4868,4312,4312,4312,10627,S,False,/usr/libexec/gsd-disk-utility-notify
4916,4061,4775,4775,10633,S,False,/usr/libexec/gsd-printer
4998,4744,4744,4744,10650,S,False,/usr/libexec/ibus-dconf
4999,4744,4744,4744,10650,S,False,/usr/libexec/ibus-extension-gtk3
5085,4061,4098,4098,10671,S,False,/usr/libexec/ibus-portal
5138,4061,5138,5138,10709,S,False,/usr/libexec/gvfs-udisks2-volume-monitor
5144,4061,5144,5144,10731,S,False,/usr/libexec/gvfs-mtp-volume-monitor
5155,4061,5155,5155,10768,S,False,/usr/libexec/gvfs-afc-volume-monitor
5162,4061,5162,5162,10777,S,False,/usr/libexec/gvfs-gphoto2-volume-monitor
5167,4061,4098,4098,10788,S,False,/usr/libexec/goa-daemon
5177,4061,5177,5177,10799,S,False,/usr/libexec/gvfs-goa-volume-monitor
5279,4061,4098,4098,10819,S,False,/usr/libexec/goa-identity-service
5316,4061,5316,5316,10823,S,False,/usr/libexec/evolution-calendar-factory
5400,4360,4360,4360,10839,S,False,/usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.RH49V3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
5474,4744,4744,4744,10855,S,False,/usr/libexec/ibus-engine-simple
5497,4061,5497,5497,10874,S,False,/usr/libexec/dconf-service
5511,4061,5511,5511,10893,S,False,/usr/libexec/evolution-addressbook-factory
5640,4300,4300,4300,10951,S,False,/usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
5723,4061,4098,4098,11012,S,False,/usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
5740,4061,5740,5740,11014,S,False,/usr/libexec/tracker-miner-fs-3
5807,4061,5807,5807,11069,S,False,/usr/libexec/gsd-xsettings
5850,4061,5850,5850,11078,S,False,/usr/libexec/xdg-desktop-portal
6007,4061,6007,6007,11111,S,False,/usr/libexec/xdg-desktop-portal-gnome
6011,4061,6011,6011,11122,S,False,/usr/libexec/gvfsd-metadata
6025,4061,6025,6025,11135,S,False,/usr/libexec/xdg-desktop-portal-gtk
6101,4061,5807,5807,11170,S,False,/usr/libexec/ibus-x11
6110,4360,4360,4360,11187,S,False,/usr/libexec/mutter-x11-frames
6512,4061,6512,6512,11631,S,False,/snap/snapd-desktop-integration/391/usr/bin/user-session-helper /snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
6589,6512,6512,6512,11657,S,False,/snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
6953,4360,4360,4360,12063,S,False,/usr/bin/python3 /usr/bin/terminator
7042,6953,7042,7042,12142,S,False,/bin/bash
7047,4360,4360,4360,12156,S,False,/snap/chromium/3529/usr/lib/chromium-browser/chrome --password-store=basic --gtk-version=3 --disable-features=TFLiteLanguageDetectionEnabled
7467,4061,7466,7466,12608,S,False,/snap/chromium/3529/usr/lib/chromium-browser/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/rbe-luis/snap/chromium/common/chromium/Crash Reports --annotation=channel=snap --annotation=lsb-release=Ubuntu Core 24 --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=153.0.8010.36 --initial-client-fd=5 --shared-client-connection
7496,4061,7495,7495,12621,S,False,/snap/chromium/3529/usr/lib/chromium-browser/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/rbe-luis/snap/chromium/common/chromium/Crash Reports --annotation=channel=snap --annotation=lsb-release=Ubuntu Core 24 --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=153.0.8010.36 --initial-client-fd=4 --shared-client-connection
7638,7047,4360,4360,12826,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable"
7639,7047,4360,4360,12827,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=zygote --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable"
7693,7639,4360,4360,12898,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=zygote --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable"
7969,7638,4360,4360,13149,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=gpu-process --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4,i,13459358728752804135,5154452342236661420,262144 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190708988185955192"
