t_s,fase,tipo,chk_ok,hex,steer,speed,steer_rear,speed_rear
9.7801,antes,0x01,True,aa550108000000000000000009,0,0,0,0
45.0752,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.1244,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.1738,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.2238,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.2739,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.3239,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.3752,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.4251,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.4751,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.5250,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.5754,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.6252,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.6751,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.7251,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.7751,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.8252,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.8744,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.9238,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
45.9738,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.0245,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.0740,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.1249,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.1748,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.2248,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.2750,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.3252,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.3750,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.4251,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.4751,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.5252,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.5751,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.6253,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.6738,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.7238,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.7738,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.8245,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.8745,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.9249,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
46.9752,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.0252,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.0751,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.1250,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.1752,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.2251,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.2751,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.3250,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.3753,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.4245,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.4737,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.5236,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.5745,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.6247,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.6749,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.7252,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.7750,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.8252,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.8752,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.9244,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
47.9752,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
48.0253,lb_frente,0x01,True,aa550108000078000000780009,0,120,0,120
48.0752,lb_solto,0x01,True,aa550108000000000000000009,0,0,0,0
50.0751,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.1251,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.1750,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.2252,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.2751,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
50.3250,lb_esquerda,0x01,True,aa55010800ff000000ff000009,-256,0,-256,0
